"year","hispanic_or_latino","race","estimate","margin_of_error"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","White alone","867646","792"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","Asian alone","138736","1911"
"2015-01-01T00:00:00.000","Hispanic or Latino","Hispanic or Latino","1079778","0"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone","5971","445"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","Some other race alone","3476","817"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","American Indian and Alaska Native alone","10216","751"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","Two or more races","55795","2881"
"2015-01-01T00:00:00.000","Not Hispanic or Latino","Black or African American alone","136414","1597"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","Some other race alone","5238","1018"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","Some other race alone","6075","1198"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone","6124","444"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","Two or more races","43897","2403"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","White alone","867229","1082"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","Two or more races","54390","2485"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","American Indian and Alaska Native alone","10416","813"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone","5947","421"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","White alone","867580","1144"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","American Indian and Alaska Native alone","10085","690"
"2014-01-01T00:00:00.000","Hispanic or Latino","Hispanic or Latino","1055027","0"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","Black or African American alone","129961","1644"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","White alone","868743","919"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","Black or African American alone","133798","1736"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","Some other race alone","3811","801"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone","6144","421"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone","6160","422"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","Asian alone","134734","1568"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","Asian alone","127477","1444"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","Black or African American alone","128231","1527"
"2011-01-01T00:00:00.000","Not Hispanic or Latino","Asian alone","124152","1368"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","Asian alone","130179","1484"
"2014-01-01T00:00:00.000","Not Hispanic or Latino","American Indian and Alaska Native alone","10236","693"
"2013-01-01T00:00:00.000","Hispanic or Latino","Hispanic or Latino","1025543","0"
"2011-01-01T00:00:00.000","Hispanic or Latino","Hispanic or Latino","968700","0"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","Two or more races","52254","1929"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","White alone","867859","936"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","Some other race alone","5692","1160"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","Two or more races","47596","2443"
"2012-01-01T00:00:00.000","Not Hispanic or Latino","American Indian and Alaska Native alone","10616","711"
"2013-01-01T00:00:00.000","Not Hispanic or Latino","Black or African American alone","131246","1510"
"2012-01-01T00:00:00.000","Hispanic or Latino","Hispanic or Latino","998113","0"
