"age","year","estimate","margin_of_error"
"Under 5 years","2015-01-01T00:00:00.000","6.60","0.1"
"5 to 9 years","2015-01-01T00:00:00.000","7.30","0.2"
"10 to 14 years","2015-01-01T00:00:00.000","7.40","0.2"
"15 to 19 years","2015-01-01T00:00:00.000","7.60","0.1"
"20 to 24 years","2015-01-01T00:00:00.000","7.30","0.1"
"25 to 29 years","2015-01-01T00:00:00.000","7.00","0.1"
"30 to 34 years","2015-01-01T00:00:00.000","6.70","0.1"
"35 to 39 years","2015-01-01T00:00:00.000","6.20","0.2"
"40 to 44 years","2015-01-01T00:00:00.000","6.50","0.2"
"45 to 49 years","2015-01-01T00:00:00.000","6.40","0.1"
"50 to 54 years","2015-01-01T00:00:00.000","6.50","0.1"
"55 to 59 years","2015-01-01T00:00:00.000","5.90","0.2"
"60 to 64 years","2015-01-01T00:00:00.000","5.10","0.2"
"65 to 69 years","2015-01-01T00:00:00.000","4.40","0.1"
"70 to 74 years","2015-01-01T00:00:00.000","3.30","0.1"
"75 to 79 years","2015-01-01T00:00:00.000","2.60","0.1"
"80 to 84 years","2015-01-01T00:00:00.000","1.70","0.1"
"85 years and over","2015-01-01T00:00:00.000","1.60","0.1"
"Under 5 years","2014-01-01T00:00:00.000","6.80","0.1"
"5 to 9 years","2014-01-01T00:00:00.000","7.40","0.2"
"10 to 14 years","2014-01-01T00:00:00.000","7.50","0.2"
"15 to 19 years","2014-01-01T00:00:00.000","7.70","0.1"
"20 to 24 years","2014-01-01T00:00:00.000","7.50","0.1"
"25 to 29 years","2014-01-01T00:00:00.000","6.80","0.1"
"30 to 34 years","2014-01-01T00:00:00.000","6.70","0.1"
"35 to 39 years","2014-01-01T00:00:00.000","6.40","0.3"
"40 to 44 years","2014-01-01T00:00:00.000","6.50","0.3"
"45 to 49 years","2014-01-01T00:00:00.000","6.50","0.1"
"50 to 54 years","2014-01-01T00:00:00.000","6.50","0.1"
"55 to 59 years","2014-01-01T00:00:00.000","5.60","0.2"
"60 to 64 years","2014-01-01T00:00:00.000","5.00","0.2"
"65 to 69 years","2014-01-01T00:00:00.000","4.30","0.1"
"70 to 74 years","2014-01-01T00:00:00.000","3.20","0.1"
"75 to 79 years","2014-01-01T00:00:00.000","2.20","0.1"
"80 to 84 years","2014-01-01T00:00:00.000","1.80","0.1"
"85 years and over","2014-01-01T00:00:00.000","1.70","0.1"
"Under 5 years","2013-01-01T00:00:00.000","6.90",
"5 to 9 years","2013-01-01T00:00:00.000","7.50","0.3"
"10 to 14 years","2013-01-01T00:00:00.000","7.60","0.3"
"15 to 19 years","2013-01-01T00:00:00.000","7.80","0.1"
"20 to 24 years","2013-01-01T00:00:00.000","7.50","0.1"
"25 to 29 years","2013-01-01T00:00:00.000","6.70","0.1"
"30 to 34 years","2013-01-01T00:00:00.000","6.60","0.1"
"35 to 39 years","2013-01-01T00:00:00.000","6.30","0.2"
"40 to 44 years","2013-01-01T00:00:00.000","6.50","0.2"
"45 to 49 years","2013-01-01T00:00:00.000","6.50","0.1"
"50 to 54 years","2013-01-01T00:00:00.000","6.50","0.1"
"55 to 59 years","2013-01-01T00:00:00.000","5.50","0.2"
"60 to 64 years","2013-01-01T00:00:00.000","5.00","0.2"
"65 to 69 years","2013-01-01T00:00:00.000","4.10","0.1"
"70 to 74 years","2013-01-01T00:00:00.000","3.10","0.1"
"75 to 79 years","2013-01-01T00:00:00.000","2.40","0.1"
"80 to 84 years","2013-01-01T00:00:00.000","1.60","0.1"
"85 years and over","2013-01-01T00:00:00.000","1.60","0.1"
"Under 5 years","2012-01-01T00:00:00.000","7.20",
"5 to 9 years","2012-01-01T00:00:00.000","7.50","0.2"
"10 to 14 years","2012-01-01T00:00:00.000","7.80","0.2"
"15 to 19 years","2012-01-01T00:00:00.000","8.10","0.1"
"20 to 24 years","2012-01-01T00:00:00.000","7.50","0.1"
"25 to 29 years","2012-01-01T00:00:00.000","6.60","0.1"
"30 to 34 years","2012-01-01T00:00:00.000","6.50","0.1"
"35 to 39 years","2012-01-01T00:00:00.000","6.60","0.2"
"40 to 44 years","2012-01-01T00:00:00.000","6.50","0.2"
"45 to 49 years","2012-01-01T00:00:00.000","6.60","0.1"
"50 to 54 years","2012-01-01T00:00:00.000","6.50","0.1"
"55 to 59 years","2012-01-01T00:00:00.000","5.50","0.2"
"60 to 64 years","2012-01-01T00:00:00.000","4.80","0.2"
"65 to 69 years","2012-01-01T00:00:00.000","4.00","0.1"
"70 to 74 years","2012-01-01T00:00:00.000","2.90","0.1"
"75 to 79 years","2012-01-01T00:00:00.000","2.30","0.1"
"80 to 84 years","2012-01-01T00:00:00.000","1.70","0.1"
"85 years and over","2012-01-01T00:00:00.000","1.50","0.1"
