Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,Zoning Review Cases_data,Zip Codes
A863452,"SHADY BROOK LANE
AUSTIN 78723",Yes (come to the shelter),08/10/2022,Dog,German Shepherd,White,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863452,,,,,,,
A863274,"8200 SHENANDOAH DR
AUSTIN 78753
(30.343275, -97.693719)",Yes (come to the shelter),08/08/2022,Dog,Lhasa Apso,Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863274,4,9,17,63,78,2133,3642
A863202,"2505 DOVEMEADOW DR
AUSTIN 78744
(30.191126, -97.7529)",Yes (come to the shelter),08/06/2022,Dog,Pit Bull Mix,Fawn/White,Intact Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863202,2,4,39,484,20,,3258
A863302,"7600 ELROY RD78617
(30.149299, -97.630052)",Yes (come to the shelter),08/08/2022,Dog,Chihuahua Shorthair Mix,Black/Tan,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863302,,,,484,45,,8002
A863262,"8201 CORRIGAN PASS
AUSTIN 78744",Yes (come to the shelter),08/07/2022,Dog,Siberian Husky/German Shepherd,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863262,,,,,,,
A863158,"IDA RIDGE DRIVE AUSTIN 78727
(30.426879, -97.713462)",Yes (come to the shelter),08/05/2022,Dog,Pit Bull Mix,White/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863158,7,7,,540,36,,3243
A863486,"8225 STATE HIGHWAY
AUSTIN 78735",Yes (come to the shelter),08/11/2022,Cat,Domestic Shorthair,Orange/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863486,,,,,,,
A863485,"2512 EAST RIVERSIDE DRIVE
AUSTIN 78741
(30.234407, -97.72319)",Yes (come to the shelter),08/11/2022,Dog,Boxer,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863485,3,3,64,309,55,102,3256
A863265,"7804 DUBER LANE
AUSTIN 78747
(30.159447, -97.750338)",Yes (come to the shelter),08/07/2022,Cat,Domestic Shorthair,Brown/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863265,2,4,,484,4,1822,3261
A863261,"8201 CORRIGAN PASS
AUSTIN 78744",Yes (come to the shelter),08/07/2022,Dog,Siberian Husky/German Shepherd,Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863261,,,,,,,
A863205,"METCALFE RD AUSTIN 78741
(30.227985, -97.716971)",Yes (come to the shelter),08/06/2022,Dog,Catahoula,Tricolor,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863205,3,3,94,248,55,1599,3256
A863206,"2109 EAST CESAR
CHAVEZ AUSTIN 78702",Yes (come to the shelter),08/06/2022,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863206,,,,,,,
A863208,"2807 EAST 4TH STREET
AUSTIN 78702
(30.255507, -97.710976)",Yes (come to the shelter),08/06/2022,Cat,Domestic Shorthair Mix,Torbie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863208,3,3,29,309,1,,2857
