"pa_s","cantidad_de_personas"
"ESTADOS UNIDOS","148036"
"ESPAÑA","110932"
"VENEZUELA","96837"
"ECUADOR","30260"
"CANADA","26719"
"CHILE","19940"
"REINO UNIDO","15698"
"ARGENTINA","13963"
"FRANCIA","13680"
"MEXICO","12152"
"PANAMA","11710"
"BRASIL","9110"
"AUSTRALIA","8779"
"ITALIA","8415"
"COSTA RICA","7689"
"ALEMANIA","5867"
"PERU","5829"
"SUIZA","5113"
"ARUBA","4298"
"CURAÇAO","2792"
"BELGICA","2389"
"GUATEMALA","2264"
"SUECIA","2032"
"PAISES BAJOS","1951"
"NUEVA ZELANDA","1574"
"EMIRATOS ARABES UNIDOS","1424"
"BOLIVIA","1415"
"REPUBLICA DOMINICANA","1360"
"JAPON","1175"
"PORTUGAL","1046"
"AUSTRIA","931"
"URUGUAY","871"
"PARAGUAY","783"
"HONDURAS","764"
"EL SALVADOR","703"
"ISRAEL","665"
"FEDERACION DE RUSIA","633"
"CHINA","623"
"NORUEGA","506"
"IRLANDA","404"
"POLONIA","400"
"COREA, REPUBLICA DE","400"
"LIBANO","357"
"ANTILLAS HOLANDESAS","355"
"SINGAPUR","311"
"DINAMARCA","308"
"TAILANDIA","303"
"TURQUIA","298"
"FINLANDIA","293"
"TRINIDAD Y TOBAGO","290"
"NICARAGUA","276"
"CUBA","221"
"REPUBLICA CHECA","217"
"LUXEMBURGO","194"
"HONG KONG","173"
"VIET NAM","164"
"ARABIA SAUDITA","164"
"MALTA","149"
"SUDAFRICA","137"
"MALASIA","134"
"INDIA","131"
"GRECIA","128"
"QATAR","114"
"JAMAICA","110"
"ANDORRA","97"
"INDONESIA","96"
"ST. MAARTEN","90"
"EGIPTO","89"
"MARRUECOS","85"
"HUNGRIA","81"
"FILIPINAS","79"
"KENIA","76"
"AZERBAIYAN","68"
"BONAIRE","64"
"JORDANIA","57"
"HAITI","53"
"UCRANIA","46"
"OMAN","43"
"BAHREIN","42"
"KUWAIT","42"
"PALESTINA","40"
"RUMANIA","35"
"SURINAM","32"
"ESLOVAQUIA","31"
"DESCONOCIDO","30"
"NIGERIA","27"
"CROACIA","26"
"MOZAMBIQUE","25"
"SAINT-MARTIN","25"
"CAMBOYA","24"
"GUYANA FRANCESA","23"
"MYANMAR","23"
"ESTONIA","22"
"REPUBLICA DE CHINA-TAIWAN","22"
"GHANA","21"
"ESLOVENIA","21"
"CHIPRE","21"
"BULGARIA","19"
"ANGOLA","18"
"GUYANA","18"
"ARGELIA","17"
"LITUANIA","17"
"BAHAMAS","16"
"GABON","16"
"TUNEZ","15"
"SERBIA","14"
"GUINEA ECUATORIAL","14"
"MONACO","13"
"BELICE","12"
"BIELORRUSIA","11"
"IRAN, REPUBLICA ISLAMICA DE","10"
"LETONIA","10"
"LIECHTENSTEIN","10"
"RUSIA","9"
"MALI","8"
"ISLANDIA","8"
"BANGLADESH","8"
"TANZANIA, REPUBLICA UNIDA DE","7"
"ETIOPIA","7"
"MAURICIO","7"
"KAZAJSTAN","7"
"UGANDA","7"
"CONGO, REPUBLICA DEMOCRATICA DE","7"
"AFGANISTAN","6"
"IRAK","6"
"BENIN","6"
"SENEGAL","6"
"CAMERUN","6"
"MADAGASCAR","5"
"BERMUDAS","5"
"PAKISTAN","5"
"ALBANIA","5"
"BARBADOS","5"
"LAO, REPUBLIC DEMOCRATICA POPULAR DE","4"
"CABO VERDE","4"
"COSTA DE MARFIL","4"
"RUANDA","4"
"MALAWI","4"
"MONGOLIA","4"
"BOSNIA Y HERZEGOVINA","4"
"ANTIGUA Y BARBUDA","3"
"SAN MARINO","3"
"MOLDOVA, REPUBLICA DE","3"
"SRI LANKA","3"
"KOSOVO","2"
"MARTINICA","2"
"MACAO","2"
"MONTENEGRO","2"
"LIBERIA","2"
"NAMIBIA","2"
"NIGER","2"
"GUINEA","2"
"GEORGIA","2"
"SIERRA LEONA","2"
"BRUNEI DARUSSALAM","2"
"ARMENIA","2"
"VANUATU","2"
"VIETNAM","2"
"YEMEN","2"
"REPUBLICA CENTROAFRICANA","1"
"SIRIA","1"
"REPUBLICA ARABE SIRIA","1"
"BURUNDI","1"
"SUAZILANDIA","1"
"BURKINA FASO","1"
"SUDAN","1"
"SUDAN DEL SUR","1"
"MACEDONIA, EX REPUBLICA YUGOSLAVA DE","1"
"BOTSUANA","1"
"GUADALUPE","1"
"POLINESIA FRANCESA","1"
"GUINEA-BISSAU","1"
"PAPUA NUEVA GUINEA","1"
"ISLAS COMOROS","1"
"ISLAS VIRGENES BRITANICAS","1"
"NUEVA CALEDONIA","1"
"MALDIVAS","1"
"ZAMBIA","1"
"CONGO","1"
"SANTA LUCIA","1"
"SANTO TOME Y PRINCIPE","1"
"COREA, REPUBLICA DEMOCRATICA POPULAR DE","1"
"DOMINICA","1"
"MAURITANIA","1"
