"codmunicipio","nombremunicipio","coddaneestablecimiento","nombreestablecimiento","danesede","zonasede","consdane","nombresede","docentedirectivo","direccion","telefono","email"
"PUTUMAYO","86001","286001003292","IE RUR CIUDAD PUERTO LIMON","286001003667","IE RUR CIUDAD PUERTO LIMON","28600100329206","ESC RUR MIX VILLA GLORIA TOROYACO","RURAL","CUARAN BURBANO ROBERTO  ",,"NO"
"PUTUMAYO","86569","286569000239","CENT EDUC RUR VILLAFLOR","286569000263","CENT EDUC RUR VILLAFLOR","28656900023902","ESC RUR MIX CAMPOBELLO","RURAL","JOSSA SEMANATE BAIRON MARTIN ",,"NO"
"PUTUMAYO","86568","286568000219","IE RUR LA PAILA","286568000057","IE RUR LA PAILA","28656800021904","ESC RUR MIX SIMON BOLIVAR","RURAL","ESCOBAR CANCHALA JUAN PABLO ",,"NO"
"PUTUMAYO","86001","286001001800","CENT EDUC RUR CALIYACO","286001004001","CENT EDUC RUR CALIYACO","28600100180010","ESC RUR MIX EL PARAISO","RURAL","ESCOBAR RAMIREZ SEGUNDO RAUL ",,"NO"
"PUTUMAYO","86757","486865000961","IE RUR SAN MARCELINO","286865003201","IE RUR SAN MARCELINO","48686500096104","ESC RUR MIX CAMPO ALEGRE","RURAL","YANGUATIN ZAMBRANO TEOFILO GERMAN ",,"NO"
"PUTUMAYO","86569","286569000298","IE RUR ARIZONA","286569000018","IE RUR ARIZONA","28656900029807","ESC RUR MIX LA PRADERA","RURAL","REYES RAMOS YENIS ASALIA ",,"NO"
"PUTUMAYO","86571","286001003365","CENT EDUC RUR LA BRASILERA","286571004268","CENT EDUC RUR LA BRASILERA","28600100336503","ESC RUR MIX ALIANZA","RURAL","TOBAR MORA ALEXANDER  ",,"NO"
"PUTUMAYO","86320","286320001839","IE RUR FRANCISCO JOSE DE CALDAS","286320001545","IE RUR FRANCISCO JOSE DE CALDAS","28632000183902","LAS DELICIAS","RURAL","PORTILLA VALENCIA FANY RUBIELA ",,"NO"
"PUTUMAYO","86571","286571004811","CEPBIN KWE'SX SEK LUUCXWE'SX","286571004969","CEPBIN KWE'SX SEK LUUCXWE'SX","28657100481104","ESFOBIN Kwe'sx Çxyu'çe Luuçxwe'sx","RURAL","#N/A",,"NO"
"PUTUMAYO","86568","286568000359","CENT ETNOEDUCATIVO RUR BUENAVISTA","286568003722","CENT ETNOEDUCATIVO RUR BUENAVISTA","28656800035903","ESC RUR MIX REMOLINO SANTA ELENA","RURAL","PIAGUAJE CABRERA HUMBERTO ERNEY ",,"NO"
"PUTUMAYO","86865","286568005091","CENT EDUC RUR LAS MALVINAS","286568005598","CENT EDUC RUR LAS MALVINAS","28656800509102","ESC RUR MIX LA HERRADURA","RURAL","ARTEAGA ALBAN ELIZABETH DEL CARMEN ",,"NO"
"PUTUMAYO","86571","286001002636","IE RUR RAFAEL REYES","286001000056","IE RUR RAFAEL REYES","28600100263611","ESC RUR MIX SANTA ELENA","RURAL","BURBANO HERNANDEZ WILLS JAIRO ",,"NO"
