"nombre","descripci_n","idioma","medio","formato","estado","vicepresidencia"
"Sistema Acueducto","Mapa donde se muestra los municipios atendidos por EPM metropolitana y que contiene además las fuentes de abastecimiento y las plantas de potabilización","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Configuracion del sistema","Muestra las plantas de potabilización y los tanques que son abastecidos por cada una de ellas, tanto en forma exclusiva como compartida","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Infraestructura Acueducto","Comprende la infraestructura de tuberías desde las fuentes hasta la entrega del agua al cliente final","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Produccion de Agua Potable","Describe el volumen de agua producida (M3) anualmente en cada una de las plantas de potabilización","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Calidad del Agua","Resultados de la medición de la calidad del Agua de acuerdo con la normatividad vigente","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Indicadores de Acueducto","Refleja las principales mediciones realizadas para el Agua Potable","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Sistema Alcantarillado","Mapa donde se muestra los municipios atendidos por EPM metropolitana y que contiene además las plantas de tratamiento","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Infraestructura Alcantarillado","Comprende la infraestructura de las redes de recolección y transporte de las aguas residuales","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Plantas de tratamiento","Refleja el caudal tratado cada año por cada una de las planta que conforman el sistema","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Biosolidos","Uso y alternativas de aprovechamiento de los biosólidos","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Indicadores de Alcantarillado","Refleja las principales mediciones realizadas para el Agua Residual","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Indicadores de Control Social","Corresponde a la publicación anual que realiza la empresa en un medio impreso de comunicación masivo de los indicadores de acueducto y alcantarillado definidos en la resolución CRA 151 de 2001.","Español","Físico","Documento-Prensa","Disponible para ser solicitada",
"Agua Cruda Bombeada","corresponde a la información anual del agua cruda bombeada.","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Agua tratada Bombeada","corresponde a la información anual del agua tratada bombeada.","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Informe Embalse La Fe","Datos que se reportan anualmente a la UNAL para estudios que se realizan al embalse La Fe","Español","Electronico","Excel","Disponible para ser solicitada",
"Plegable de cifras","Corresponde a la publicación anual que realiza la empresa donde se registra información de infraestructura, indicadores, calidad del agua, producción de agua, agua bombeada","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada",
"Direccionamiento del negocio en responsabilidad social","Marco de actuación ""Alianzas para el desarrollo""","Español","Electrónico","Documentos de MS Office, PDF","Disponible",
"Proyectos de expansión","Información de los proyectos en estudio.","Español","Electrónico","Documentos de MS Office, PDF, AutoCad, Etc.","No disponible (Clasificada o Reservada)",
"Opciones de inversión","Información de las posibles opciones de inversión en Generación Energía.","Español","Electrónico","Documentos de MS Office, PDF, AutoCad, Etc.","No disponible (Clasificada o Reservada)",
"Plan de negocio","Plan estratégico del negocio Generación Energía.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Plan de optimización de la infraestructura existente","Estudios y documentos asociados a las optimizaciones de la infraestructura del negocio.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Gestión socioambiental discrecional del negocio en los territorios","Planes de gestión ambiental y social.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","Disponible",
"Gestión socioambiental obligatoria del negocio en los territorios","Cumplimiento de obligaciones y requerimientos legales de las autoridades ambientales: planes de manejo ambiental, permisos y concesiones de aguas, permisos de aprovechamiento forestal, Planes de Emergencia y demás requerimientos.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Estudios socioambientales especializados","Investigaciones arqueológicas, estudios de biodiversidad, fauna y flora; entre otros.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","Disponible",
