"fecha","pais","municipio","delito","circunstacia_de_la_captura","pais_capturado","genero"
"6/16/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/16/22","COLOMBIA","LOS CÓRDOBAS","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/15/22","COLOMBIA","ALBANIA","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/15/22","COLOMBIA","CONCEPCIÓN","ARTÍCULO 332. EXPLOTACIÓN ILÍCITA DE YACIMIENTO MINERO Y OTROS MATERIALES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/15/22","COLOMBIA","IBAGUÉ (CT)","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","FEMENINO"
"6/15/22","COLOMBIA","LOS CÓRDOBAS","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/15/22","COLOMBIA","PALMIRA","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/15/22","COLOMBIA","TIERRALTA","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/14/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTÍCULO 334. CONTAMINACIÓN AMBIENTAL","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/14/22","COLOMBIA","PEREIRA (CT)","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/14/22","COLOMBIA","SANTA MARTA (CT)","ARTICULO 333. DANOS EN LOS RECURSOS NATURALES Y ECOCIDIO","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/13/22","COLOMBIA","ALTAMIRA","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/13/22","COLOMBIA","ARJONA","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/13/22","COLOMBIA","BOGOTÁ D.C. (CT)","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/13/22","COLOMBIA","MEDELLÍN (CT)","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/13/22","COLOMBIA","VERGARA","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/12/22","COLOMBIA","EL CERRITO","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","COLOMBIA","MASCULINO"
"6/12/22","COLOMBIA","EL CERRITO","ARTICULO 328. APROVECHAMIENTO ILICITO DE LOS RECURSOS NATURALES RENOVABLES","FLAGRANCIA LEY 906","VENEZUELA","MASCULINO"
