"caracterizacion","parentesco","fuerza","grado_alfabetico","rango","sexo","fec_nacimiento","edad","ciudad","dpto","pais"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","1980-12-28T00:00:00.000","39","VALLEDUPAR","CESAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","1979-02-28T00:00:00.000","41","MANIZALES","CALDAS","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SS","SUBOFICIAL","MASCULINO","1979-05-24T00:00:00.000","41","NEIVA","HUILA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1977-01-23T00:00:00.000","43","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1978-03-04T00:00:00.000","42","SANTA MARTA","MAGDALENA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1979-09-03T00:00:00.000","41","CALARCA","QUINDIO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1978-11-25T00:00:00.000","42","CAREPA","ANTIOQUIA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1978-04-28T00:00:00.000","42","CAREPA","ANTIOQUIA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1978-12-03T00:00:00.000","41","ARMENIA","QUINDIO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1980-11-06T00:00:00.000","40","GRANADA (BOCA DE MONTE)","META","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","IP","SOLDADO","MASCULINO","1977-12-10T00:00:00.000","42","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1980-10-30T00:00:00.000","40","CHAPARRAL","TOLIMA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","1977-11-13T00:00:00.000","43","BARRANQUILLA","ATLANTICO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1980-01-02T00:00:00.000","40","MEDELLIN","ANTIOQUIA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1980-01-18T00:00:00.000","40","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1980-07-26T00:00:00.000","40","BOLIVAR","CAUCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1978-08-14T00:00:00.000","42","OCAÑA","NORTE DE SANTANDER","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","SM","SUBOFICIAL","MASCULINO","1968-03-12T00:00:00.000","52","ARMENIA","QUINDIO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1977-05-06T00:00:00.000","43","MONTERIA","CORDOBA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","1976-10-16T00:00:00.000","44","BUCARAMANGA","SANTANDER","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","SM","SUBOFICIAL","MASCULINO","1971-12-10T00:00:00.000","48","MAGANGUE","BOLIVAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1977-04-22T00:00:00.000","43","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1977-01-11T00:00:00.000","43","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","JTC","SUBOFICIAL","MASCULINO","1971-04-09T00:00:00.000","49","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","1980-05-03T00:00:00.000","40","PEREIRA","RISARALDA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","S2","SUBOFICIAL","MASCULINO","1980-02-07T00:00:00.000","40","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","1973-07-15T00:00:00.000","47","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","1975-09-27T00:00:00.000","45","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","1972-08-12T00:00:00.000","48","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","1977-08-09T00:00:00.000","43","PAZ DE ARIPORO (MORENO)","CASANARE","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","JT","SUBOFICIAL","MASCULINO","1976-01-23T00:00:00.000","44","COROZAL","SUCRE","COLOMBIA"
