"regi_n","metropolitana","distrito","estaci_n","barrio","zona","nro_integrantes","estado"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","SIMON BOLIVAR","URBANA","30","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","LA CEIBA","URBANA","21","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","MANGUARE","URBANA","16","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","LA ESPERANZA","URBANA","31","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","ONCE DE NOVIEMBRE","URBANA","26","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","CENTRO","URBANA","38","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","AFASINTE","URBANA","34","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","GAITAN","URBANA","22","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","EL PORVENIR","URBANA","23","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","VICTORIA REGIA","URBANA","30","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","LAGOS","RURAL","21","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA",,"RURAL","27","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","AGUILA","URBANA","26","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","IANE","URBANA","39","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","KILOMETRO","RURAL","10","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","KILOMETRO","RURAL","10","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","KILOMETRO","RURAL","10","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA AMAZONAS",,"ESTACION DE POLICIA LETICIA","LETICIA","RURAL","12","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA BOYACA","DISTRITO VIII DE POLICIA MIRAFLORES","ESTACION DE POLICIA BERBEO","CENTRO","URBANA","6","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA BOYACA","DISTRITO VIII DE POLICIA MIRAFLORES","ESTACION DE POLICIA CAMPOHERMOSO","CENTRO","URBANA","8","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA BOYACA","DISTRITO VIII DE POLICIA MIRAFLORES","ESTACION DE POLICIA PAEZ","CENTRO","URBANA","10","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA BOYACA","DISTRITO VIII DE POLICIA MIRAFLORES","ESTACION DE POLICIA SAN EDUARDO","VILLA MAIRENA","URBANA","10","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA BOYACA","DISTRITO VIII DE POLICIA MIRAFLORES","ESTACION DE POLICIA ZETAQUIRA","CENTRO","URBANA","19","ACTIVO"
"REGION DE POLICIA No. UNO","DEPARTAMENTO DE POLICIA BOYACA","DISTRITO V DE POLICIA SOATA","ESTACION DE POLICIA TIPACOQUE","CENTRO","URBANA","5","ACTIVO"
