"a_o","pais","departamento","codigo_dane","municipio","divisi_n","rama","variable","valor"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Agrícola sin café","VABc","3519"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Café","VABc","11376"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Vacuno","VABc","3267"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Porcino","VABc","34"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Avícola","VABc","238"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Silvicultura y extracción de maderas","VABc","1008"
"2000","Colombia","Caldas","17013","Aguadas","Industria","Industria manufacturera","VABc","274"
"2000","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Energía eléctrica & gas","VABc","1212"
"2000","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Agua, alcantarillado y saneamiento","VABc","390"
"2000","Colombia","Caldas","17013","Aguadas","Construcción","Obras civiles","VABc","1459"
"2000","Colombia","Caldas","17013","Aguadas","Comercio","Comercio","VABc","4901"
"2000","Colombia","Caldas","17013","Aguadas","Comercio","Reparación","VABc","1220"
"2000","Colombia","Caldas","17013","Aguadas","Hoteles&restaurantes","Hoteles&restaurantes","VABc","1244"
"2000","Colombia","Caldas","17013","Aguadas","Comunicaciones","Comunicaciones","VABc","1568"
"2000","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Intermediación financiera&seguros","VABc","1249"
"2000","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Servicios a las empresas","VABc","3283"
"2000","Colombia","Caldas","17013","Aguadas","Alquiler de vivienda y servicios inmobiliarios","Alquiler de vivienda y servicios inmobiliarios","VABc","5977"
"2000","Colombia","Caldas","17013","Aguadas","Servicios domésticos","Servicios domésticos","VABc","0"
"2000","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Educación privada","VABc","0"
"2000","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Salud privada","VABc","692"
"2000","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Servicios personales y comunales","VABc","2151"
"2000","Colombia","Caldas","17013","Aguadas","Gobierno","Gobierno","VABc","14747"
"2000","Colombia","Caldas","17013","Aguadas","Impuestos netos de subsidios","Impuestos netos de subsidios","Valor Tx-s c","2137"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Agrícola sin café","VABk","3689"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Café","VABk","15350"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Vacuno","VABk","4930"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Porcino","VABk","69"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Avícola","VABk","327"
"2000","Colombia","Caldas","17013","Aguadas","Agropecuario","Silvicultura y extracción de maderas","VABk","1349"
"2000","Colombia","Caldas","17013","Aguadas","Minería","Minerales metálicos","VABk","0"
"2000","Colombia","Caldas","17013","Aguadas","Industria","Industria manufacturera","VABk","359"
"2000","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Energía eléctrica & gas","VABk","2036"
"2000","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Agua, alcantarillado y saneamiento","VABk","702"
"2000","Colombia","Caldas","17013","Aguadas","Construcción","Obras civiles","VABk","1968"
"2000","Colombia","Caldas","17013","Aguadas","Comercio","Comercio","VABk","5952"
"2000","Colombia","Caldas","17013","Aguadas","Comercio","Reparación","VABk","1443"
"2000","Colombia","Caldas","17013","Aguadas","Hoteles&restaurantes","Hoteles&restaurantes","VABk","1614"
"2000","Colombia","Caldas","17013","Aguadas","Comunicaciones","Comunicaciones","VABk","2136"
"2000","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Intermediación financiera&seguros","VABk","1745"
"2000","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Servicios a las empresas","VABk","4339"
"2000","Colombia","Caldas","17013","Aguadas","Alquiler de vivienda y servicios inmobiliarios","Alquiler de vivienda y servicios inmobiliarios","VABk","7149"
"2000","Colombia","Caldas","17013","Aguadas","Servicios domésticos","Servicios domésticos","VABk","0"
"2000","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Educación privada","VABk","0"
"2000","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Salud privada","VABk","884"
"2000","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Servicios personales y comunales","VABk","2680"
"2000","Colombia","Caldas","17013","Aguadas","Gobierno","Gobierno","VABk","19446"
"2000","Colombia","Caldas","17013","Aguadas","Impuestos netos de subsidios","Impuestos netos de subsidios","VABk","3417"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Agrícola sin café","VABc","3027"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Café","VABc","8763"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Vacuno","VABc","3848"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Porcino","VABc","40"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Avícola","VABc","316"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Silvicultura y extracción de maderas","VABc","1081"
"2001","Colombia","Caldas","17013","Aguadas","Pesca","Pescado y otros productos","VABc","83"
"2001","Colombia","Caldas","17013","Aguadas","Industria","Industria manufacturera","VABc","302"
"2001","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Energía eléctrica & gas","VABc","1472"
"2001","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Agua, alcantarillado y saneamiento","VABc","543"
"2001","Colombia","Caldas","17013","Aguadas","Construcción","Obras civiles","VABc","1119"
"2001","Colombia","Caldas","17013","Aguadas","Comercio","Comercio","VABc","5531"
"2001","Colombia","Caldas","17013","Aguadas","Comercio","Reparación","VABc","1282"
"2001","Colombia","Caldas","17013","Aguadas","Hoteles&restaurantes","Hoteles&restaurantes","VABc","1281"
"2001","Colombia","Caldas","17013","Aguadas","Comunicaciones","Comunicaciones","VABc","1677"
"2001","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Intermediación financiera&seguros","VABc","1484"
"2001","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Servicios a las empresas","VABc","3945"
"2001","Colombia","Caldas","17013","Aguadas","Alquiler de vivienda y servicios inmobiliarios","Alquiler de vivienda y servicios inmobiliarios","VABc","6121"
"2001","Colombia","Caldas","17013","Aguadas","Servicios domésticos","Servicios domésticos","VABc","0"
"2001","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Educación privada","VABc","0"
"2001","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Salud privada","VABc","712"
"2001","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Servicios personales y comunales","VABc","1861"
"2001","Colombia","Caldas","17013","Aguadas","Gobierno","Gobierno","VABc","17509"
"2001","Colombia","Caldas","17013","Aguadas","Impuestos netos de subsidios","Impuestos netos de subsidios","Valor Tx-s c","1143"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Agrícola sin café","VABk","3414"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Café","VABk","15770"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Vacuno","VABk","4634"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Porcino","VABk","66"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Avícola","VABk","469"
"2001","Colombia","Caldas","17013","Aguadas","Agropecuario","Silvicultura y extracción de maderas","VABk","1410"
"2001","Colombia","Caldas","17013","Aguadas","Pesca","Pescado y otros productos","VABk","108"
"2001","Colombia","Caldas","17013","Aguadas","Minería","Minerales metálicos","VABk","0"
"2001","Colombia","Caldas","17013","Aguadas","Industria","Industria manufacturera","VABk","379"
"2001","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Energía eléctrica & gas","VABk","2115"
"2001","Colombia","Caldas","17013","Aguadas","Energía eléctrica, gas, agua y alcantarillado","Agua, alcantarillado y saneamiento","VABk","762"
"2001","Colombia","Caldas","17013","Aguadas","Construcción","Obras civiles","VABk","1351"
"2001","Colombia","Caldas","17013","Aguadas","Comercio","Comercio","VABk","6340"
"2001","Colombia","Caldas","17013","Aguadas","Comercio","Reparación","VABk","1457"
"2001","Colombia","Caldas","17013","Aguadas","Hoteles&restaurantes","Hoteles&restaurantes","VABk","1598"
"2001","Colombia","Caldas","17013","Aguadas","Comunicaciones","Comunicaciones","VABk","2018"
"2001","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Intermediación financiera&seguros","VABk","1825"
"2001","Colombia","Caldas","17013","Aguadas","Intermediación financiera, seguros y servicios empresas","Servicios a las empresas","VABk","4890"
"2001","Colombia","Caldas","17013","Aguadas","Alquiler de vivienda y servicios inmobiliarios","Alquiler de vivienda y servicios inmobiliarios","VABk","7191"
"2001","Colombia","Caldas","17013","Aguadas","Servicios domésticos","Servicios domésticos","VABk","0"
"2001","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Educación privada","VABk","0"
"2001","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Salud privada","VABk","865"
"2001","Colombia","Caldas","17013","Aguadas","Servicios sociales, comunales y personales","Servicios personales y comunales","VABk","2230"
"2001","Colombia","Caldas","17013","Aguadas","Gobierno","Gobierno","VABk","22131"
"2001","Colombia","Caldas","17013","Aguadas","Impuestos netos de subsidios","Impuestos netos de subsidios","Valor Tx-s k","1718"
