"municipio","clase","marca","linea","modelo","carroceria","pasajeros","tonelaje","cilindraje","servicio","estado","blindaje","importado","puertas"
"ACUERDOS DE PAGO","CAMPERO","SUZUKI",,"1997","CARPADO","5",,,"PARTICULAR","ACTIVO",,,
"ACUERDOS DE PAGO","MOTOCICLETA","YAMAHA","MOTOCICLETA - GPD150-A (NMAX)","2022","CROSS","2","0","155","PARTICULAR","ACTIVO",,,
"ACUERDOS DE PAGO","AUTOMOVIL","MAZDA","626","1989","SEDAN","5","0","2000","PARTICULAR","ACTIVO","N","N","4"
"ALMEIDA","AUTOMOVIL","HYUNDAI","ACCENT ADVANCE MT RBT","2023","SEDAN","5","0","1591","PARTICULAR","ACTIVO",,,
"ALMEIDA","MOTOCICLETA","YAMAHA","YAMAHA","2022","SPORT","2","0","149","PARTICULAR","ACTIVO",,,
"ALMEIDA","CAMIONETA","RENAULT","C.A.D.C -DUSTER  OROCH E2 AT 4X2","2022","DOBLE CABINA","5","0","1998","PARTICULAR","ACTIVO",,,
"ALMEIDA","MOTOCICLETA","AKT","MOTOCICLETA - AK200DS EIII","2022","SPORT","2","0","197","PARTICULAR","ACTIVO",,,
"ALMEIDA","CAMIONETA","CHEVROLET","LUV DMAX 3.0 4X4 C/D C/A T/M","2012","DOBLE CABINA","4","1","2999","PARTICULAR","ACTIVO",,,
"ALMEIDA","AUTOMOVIL","RENAULT","SANDERO GT LINE MT 1598","2012","HATCH BACK","5","0","1598","PARTICULAR","ACTIVO",,,
"ALMEIDA","AUTOMOVIL","KIA","RIO VIBRANT(SC) AT","2023","HATCHBACK","5","0","1368","PARTICULAR","ACTIVO",,,
"AQUITANIA","CAMPERO","CHEVROLET","TROOPER","1989","CABINADO","5","0","2600","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","CAMPERO","MITSUBISHI","MONTERO","1992","CABINADO","5","0","2600","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","CAMIONETA","CHEVROLET","LUV TFR LWB","2004","ESTACA","2","1","2500","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","CAMIONETA","CHEVROLET","LUV TFR","1993","ESTACA","0","1","1","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","CAMION","CHEVROLET","C-30","1981","ESTACA","0","2","1","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","CAMPERO","DAIHATSU","F-20","1982","CABINADO","5","0","1600","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","MOTOCICLETA","AKT","SIN LINEA","2009","MOTOCICLETA","2","0","200","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","MOTOCICLETA","AYCO","SIN LINEA","2008","MOTOCICLETA","2","0","150","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","MOTOCICLETA","AYCO","SIN LINEA","2008","TURISMO","2","0","149","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","CAMPERO","CHEVROLET","TROOPER","1989","CABINADO","5","0","2600","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","CAMPERO","CHEVROLET","TROOPER","1993","CABINADO","5","0","2600","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","MOTOCICLETA","AYCO","SIN LINEA","2008","MOTOCICLETA","2","0","150","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","MOTOCICLETA","AYCO","SIN LINEA","2008","TURISMO","2","0","150","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","MOTOCICLETA","AYCO","SIN LINEA","2008","MOTOCICLETA","2","0","149","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","CAMIONETA","CHEVROLET","LUV TFS CREW","2005","PLAT DOB CABINA","5","1","2800","PARTICULAR","ACTIVO","N","N","4"
"AQUITANIA","MOTOCICLETA","HONDA","SIN LINEA","2009","TURISMO","2","0","150","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","MOTOCICLETA","UNITED MOTORS (UM)","SIN LINEA","2009","MOTOCICLETA","2","0","175","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","MOTOCICLETA","AYCO","SIN LINEA","2009","TURISMO","2","0","193","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","AUTOMOVIL","RENAULT","LOGAN DYNAMIQUE","2009","SEDAN","5","0","1400","PARTICULAR","ACTIVO","N","N","4"
"AQUITANIA","MOTOCICLETA","AUTECO","SIN LINEA","2009","MOTOCICLETA","2","0","198","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","VOLQUETA","INTERNATIONAL","SIN LINEA","2008","PLATON","0","10","4300","OFICIAL","ACTIVO","N","N","2"
"AQUITANIA","MOTOCICLETA","VICTORY","SIN LINEA","2009","TURISMO","2","0","150","PARTICULAR","ACTIVO","N","N","0"
"AQUITANIA","CAMIONETA","CHEVROLET","LUV TFS","1996","ESTACA","0","1","2300","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","AUTOMOVIL","RENAULT","R9 GTL 1300","1988","SEDAN","4","0","1300","PARTICULAR","ACTIVO","N","N","4"
"AQUITANIA","CAMION","DODGE","D-300","1979","ESTACA","0","3","1","PARTICULAR","ACTIVO","N","N","2"
"AQUITANIA","AUTOMOVIL","FORD","FESTIVA","1994","SEDAN","5","0","1300","PARTICULAR","ACTIVO","N","S","4"
"AQUITANIA","MOTOCICLETA","JIALING","SPORT","2009","SIN","2","0","133","PARTICULAR","ACTIVO",,,
"AQUITANIA","MOTOCICLETA","JIALING","GOLD MT","2009","SIN","2",,"133","PARTICULAR","ACTIVO",,,
"AQUITANIA","MOTOCICLETA","AUTECO","PULSAR","2010","TURISMO","2","0","180","PARTICULAR","ACTIVO",,,
"AQUITANIA","MOTOCICLETA","JIALING","JH 150 -35","2009","TURISMO","2","0","133","PARTICULAR","ACTIVO",,,
"AQUITANIA","MOTOCICLETA","JIALING","JH150-35","2009","TURISMO","2","0","133","PARTICULAR","ACTIVO",,,
