"a_o","identificador_de_la_orden","rama_de_la_entidad","sector_de_la_entidad","entidad","solicitante","fecha","proveedor","estado","solicitud","items","total","agregacion"
"2018","24890","Ejecutiva","Justicia y del Derecho","ANDJE","Joaquin Mauricio Galarza Vejarano","2018-01-25T00:00:00.000","Computel System SAS","Cerrada","43033","Ver Conjunto detalle","48020423","Arriendo ETP"
"2018","33198","Ejecutiva","Justicia y del Derecho","ANDJE","Elena Villalba Villalobos","2018-11-19T00:00:00.000","UNION TEMPORAL EMINSER  SOLOASEO 2016","Cerrada","57400","Ver Conjunto detalle","253893742","Aseo y Cafetería II"
"2018","33195","Ejecutiva","Justicia y del Derecho","ANDJE","Joaquin Mauricio Galarza Vejarano","2018-11-19T00:00:00.000","Internexa SA","Cerrada","57233","Ver Conjunto detalle","29604574","Conectividad II"
"2018","26282","Ejecutiva","Justicia y del Derecho","ANDJE","Digite Usuario","2018-03-07T00:00:00.000","Productos de Seguridad SA Prodeseg","Emitida","45321","Ver Conjunto detalle","837078","Elementos para Emergencias"
"2018","27734","Ejecutiva","Justicia y del Derecho","ANDJE","Joaquin Mauricio Galarza Vejarano","2018-04-20T00:00:00.000","Controles Empresariales SAS","Cerrada","47675","Ver Conjunto detalle","104694088","Microsoft II"
"2018","24733","Ejecutiva","Justicia y del Derecho","ANDJE","Joaquin Mauricio Galarza Vejarano","2018-01-19T00:00:00.000","Controles Empresariales SAS","Cerrada","42777","Ver Conjunto detalle","47102257","Microsoft II"
"2018","24889","Ejecutiva","Justicia y del Derecho","ANDJE","Joaquin Mauricio Galarza Vejarano","2018-01-25T00:00:00.000","Controles Empresariales SAS","Cerrada","43044","Ver Conjunto detalle","11495138","Microsoft II"
"2018","34316","Ejecutiva","Justicia y del Derecho","ANDJE","Elena Villalba Villalobos","2018-12-12T00:00:00.000","Controles Empresariales SAS","Cerrada","58979","Ver Conjunto detalle","19694723","Microsoft II"
"2018","33523","Ejecutiva","Justicia y del Derecho","ANDJE","Joaquin Mauricio Galarza Vejarano","2018-11-26T00:00:00.000","IFX Netorks Colombia SAS","Cerrada","57877","Ver Conjunto detalle","155098969","Nube Privada II"
"2018","25765","Ejecutiva","Justicia y del Derecho","ANDJE","Ivan Dario Mena Muñoz","2018-02-22T00:00:00.000","Institucional Star Services Ltda","Cerrada","44466","Ver Conjunto detalle","11226540","Papelería y útiles de oficina II"
"2018","33502","Ejecutiva","Justicia y del Derecho","ANDJE","Elena Villalba Villalobos","2018-11-26T00:00:00.000","CONALCREDITOS  CONALCENTER BPO","Cerrada","57807","Ver Conjunto detalle","79088538","Servicios BPO"
"2018","26894","Ejecutiva","Justicia y del Derecho","ANDJE","Ivan Dario Mena Muñoz","2018-03-23T00:00:00.000","Servicio Aéreo a Territorios Nacionales SA","Cerrada","46210","Ver Conjunto detalle","255000000","Tiquetes Aéreos"
