"deporte","tipo","fecha_desde","fecha_hasta","pais","lugar"
"VELA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-26T00:00:00.000","USA","MIAMI- ESTADOS UNIDOS"
"VELA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-26T00:00:00.000","Chile","PUCÓN CHILE"
"BALONCESTO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-18T00:00:00.000","Colombia","TUNJA (BOYACA) COLOMBIA"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-14T00:00:00.000","Colombia","GIRARDOT CUNDINAMARCA"
"LUCHA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-13T00:00:00.000","Colombia","NECOCLI"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-09T00:00:00.000","Colombia","CUNDINAMARCA"
"VELA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-08T00:00:00.000",,"TOMINÉ - CNP"
"BADMINTON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-06T00:00:00.000","Colombia","ANTIOQUIA"
"LEV DE PESAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-04T00:00:00.000","Colombia","CALI"
"TENIS DE MESA","NACIONAL","NACIONAL","2018-12-04T00:00:00.000","Colombia","SANTA MARTA-MAGDALENA"
"TENIS","INTERNACIONAL","INTERNACIONAL","2018-12-03T00:00:00.000","Colombia","BOGOTA"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-12-03T00:00:00.000","Colombia","Bogotá"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-03T00:00:00.000",,"Hangzhou-CHN"
"AUTOMOVILISMO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-01T00:00:00.000","Colombia","Tocancipa"
"SURF","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-01T00:00:00.000",,"LA JOLLA"
"SURF","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-01T00:00:00.000","Peru","LIMA"
"GIMNASIA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-01T00:00:00.000",,"POR DEFINIR"
"GIMNASIA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-12-01T00:00:00.000",,"POR DEFINIR"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-30T00:00:00.000","Colombia","BOGOTÁ D.C."
"ESQUI","CALENDARIO UNICO","CALENDARIO UNICO","2018-11-26T00:00:00.000","Chile","SANTIAGO"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-25T00:00:00.000","Colombia","Tocancipa"
"TRIATLON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-25T00:00:00.000","Colombia","POPAYAN"
"JIUJITSU","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-25T00:00:00.000","Suecia","MALMO"
"FUTBOL DE SALON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-25T00:00:00.000","Colombia","FUSA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-25T00:00:00.000","Colombia","Chia"
"BOWLING","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-25T00:00:00.000",,"HONG KONG"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-24T00:00:00.000","Colombia","Tocancipa"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-24T00:00:00.000","Colombia","Vallle"
"LEV DE PESAS","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-24T00:00:00.000","Peru","LIMA"
"WUSHU","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-23T00:00:00.000","Colombia","PEREIRA"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-22T00:00:00.000","Colombia","SANTA MARTA MAGDALENA"
"BILLAR","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-19T00:00:00.000","Colombia","BUENAVENTURA"
"GOLF","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-19T00:00:00.000","Uruguay","MONTEVIDEO- URUGUAY"
"WUSHU","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-19T00:00:00.000","Colombia","BOGOTA"
"ACTIVIDADES SUBACUATICAS","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-18T00:00:00.000",,"X Definir"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-18T00:00:00.000","Colombia","Tocancipa"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-18T00:00:00.000","Colombia","TOLIMA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-17T00:00:00.000","Colombia","Tocancipa"
"BEISBOL","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-17T00:00:00.000","Colombia","CARTAGENA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-17T00:00:00.000","Colombia","Cali"
"ECUESTRE","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-15T00:00:00.000","Colombia","BOGOTA  ARRAYANES"
"ECUESTRE","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-15T00:00:00.000","Colombia","CALI"
"GIMNASIA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-15T00:00:00.000","Colombia","ARMENIA"
"JUDO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-14T00:00:00.000","Ecuador","GUAYAQUIL"
"ACTIVIDADES SUBACUATICAS","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-14T00:00:00.000",,"Oberhausen (Northrhine-Westfalia) - GER"
"ESQUI","CALENDARIO UNICO","CALENDARIO UNICO","2018-11-12T00:00:00.000","Chile","SANTIAGO"
"TENIS DE MESA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-12T00:00:00.000","Colombia","PEREIRA"
"ESGRIMA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-11T00:00:00.000","Colombia","BOGOTA"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-11T00:00:00.000","Colombia","HUILA"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-10T00:00:00.000","Colombia","TOCAIMA CUNDINAMARCA"
"ESQUI","CALENDARIO UNICO","CALENDARIO UNICO","2018-11-10T00:00:00.000","Colombia","BOGOTA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-11-10T00:00:00.000","Colombia","Santander"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-09T00:00:00.000","Colombia","CALI"
"GIMNASIA",,,"2018-11-08T00:00:00.000","Russia","ST. PETERSBURG - RUSSIA"
"ESGRIMA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-08T00:00:00.000","Colombia","PEREIRA"
"SAMBO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-08T00:00:00.000",,"UCRANIA"
"GIMNASIA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-07T00:00:00.000","Russia","ST. PETERSBURG - RUSSIA"
"VOLEIBOL","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-07T00:00:00.000","Colombia","ARMENIA"
"TENIS","INTERNACIONAL","INTERNACIONAL","2018-11-05T00:00:00.000","Colombia","CUCUTA"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-04T00:00:00.000","Colombia","ANTIOQUIA"
"KARATE DO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-03T00:00:00.000","España","MADRID - ESPAÑA"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-03T00:00:00.000","Colombia","PEREIRA"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-03T00:00:00.000","Colombia","Medellin"
"TRIATLON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-03T00:00:00.000","Colombia","CALIMA"
"VELA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-03T00:00:00.000","Colombia","GUATAPÉ- ANTIOQUIA"
"BALONMAMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-02T00:00:00.000","Colombia","Palmira - Valle - Colombia"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-02T00:00:00.000","Colombia","CALI"
"BILLAR","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-01T00:00:00.000","Colombia","Colombia/ Cundinamarca"
"BALONCESTO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-01T00:00:00.000","Colombia","BOGOTA"
"WUSHU","CALENDARIO INTERNACIONAL.","CALENDARIO INTERNACIONAL.","2018-11-01T00:00:00.000","Argentina","BUENOS AIRES - ARGENTINA"
"SURF","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-01T00:00:00.000",,"BUZIOS"
"GIMNASIA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-01T00:00:00.000",,"POR DEFINIR"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-01T00:00:00.000","Colombia","NEIVA HUILA"
"SQUASH","NACIONAL","NACIONAL","2018-11-01T00:00:00.000",,"LIGA CUNDINAMARCA"
"MOTONAUTICA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-01T00:00:00.000","Colombia","RIO MAGDALENA"
"WUSHU","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-01T00:00:00.000",,"CHINA."
"GIMNASIA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-01T00:00:00.000",,"POR DEFINIR"
"GIMNASIA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-11-01T00:00:00.000","Colombia","SOGAMOSO - BOYACÁ"
