"curso","pa_s","ciudad","fecha_inicial","fecha_final","hora_inicial","hora_final","d_as_curso","cupo_m_ximo","costo_pesos","costo_dolares"
"Metrología de Presión","Colombia","Bogotá D. C.","2020-06-17T00:00:00.000","2020-06-19T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","12","1166700.00","432.00"
"Metrología de Presión","Colombia","Bogotá D. C.","2020-09-23T00:00:00.000","2020-09-25T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","12","1166700.00","432.00"
"Mediciones Geométricas","Colombia","Bogotá D. C.","2020-12-03T00:00:00.000","2020-12-04T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","6","865400.00","320.00"
"Metrología Dimensional Nivel 1","Colombia","Bogotá D. C.","2020-05-05T00:00:00.000","2020-05-08T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","4","8","1467900.00","523.00"
"Metrología Dimensional Nivel 1","Colombia","Bogotá D. C.","2020-09-01T00:00:00.000","2020-09-04T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","4","8","1467900.00","523.00"
"Metrología Dimensional Nivel 2","Colombia","Bogotá D. C.","2020-11-11T00:00:00.000","2020-11-13T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","6","1166700.00","432.00"
"Metrología de Patrones de energía y EPM","Colombia","Bogotá D. C.","2020-09-10T00:00:00.000","2020-09-11T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","6","865400.00","320.00"
"Calibración Medidores de Energía Eléctrica","Colombia","Bogotá D. C.","2020-09-24T00:00:00.000","2020-09-25T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","6","865400.00","320.00"
"Metrología de Temperatura y humedad","Colombia","Bogotá D. C.","2020-07-06T00:00:00.000","2020-07-10T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","5","10","1769200.00","654.00"
"Metrología de Temperatura y humedad","Colombia","Bogotá D. C.","2020-09-14T00:00:00.000","2020-09-18T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","5","10","1769200.00","654.00"
"Metrología de Temperatura y humedad","Colombia","Bogotá D. C.","2020-11-23T00:00:00.000","2020-11-27T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","5","10","1769200.00","654.00"
"Metrología de Tiempo y frecuencia","Colombia","Bogotá D. C.","2020-06-04T00:00:00.000","2020-06-05T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","8","865400.00","320.00"
"Metrología de Tiempo y frecuencia","Colombia","Bogotá D. C.","2020-11-26T00:00:00.000","2020-11-27T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","8","865400.00","320.00"
