"hecho","ruptura","conexo","estado_noticia","etapa","anio_denuncia","anio_entrada","anio_hecho","ley","pais","departamento","municipio","seccional","grupo_delito","delito","captura","imputacion","condena","atipicidad_inexistencia","acusacion","homicidio_doloso_consumado","total_procesos"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2016","2016","2016","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO","HURTO. ART. 239 C.P.","NO","NO","NO","NO","NO","NO","31695.0"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2017","2017","2017","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO","HURTO CALIFICADO. ART. 240 C.P.","NO","NO","NO","NO","NO","NO","8266.0"
"SI","NO","NO","ACTIVO","QUERELLABLE","2022","2022","2022","Ley 906","Colombia","Santander","BARRANCABERMEJA","DIRECCIÓN SECCIONAL DE MAGDALENA MEDIO","LESIONES PERSONALES","LESIONES ART. 111 C.P.","NO","NO","NO","NO","NO","NO","257.0"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2021","2021","2019","Ley 906","Colombia","Atlántico","SOLEDAD","DIRECCIÓN SECCIONAL DE ATLÁNTICO","HURTO","HURTO CALIFICADO DE AUTOMOTOR MENOR CUANTIA  ART. 240 C.P.  AGRAVADO POR LA DESTREZA ART. 241 C.P. N.10","NO","NO","NO","NO","NO","NO","2.0"
"NO","NO","NO","INACTIVO","INDAGACIÓN","2010","2010","2010","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO","HURTO AGRAVADO ART. 239 C.P. MENOR CUANTIA","NO","NO","NO","SI","NO","NO","796.0"
"SI","NO","NO","INACTIVO","QUERELLABLE","2018","2018","2018","Ley 906","Colombia","Boyaca","NOBSA","DIRECCIÓN SECCIONAL DE BOYACÁ","INJURIA Y CALUMNIA","CALUMNIA. ART. 221 C.P.","NO","NO","NO","NO","NO","NO","26.0"
"SI","NO","NO","INACTIVO","EJECUCIÓN DE PENAS","2020","2020","2020","Ley 1098","Colombia","Norte de Santander","CÚCUTA","DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER","HOMICIDIO DOLOSO","HOMICIDIO ART. 103 C.P.","SI","SI","NO","NO","SI","NO","2.0"
"NO","NO","NO","INACTIVO","QUERELLABLE","2018","2018","2018","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","FE PUBLICA","FALSEDAD PERSONAL. ART. 296 C.P.","NO","NO","NO","SI","NO","NO","1376.0"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2016","2016","2016","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO","HURTO CALIFICADO. ART. 240 C.P.","NO","NO","NO","NO","NO","NO","8026.0"
"SI","NO","NO","INACTIVO","QUERELLABLE","2022","2022","2022","Ley 906","Colombia","Cundinamarca","GIRARDOT","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HURTO","HURTO ART. 239 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","NO","79.0"
