"id","tipo_asset","nombre_del_asset","nombre_del_programa","tipo","temporada","capitulo","canal","url"
"5007","Audio","Clase 108 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","108","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-108-profe-tu-casa"
"5006","Video","Clase 112 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","112","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-112-profe-tu-casa"
"5002","Video","Sentado a la puerta de mi casa - Cap. 3 Cosas que podrían o no ser","Con la lavadora al fondo","Inventos","Bitácora de la cuarentena","122","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/sentado-puerta-mi-casa-cap-3-cosas-podrian-o-no-ser"
"5001","Video","Sentado a la puerta de mi casa - Cap. 2 Cosas que son","Con la lavadora al fondo","Inventos","Bitácora de la cuarentena","121","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/sentado-puerta-mi-casa-cap-2-cosas-son"
"5000","Video","Sentado a la puerta de mi casa - Cap.1 Cosas que eran","Con la lavadora al fondo","Inventos","Bitácora de la cuarentena","120","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/sentado-puerta-mi-casa-cap1-cosas-eran"
"4996","Video","El intruso - César Jaramillo","Con la lavadora al fondo","Inventos","Delirando en casa","116","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/intruso-cesar-jaramillo"
"4995","Video","Tres pelos de un gato cualquiera - Tercer pelo: split de baño","Con la lavadora al fondo","Inventos","Delirando en casa","115","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/tres-pelos-gato-cualquiera-tercer-pelo-split-bano"
"4994","Video","Tres pelos de un gato cualquiera - Segundo pelo: colgado del techo","Con la lavadora al fondo","Inventos","Delirando en casa","114","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/tres-pelos-gato-cualquiera-segundo-pelo-colgado-del-techo"
"4993","Video","Tres pelos de un gato cualquiera - Primer pelo: Jimmy","Con la lavadora al fondo","Inventos","Delirando en casa","113","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/tres-pelos-gato-cualquiera-primer-pelo-jimmy"
"4989","Video","Gracias a la cuarentena…¡por fin nos casamos!","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","109","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/gracias-cuarentena-fin-nos-casamos"
