"fecha","pa_s","departamento","municipio","delito","g_nero","pa_s_aprehendido","circunstancia_de_la_aprehensi"
"2020-01-01T00:00:00.000","COLOMBIA","ANTIOQUIA","ENVIGADO","ARTÍCULO 239. HURTO PERSONAS","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","ANTIOQUIA","SALGAR","ARTÍCULO 447. RECEPTACIÓN","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","ATLÁNTICO","BARRANQUILLA (CT)","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","BOYACÁ","SANTANA","ARTÍCULO 111. LESIONES PERSONALES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","BOYACÁ","TUNJA (CT)","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","CUNDINAMARCA","TIBACUY","ARTÍCULO 111. LESIONES PERSONALES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","GUAJIRA","MAICAO","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","SAN ANDRÉS","SAN ANDRÉS (CT)","ARTÍCULO 103. HOMICIDIO","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","SANTANDER","BUCARAMANGA (CT)","ARTÍCULO 103. HOMICIDIO","MASCULINO","COLOMBIA","ORDEN JUDICIAL LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","SANTANDER","BUCARAMANGA (CT)","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","VALLE","CANDELARIA","ARTÍCULO 103. HOMICIDIO","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-01T00:00:00.000","COLOMBIA","VALLE","TORO","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-02T00:00:00.000","COLOMBIA","ANTIOQUIA","GUARNE","ARTÍCULO 447. RECEPTACIÓN","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-02T00:00:00.000","COLOMBIA","ANTIOQUIA","MEDELLÍN (CT)","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-02T00:00:00.000","COLOMBIA","ATLÁNTICO","BARRANQUILLA (CT)","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","MASCULINO","VENEZUELA","FLAGRANCIA LEY 906"
"2020-01-02T00:00:00.000","COLOMBIA","ATLÁNTICO","BARRANQUILLA (CT)","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-02T00:00:00.000","COLOMBIA","BOYACÁ","TUNJA (CT)","ARTÍCULO 111. LESIONES PERSONALES","MASCULINO","COLOMBIA","FLAGRANCIA LEY 906"
"2020-01-02T00:00:00.000","COLOMBIA","CALDAS","SAMANÁ","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","FEMENINO","COLOMBIA","FLAGRANCIA LEY 906"
