"parentesco","fuerza","grado_alfabetico","rango","sexo","estado_civil","edad","ciudad","dpto","pais"
"TITULAR","EJÉRCITO","SP","SUBOFICIAL","FEMENINO","DIVORCIADO","53","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","55","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","90","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","ARMADA","CC","OFICIAL","MASCULINO","CASADO","85","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","ARMADA","S2","SUBOFICIAL","MASCULINO","CASADO","92","MEDELLIN","ANTIOQUIA","COLOMBIA"
"TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","81","BOGOTÁ","CUNDINAMARCA","COLOMBIA"
"TITULAR","ARMADA","JT","SUBOFICIAL","MASCULINO","UNIÓN LIBRE","95","BARRANQUILLA","ATLANTICO","COLOMBIA"
"TITULAR","ARMADA","S2","SUBOFICIAL","MASCULINO","CASADO","86","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","90","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","88","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","MG","OFICIAL","MASCULINO","CASADO","86","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","TC","OFICIAL","MASCULINO","CASADO","85","CUCUTA","NORTE DE SANTANDER","COLOMBIA"
"TITULAR","EJÉRCITO","CS","SUBOFICIAL","MASCULINO","SOLTERO","88","MEDELLIN","ANTIOQUIA","COLOMBIA"
"TITULAR","ARMADA","TC","OFICIAL","MASCULINO","CASADO","89","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","85","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","90","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","UNIÓN LIBRE","90","CALI","VALLE DEL CAUCA","COLOMBIA"
"TITULAR","EJÉRCITO","TC","OFICIAL","MASCULINO","CASADO","89","BOGOTÁ","CUNDINAMARCA","COLOMBIA"
"TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","89","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CP","SUBOFICIAL","MASCULINO","CASADO","89","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","89","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","FUERZA AÉREA","CO","OFICIAL","MASCULINO","CASADO","85","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","86","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","TC","OFICIAL","MASCULINO","CASADO","87","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","86","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","85","MEDELLIN","ANTIOQUIA","COLOMBIA"
"TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","86","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","86","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","CS","SUBOFICIAL","MASCULINO","CASADO","96","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","97","BOGOTÁ","CUNDINAMARCA","COLOMBIA"
"TITULAR","ARMADA","S1","SUBOFICIAL","MASCULINO","CASADO","89","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
