"n_senado","n_camara","titulo","autor","f_presentado","comision","estado"
"LEGISLATURA 2017 - 2018",,,,,,
"001/17",,"POR MEDIO DEL CUAL SE REDUCE LA DURACIÓN MÁXIMA DE LA JORNADA ORDINARIA DE TRABAJO A QUIENES TIENEN BAJO SU CUIDADO A PERSONAS DIAGNOSTICADAS CON ENFERMEDAD EN FASE TERMINAL","HS, JIMMY CHAMORRO CRUZ","2017-07-20","SEPTIMA","ARCHIVADO"
"002/17",,"POR LA CUAL SE ESTABLECEN REGLAS EN MATERIA DE SOCIEDADES Y SE ADOPTAN OTRAS DISPOSICIONES.","HS, OSCAR MAURICIO LIZCANO,  ANTONIO GUERRA DE LA ESPRIELA, MANUEL ENRIQUEZ ROSERO, IVAN DUQUE MARQUEZ, EVERTH BUSTAMANTE, MARITZA MARTINEZ ARISTIZABAL.","2017-07-20","TERCERA","ARCHIVADO"
"003/17",,"POR LA CUAL SE ESTABLECE EL REGISTRO NACIONAL DE USUARIOS DE PUBLICIDAD NO DESEADA. ""PROTECCION A USUARIOS DE TELEFONIA""","HS. ANTONIO GUERRA DE LA ESPRIELLA","2017-07-20","PRIMERA","ARCHIVADO"
"004/17",,"POR MEDIO DE LA CUAL SE MODIFICA EL INCISO SEGUNDO AL ARTÍCULO 38 DE LA LEY 99 DE 1993, Y SE DICTAN OTRAS DISPOSICIONES. ""JURISDICCION CORMACARENA""","HS. MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-20","QUINTA","ARCHIVADO POR RETIRO DEL AUTOR"
"005/17",,"POR MEDIO DEL CUAL SE PROHÍBE LA UTILIZACIÓN DEL POLIESTIRENO EXPANDIDO (ICOPOR) EN ACTIVIDADES DE COMERCIALIZACIÓN DE ALIMENTOS, SE ORDENA LA IMPLEMENTACIÓN DE UN PLAN NACIONAL DE RECICLAJE DEL ICOPOR DE USO INDUSTRIAL Y SE DICTAN OTRAS DISPOSICIONES","HS, MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-20","QUINTA","ARCHIVADO"
"006/17",,"POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 21 DE LA LEY 105 DE 1993, MODIFICADO POR EL ARTÍCULO 1 DE LA LEY 787 DE 2002. ""PEAJES""","HS. MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-20","SEXTA","ARCHIVADO"
"007/17",,"POR MEDIO DE LA CUAL SE ADOPTA UN MODELO DE PERFIL DE NUTRIENTES PARA PRODUCTOS ALIMENTICIOS PROCESADOS Y ULTRAPROCESADOS Y SE DICTAN OTRAS DISPOSICIONES. “LEY PARA EL CONSUMO INFORMADO DEL AZÚCAR, LA SAL Y LAS GRASAS”","HS. MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-20","SEPTIMA","ARCHIVADO"
"008/17","228/18","POR MEDIO DE LA CUAL SE CREA EL REGISTRO DE DEUDORES ALIMENTARIOS MOROSOS – REDAM – Y SE DICTAN OTRAS DISPOSICIONES","HS. MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-20","PRIMERA","ARCHIVADO"
"009/17",,"MEDIANTE EL CUAL SE OPTIMIZA EL TRÁMITE ADMINISTRATIVO Y JUDICIAL DE LA ACCIÓN DE RESTITUCIÓN DE TIERRAS Y SE ADOPTAN OTRAS DISPOSICIONES","HS ANTONIO GUERRA DE LA ESPRIELLA","2017-07-20","PRIMERA","ARCHIVADO"
"010/17",,"POR MEDIO DE LA CUAL SE MODIFICA EL NUMERAL 5 DEL ARTÍCULO 2 DE LA LEY 403 DE 1997 ACLARADO POR LA LEY 815 DE 2003 EN LO RELATIVO AL DESCUENTO EN EL VALOR DE LA MATRÍCULA EN INSTITUCIONES OFICIALES DE EDUCACIÓN SUPERIOR COMO BENEFICIO A LOS SUFRAGANTES.","HS PAOLA HOLGUÍN MORENO","2017-07-20","PRIMERA","ARCHIVADO"
"011/17","197/18","POR MEDIO DEL CUAL SE CREA LA POLÍTICA DE MECANIZACIÓN AGRÍCOLA, Y SE DICTAN OTRAS DISPOSICIONES","HS. MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-20","QUINTA","ARCHIVADO"
