"caracterizacion_de_afiliados","parentesco","fuerza","grado_alfabetico","grado_numerico","rango","sexo","estado_civil","edad","ciudad","dpto","pais"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","61","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","57","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","57","FACATATIVA","CUNDINAMARCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","71","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","56","ENVIGADO","ANTIOQUIA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","56","FLORIDABLANCA","SANTANDER","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","60","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","57","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","60","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","56","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","55","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","60","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","MY","006A","OFICIAL","FEMENINO","CASADO","70","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","71","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","MY","006A","OFICIAL","FEMENINO","CASADO","69","BARRANQUILLA","ATLANTICO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","67","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","TC","005A","OFICIAL","FEMENINO","CASADO","69","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","CO","004A","OFICIAL","FEMENINO","CASADO","69","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","TC","005A","OFICIAL","FEMENINO","CASADO","68","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","69","MEDELLIN","ANTIOQUIA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","MY","006A","OFICIAL","FEMENINO","CASADO","69","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","67","COTA","CUNDINAMARCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","CO","004A","OFICIAL","FEMENINO","CASADO","67","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","56","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","67","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","022A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","022A","SUBOFICIAL","FEMENINO","CASADO","59","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CF","005B","OFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","59","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CC","006B","OFICIAL","FEMENINO","CASADO","58","BARRANQUILLA","ATLANTICO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","SOACHA","CUNDINAMARCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SV","022A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CN","004B","OFICIAL","FEMENINO","CASADO","60","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CC","006B","OFICIAL","FEMENINO","CASADO","64","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CF","005B","OFICIAL","FEMENINO","CASADO","64","CHIA","CUNDINAMARCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","55","COTA","CUNDINAMARCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","68","CALI","VALLE DEL CAUCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","60","FACATATIVA","CUNDINAMARCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","57","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","MY","006D","OFICIAL","FEMENINO","CASADO","73","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","55","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","CO","004A","OFICIAL","FEMENINO","CASADO","66","USAQUEN","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","58","ARMENIA","QUINDIO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","56","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","FUERZA AÉREA","TC","005D","OFICIAL","FEMENINO","CASADO","67","CALI","VALLE DEL CAUCA","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CF","005B","OFICIAL","FEMENINO","CASADO","67","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CC","006B","OFICIAL","FEMENINO","CASADO","57","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CF","005B","OFICIAL","FEMENINO","CASADO","57","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","TC","005A","OFICIAL","FEMENINO","CASADO","65","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","MY","006A","OFICIAL","FEMENINO","CASADO","71","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","SP","021A","SUBOFICIAL","FEMENINO","CASADO","56","ARMENIA","QUINDIO","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","EJÉRCITO","TC","005A","OFICIAL","FEMENINO","CASADO","62","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADOS TITULARES","TITULAR","ARMADA","CC","006B","OFICIAL","FEMENINO","CASADO","59","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
