"f","departamento","municipio","n_convocatoria","estado","g_nero_benef","cant_estudiantes_en_el_hogar","zona","zona_geografica","barrio","estrato_socieconomico","velocidad","medio_de_tramisi_n"
"1","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"2","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"3","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"4","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"5","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"6","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Betania","2","10 Mb","Fibra Optica"
"7","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"8","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"9","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"10","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"11","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"12","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"13","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"14","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
