"idpuntoatencion","descripcion","direcci_n","telefono","fax","parqueadero","latitud","longitud","horario","nombreciudad","departamento"
"64","Principal Bucaramanga","Calle 28 entre carrera 18 y 19","01 8000 971903 - 115",,"0","7.1249726","-73.1259247","Lun, mar, jue y vie 7:00-11:30a.m. y 1:00-4:30p.m  /  mie 8:00-11:30a.m. y 1:00-5:30p.m.","Principal Bucaramanga","Santander"
"65","Provenza","Calle 105  # 21- 69","01 8000 971903 - 115",,"0","7.085476","-73.116687","-","Provenza","Santander"
"67","El Carmen de Chucuri","Calle 03 # 05-56 local 2 Edificio Roselia","01 8000 971903 - 115",,"0","6.698792","-73.511885","Sem 2: lun 1-4:30pm / mar y jue 7-11:30am y 1-4:30 pm / mie 8-11:30am y 1-4:30pm / vie 7-11:30am","El Carmen de Chucuri","Santander"
"68","Floridablanca","Calle 198 # 33-41","01 8000 971903 - 115",,"0","7.062138","-73.106571","Lun, mar, jue y vie 7:00-11:30a.m. y 1:00-4:30p.m  /  mie 8:00-11:30a.m. y 1:00-5:30p.m.","Floridablanca","Santander"
"69","Girón","Calle 32  # 27-08","01 8000 971903 - 115",,"0","7.067376","-73.17015","Lun, mar, jue y vie 7:00-11:30a.m. y 1:00-4:30p.m / mie 8:00-11:30a.m. y 1:00-5:30p.m.","Girón","Santander"
"70","Lebrija","Calle 12 # 07-41","01 8000 971903 - 115",,"0","7.1140965","-73.216596","Lun, mar, jue y vie 7:00-11:30a.m. y 2:00-4:30p.m  /  mie 8:00-11:30a.m. y 2:00-4:30p.m.","Lebrija","Santander"
"71","Matanza","Oficina Móvil","01 8000 971903 - 115",,"0","7.323074","-73.015299","-","Matanza","Santander"
"72","Piedecuesta","Carrera 07 # 08 - 93","01 8000 971903 - 115",,"0","6.987003","-73.050576","Lun, mar, jue y vie 7:00-11:30a.m. y 1:00-4:30p.m  /  mie 8:00-11:30a.m. y 1:00-5:30p.m.","Piedecuesta","Santander"
"73","Rionegro","Calle 11 # 13-32","01 8000 971903 - 115",,"0","7.265714","-73.150173","Tercera semana: Lun a vie 8:00-11:30a.m. y 1:00-4:00p.m","Rionegro","Santander"
"74","San Vicente de Chucuri","Calle 15 # 15-21","01 8000 971903 - 115",,"0","6.87969","-73.415583","Lun, mar, jue y vie 7:00-11:30a.m. y 2:00-4:30p.m  /  mie 8:00-11:30a.m. y 2:00-4:30p.m.","San Vicente de Chucuri","Santander"
"75","Zapatoca","Carrera 09 # 18 - 25","01 8000 971903 - 115",,"0","6.896626","-73.284434","Lun, mar, jue y vie 7:00-11:30a.m. y 2:00-4:30p.m  /  mie 8:00-11:30a.m. y 2:00-4:30p.m.","Zapatoca","Santander"
"85","Corregimiento Yarima","Administración Municipal","01 8000 971903 - 115",,"0","6.832112","-73.712024","-","Corregimiento Yarima","Santander"
"86","Barrio Colombia","Calle 48 # 20-25","01 8000 971903 - 115",,"0","7.058446","-73.85704","-","Barrio Colombia","Santander"
"87","Cimitarra","Carrera 03 # 07 - 119","01 8000 971903 - 115",,"0","6.314296","-73.948493","Lun, mar, jue y vie 7:00-11:30a.m. y 2:00-4:30p.m  /  mie 8:00-11:30a.m. y 2:00-4:30p.m.","Cimitarra","Santander"
"88","Landázuri","Calle 06 # 07 - 11 Piso 1 local 101","01 8000 971903 - 115",,"0","6.218911","-73.811662","sem 2 y 4: lun y jue 8:00 a 11:30 a.m. y 1:00 a 4:30 p.m.","Landázuri","Santander"
"89","Puerto Parra","Carrera 8A # 05 - 35","01 8000 971903 - 115",,"0","6.652491","-74.057391","Sem 2 y 4: mar y vie 7:00-11:30 a.m. y 1:00-4:30 p.m  /  mie 8:00-11:30 a.m. y 1:00-4:30 p.m.","Puerto Parra","Santander"
"90","Puerto Wilches","Calle 05 # 02 - 56 Barrio Centro","01 8000 971903 - 115",,"0","7.348666","-73.897757","S 1: L Ma J V 7 a 11:30 y 2 a 4:30 / Mi 8 a 11:30 y 2 a 4:30 S 2 y 4: L Ma V y Mi. S 3: L Ma y Mi","Puerto Wilches","Santander"
"91","Sabana de Torres","Calle 18 # 10-50","01 8000 971903 - 115",,"0","7.391647","-73.490801","Lun, mar, jue y vie 7:00-11:30a.m. y 2:00-4:30p.m  /  mie 8:00-11:30a.m. y 2:00-4:30p.m.","Sabana de Torres","Santander"
"92","San Alberto","Calle 04 # 03 - 33 Barrio Centro","01 8000 971903 - 115",,"0","7.761001","-73.391465","Lun, mar, jue y vie 7:00-11:30a.m. y 2:00-4:30p.m / mie 8:00-11:30a.m. y 2:00-4:30p.m.","San Alberto","Cesar"
"93","San Pablo","Carrera 06 # 18 - 67","01 8000 971903 - 115",,"0","7.481187","-73.920802","Sem 3 y 4 lu 9:30-11:30 y 2-4:30 mi 8-11:30 y 2-4:30 ma y ju 7-11:30 y 2-4:30 vi 7-11:30 y 2-4","San Pablo","Bolivar"
"94","Cantagallo","Calle 02 # 04 - 43","01 8000 971903 - 115",,"0","7.416942","-73.950031","Sem 2 y 4: jue 8:00 a 11:30 am y 1:00 a 4:00 pm. Sem 3 jue y vie 8:00 a 11:30 am y 1:00 a 4:00 pm.","Cantagallo","Bolivar"
"96","Puerto Araujo","Calle 04 # 02 - 20","01 8000 971903 - 115",,"0","6.518381","-74.104909","-","Puerto Araujo","Santander"
"97","San Martín","Calle 15 # 07 - 26 Barrio Centro","01 8000 971903 - 115",,"0","8.00165","-73.513752","Sem 1 y 2 lun y mie 8:00 a 11:30am y 2:00 a 4:30pm / mar, jue y vie 7:00 a 11:30am y 2:00 a 4:30pm","San Martín","Cesar"
"98","Málaga","Carrera 07 # 13 - 85","01 8000 971903 - 115",,"0","6.698589","-72.732316","Lun, mar, jue y vie 7:00-11:30a.m. y 1:00-3:00p.m  /  mie 8:00-11:30a.m. y 1:00-3:00p.m.","Málaga","Santander"
"99","Capitanejo","Carrera 04 # 02 - 49 Barrio Centro II","01 8000 971903 - 115",,"0","6.526711","-72.694013","Sem 4 lun mar jue vie 7:00 a 11:30 a.m. y 1:00 a 4:30 p.m. / mie 8:00 a 11:30 a.m. y 1:00 a 4:30 p.m","Capitanejo","Santander"
"100","San Andrés","Calle 07 # 04 - 28 Barrio El Centro","01 8000 971903 - 115",,"0","6.809747","-72.849766","Sem 3 mar mie 8 a 11:30 am y 1 a 4:30 pm jue 7 a 11:30 am y 1 a 4:30 pm vie 7 a 11:30 y 1 a 2 pm","San Andrés","Santander"
"101","Carcasí","Calle 03 # 02 - 62","01 8000 971903 - 115",,"0","6.627202","-72.625512","-","Carcasí","Santander"
"104","San Gil","Calle 10 # 12 - 184 primer piso locales 186 y 187","01 8000 971903 - 115",,"0","6.553407","-73.132428","Lun, mar, jue y vie 7:00-11:30a.m. y 1:00-4:30p.m  /  mie 8:00-11:30a.m. y 1:00-5:30p.m.","San Gil","Santander"
"106","Charalá","Calle 24 # 12 - 67 Ubicada en la Calle del Comercio","01 8000 971903 - 115",,"0","6.286986","-73.144753","sem 1,2 y 4: martes 7:00 a 11:30 am y 1:00 a 3:30 pm","Charalá","Santander"
"107","Mogotes","Carrera 07 # 04 - 30 Pasos adelante del Parque Principal","01 8000 971903 - 115",,"0","6.475475","-72.97056","sem 1, 2 y 4: lunes 8:30 a 11:30 am y 1:00 a 3:30 pm","Mogotes","Santander"
"108","Aratoca","Calle 06 # 03 - 26","01 8000 971903 - 115",,"0","6.695361","-73.018153","-","Aratoca","Santander"
