"caracterizacion","parentesco","fuerza","grado_alfabetico","rango","sexo","estado_civil","edad","ciudad","dpto","pais"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","MY","OFICIAL","MASCULINO","CASADO","81","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","CASADO","82","VILLAVICENCIO","META","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","56","TAME","ARAUCA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","FUERZA AÉREA","TS","SUBOFICIAL","MASCULINO","CASADO","59","FACATATIVA","CUNDINAMARCA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","65","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","65","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","66","BUCARAMANGA","SANTANDER","COLOMBIA"
"AFILIADO TITULAR","TITULAR","FUERZA AÉREA","TS","SUBOFICIAL","MASCULINO","CASADO","62","TORONTO0","TORONTO","CANADA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","65","SOACHA","CUNDINAMARCA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","FUERZA AÉREA","TC","OFICIAL","MASCULINO","CASADO","64","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","64","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","TC","OFICIAL","MASCULINO","CASADO","85","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","TC","OFICIAL","MASCULINO","CASADO","77","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","77","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","84","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","CASADO","70","MONTENEGRO","QUINDIO","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","58","CALI","VALLE DEL CAUCA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","62","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","70","TUNJA","BOYACA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","69","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SV","SUBOFICIAL","MASCULINO","CASADO","77","BUCARAMANGA","SANTANDER","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","70","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","FEMENINO","DIVORCIADO","43","VALLEDUPAR","CESAR","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","FEMENINO","DIVORCIADO","53","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","FEMENINO","VIUDO","56","SANTA MARTA","MAGDALENA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","JT","SUBOFICIAL","MASCULINO","CASADO","62","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","57","CUCUTA","NORTE DE SANTANDER","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","56","NEIVA","HUILA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","SOLTERO","54","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","CASADO","58","NEIVA","HUILA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","63","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","56","PAUNA","BOYACA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","JT","SUBOFICIAL","MASCULINO","CASADO","60","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","55","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","FUERZA AÉREA","TJ","SUBOFICIAL","MASCULINO","CASADO","60","FACATATIVA","CUNDINAMARCA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","65","COPACABANA","ANTIOQUIA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","54","SANTA MARTA","MAGDALENA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","JT","SUBOFICIAL","MASCULINO","CASADO","62","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","57","RAMIRIQUI","BOYACA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","FUERZA AÉREA","TS","SUBOFICIAL","MASCULINO","UNIÓN LIBRE","55","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","TC","OFICIAL","MASCULINO","CASADO","60","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SLP","SOLDADO","MASCULINO","UNIÓN LIBRE","59","GARZON","HUILA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","CF","OFICIAL","MASCULINO","CASADO","55","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","58","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","58","MEDELLIN","ANTIOQUIA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","57","VILLAVICENCIO","META","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SP","SUBOFICIAL","MASCULINO","CASADO","57","MANIZALES","CALDAS","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","SJ","SUBOFICIAL","MASCULINO","CASADO","58","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","CO","OFICIAL","MASCULINO","CASADO","60","TUNJA","BOYACA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","TC","OFICIAL","MASCULINO","CASADO","60","IBAGUE","TOLIMA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","ARMADA","JT","SUBOFICIAL","MASCULINO","CASADO","58","CARTAGENA","BOLIVAR","COLOMBIA"
"AFILIADO TITULAR","TITULAR","FUERZA AÉREA","TC","OFICIAL","MASCULINO","CASADO","58","CAJICA","CUNDINAMARCA","COLOMBIA"
"AFILIADO TITULAR","TITULAR","EJÉRCITO","SM","SUBOFICIAL","MASCULINO","CASADO","59","BOGOTÁ","BOGOTÁ D.C","COLOMBIA"
