"bancarizado","codigodepartamentoatencion","codigomunicipioatencion","discapacidad","estadobeneficiario","etnia","fechainscripcionbeneficiario","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangobeneficioconsolidadoasignado","rangoultimobeneficioasignado","fechaultimobeneficioasignado","rangoedad","titular","cantidaddebeneficiarios"
"NO","70","70670","NO","ACTIVO","ND","2016-06-01","Hombre","TRANSICION","SUCRE","SAMPUES","ND","ND","TRANSICIÓNNUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"SI","70","70508","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","OVEJAS","ND","MONETARIO","ND","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"NO","70","70001","NO","ACTIVO","ND","2015-03-01","Hombre","ND","SUCRE","SINCELEJO","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"NO","70","70001","NO","ACTIVO","ND","2015-03-01","Hombre","ND","SUCRE","SINCELEJO","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"ND","70","70771","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SUCRE","ND","MONETARIO","NUTRICIÓN","TI","SISBEN","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
"ND","70","70771","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SUCRE","ND","MONETARIO","NUTRICIÓN","TI","SISBEN","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
"NO","70","70265","NO","ACTIVO","ND","2016-12-01","Mujer","TRANSICION","SUCRE","GUARANDA","ND","ND","TRANSICIÓN","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70742","NO","ACTIVO","ND","2014-09-01","Mujer","ND","SUCRE","SAN LUIS DE SINCE","ND","MONETARIO","ND","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"NO","70","70473","NO","ACTIVO","ND","2016-06-01","Mujer","ND","SUCRE","MORROA","ND","MONETARIO","ND","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
"NO","70","70473","NO","ACTIVO","ND","2016-06-01","Mujer","ND","SUCRE","MORROA","ND","MONETARIO","ND","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
"NO","70","70670","NO","ACTIVO","ND","2016-11-01","Mujer","PRIMARIA","SUCRE","SAMPUES","ND","ND","EDUCACIÓN PRIMARIA","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"ND","70","70508","ND","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","OVEJAS","Colombia","MONETARIO","ND","CC","UNIDOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"NO","70","70713","NO","ACTIVO","ND","2015-09-01","Mujer","PRIMARIA","SUCRE","SAN ONOFRE","ND","ND","EDUCACIÓN PRIMARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","4"
"SI","70","70235","NO","ACTIVO","ND","2012-12-01","Mujer","ND","SUCRE","GALERAS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","50-65","NO","1"
"ND","70","70708","ND","NO ACTIVO","ND","2012-11-01","Mujer","ND","SUCRE","SAN MARCOS","Colombia","MONETARIO","NUTRICIÓN","CC","ND","1.500.001 - 3.000.000","0 - 1.300.000","2014-01-01","30-49","SI","1"
"NO","70","70823","NO","NO ACTIVO","ND","2013-08-01","Hombre","ND","SUCRE","TOLU VIEJO","ND","ND","ND","CC","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"ND","70","70400","ND","ACTIVO","AFROCOLOMBIANO – NEGRO","2013-01-01","Mujer","ND","SUCRE","LA UNION","Colombia","ND","EDUCACIÓN SECUNDARIA","TI","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"ND","70","70508","ND","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","OVEJAS","Colombia","ND","ND","No Definido","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"SI","70","70523","NO","ACTIVO","ND","2012-12-01","Hombre","ND","SUCRE","PALMITO","ND","MONETARIO","ND","CC","SISBEN","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70523","NO","ACTIVO","ND","2012-12-01","Hombre","ND","SUCRE","PALMITO","ND","MONETARIO","ND","CC","SISBEN","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70523","NO","ACTIVO","ND","2012-12-01","Hombre","ND","SUCRE","PALMITO","ND","MONETARIO","ND","CC","SISBEN","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70523","NO","ACTIVO","ND","2012-12-01","Hombre","ND","SUCRE","PALMITO","ND","MONETARIO","ND","CC","SISBEN","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"NO","70","70001","NO","ACTIVO","INDIGENA","2012-10-01","Mujer","ND","SUCRE","SINCELEJO","ND","ND","ND","CC","INDIGENAS","0 - 1.500.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
"NO","70","70713","NO","ACTIVO","ND","2013-01-01","Hombre","ND","SUCRE","SAN ONOFRE","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","57"
"NO","70","70670","NO","ACTIVO","ND","2014-12-01","Mujer","ND","SUCRE","SAMPUES","ND","ND","NUTRICIÓN MENOR","RC","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70823","NO","ACTIVO","INDIGENA","2012-10-01","Mujer","PRIMARIA","SUCRE","TOLU VIEJO","ND","ND","EDUCACIÓN PRIMARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","4"
"NO","70","70823","NO","ACTIVO","ND","2012-11-01","Mujer","ND","SUCRE","TOLU VIEJO","ND","ND","NUTRICIÓN MENOR","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"SI","70","70708","NO","NO ACTIVO","AFROCOLOMBIANO – NEGRO","2013-01-01","Mujer","ND","SUCRE","SAN MARCOS","Colombia","MONETARIO","ND","CC","ND","0 - 1.500.000","0 - 1.300.000","2014-01-01","50-65","SI","1"
"ND","70","70235","ND","NO ACTIVO","ND","2012-12-01","Mujer","ND","SUCRE","GALERAS","Colombia","ND","ND","CC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","2"
"NO","70","70473","NO","NO ACTIVO","ND","2012-11-01","Hombre","ND","SUCRE","MORROA","ND","ND","EDUCACIÓN SECUNDARIA","CC","ND","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","70","70713","NO","ACTIVO","ND","2018-05-01","Hombre","ND","SUCRE","SAN ONOFRE","ND","ND","NUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","00-05","NO","4"
"NO","70","70233","NO","ACTIVO","ND","2018-02-01","Hombre","ND","SUCRE","EL ROBLE","ND","ND","NUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70823","NO","ACTIVO","ND","2015-03-01","Mujer","ND","SUCRE","TOLU VIEJO","ND","ND","NUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70823","NO","NO ACTIVO","ND","2012-11-01","Hombre","ND","SUCRE","TOLU VIEJO","ND","ND","ND","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","70","70820","NO","ACTIVO","ND","2016-11-01","Mujer","TRANSICION","SUCRE","SANTIAGO DE TOLU","ND","ND","TRANSICIÓNNUTRICIÓN MENOR","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"NO","70","70678","NO","ACTIVO","ND","2015-09-01","Hombre","SECUNDARIA","SUCRE","SAN BENITO ABAD","ND","ND","EDUCACIÓN SECUNDARIA","TI","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70823","NO","NO ACTIVO","ND","2012-11-01","Hombre","ND","SUCRE","TOLU VIEJO","ND","ND","ND","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","33"
"NO","70","70418","SI","ACTIVO","ND","2013-01-01","Hombre","ND","SUCRE","LOS PALMITOS","ND","ND","ND","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","70","70001","NO","ACTIVO","INDIGENA","2012-10-01","Hombre","ND","SUCRE","SINCELEJO","ND","ND","ND","TI","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","74"
"NO","70","70233","NO","ACTIVO","ND","2018-06-01","Hombre","ND","SUCRE","EL ROBLE","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","00-05","NO","1"
"SI","70","70713","NO","ACTIVO","ND","2013-10-01","Mujer","ND","SUCRE","SAN ONOFRE","ND","MONETARIO","ND","CC","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"NO","70","70235","NO","ACTIVO","ND","2012-12-01","Hombre","PRIMARIA","SUCRE","GALERAS","ND","ND","ND","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","3"
"NO","70","70110","NO","NO ACTIVO","ND","2014-07-01","Mujer","ND","SUCRE","BUENAVISTA","ND","ND","NUTRICIÓN MENOR","RC","ND","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70823","NO","NO ACTIVO","ND","2012-10-01","Mujer","ND","SUCRE","TOLU VIEJO","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","4"
"ND","70","70823","ND","ACTIVO","INDIGENA","2012-11-01","Hombre","ND","SUCRE","TOLU VIEJO","Colombia","ND","EDUCACIÓN SECUNDARIA","TI","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"SI","70","70823","NO","ACTIVO","ND","2012-10-01","Hombre","ND","SUCRE","TOLU VIEJO","ND","MONETARIO","ND","CC","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000","2017-01-01",">65","SI","1"
"NO","70","70678","NO","ACTIVO","ND","2015-01-01","Hombre","SECUNDARIA","SUCRE","SAN BENITO ABAD","ND","ND","ND","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","70","70110","NO","ACTIVO","ND","2012-11-01","Mujer","SECUNDARIA","SUCRE","BUENAVISTA","ND","ND","ND","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","2"
"NO","70","70508","NO","ACTIVO","ND","2018-09-01","Mujer","ND","SUCRE","OVEJAS","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"ND","70","70230","ND","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","CHALAN","Colombia","MONETARIO","ND","CC","SISBEN","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"SI","70","70429","NO","ACTIVO","ND","2013-01-01","Hombre","ND","SUCRE","MAJAGUAL","ND","MONETARIO","ND","CC","SISBEN","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
