"region","c_digo_dane_del_departamento","departamento","c_digo_dane_del_municipio","municipio"
"Región Centro Sur","41","Huila","41.001","Neiva"
"Región Centro Sur","41","Huila","41.006","Acevedo"
"Región Centro Sur","41","Huila","41.013","Agrado"
"Región Centro Sur","41","Huila","41.016","Aipe"
"Región Centro Sur","41","Huila","41.02","Algeciras"
"Región Centro Sur","41","Huila","41.026","Altamira"
"Región Centro Sur","41","Huila","41.078","Baraya"
"Región Centro Sur","41","Huila","41.132","Campoalegre"
"Región Centro Sur","41","Huila","41.206","Colombia"
"Región Centro Sur","41","Huila","41.244","Elías"
"Región Centro Sur","41","Huila","41.298","Garzón"
"Región Centro Sur","41","Huila","41.306","Gigante"
"Región Centro Sur","41","Huila","41.319","Guadalupe"
"Región Centro Sur","41","Huila","41.349","Hobo"
"Región Centro Sur","41","Huila","41.357","Iquira"
"Región Centro Sur","41","Huila","41.359","Isnos"
"Región Centro Sur","41","Huila","41.378","La Argentina"
"Región Centro Sur","41","Huila","41.396","La Plata"
"Región Centro Sur","41","Huila","41.483","Nátaga"
"Región Centro Sur","41","Huila","41.503","Oporapa"
"Región Centro Sur","41","Huila","41.518","Paicol"
"Región Centro Sur","41","Huila","41.524","Palermo"
"Región Centro Sur","41","Huila","41.53","Palestina"
"Región Centro Sur","41","Huila","41.548","Pital"
"Región Centro Sur","41","Huila","41.551","Pitalito"
"Región Centro Sur","41","Huila","41.615","Rivera"
"Región Centro Sur","41","Huila","41.66","Saladoblanco"
"Región Centro Sur","41","Huila","41.676","Santa María"
"Región Centro Sur","41","Huila","41.77","Suaza"
"Región Centro Sur","41","Huila","41.791","Tarqui"
"Región Centro Sur","41","Huila","41.797","Tesalia"
"Región Centro Sur","41","Huila","41.799","Tello"
"Región Centro Sur","41","Huila","41.801","Teruel"
"Región Centro Sur","41","Huila","41.807","Timaná"
"Región Centro Sur","41","Huila","41.872","Villavieja"
"Región Centro Sur","41","Huila","41.885","Yaguará"
"Región Centro Sur","41","Huila","41.668","San Agustín"
