"clasificacion","codigo_dane","cons_sede","dane_sede","direccion","estado","nombre_establecimiento","nucleo","objectid","sector","sede_educativa","servicio","telefono","vigencia","x_magnamed","y_magnamed","point"
"Privado","305001026122","30500102612201","305001026122","CL 30 C 65 F 46","Activo","PREESCOLAR Y CENTRO ESTIMULACION GRANDES EXPLORADORES","934","744","No Oficial","PREESCOLAR Y CENTRO ESTIMULACION GRANDES EXPLORADORES","NO OFICIAL","2356193","2020","832991.01","1181293.16","POINT (-75.58645706055466 6.233514288607541)"
"Privado","305001026114","30500102611401","305001026114","CL 19 54 15","Activo","CENT EDUC PALETA DE COLORES","933","743","No Oficial","C.E. PALETA DE COLORES","NO OFICIAL","2357563 /2351444","2020","833422.092","1179992.76","POINT (-75.58256223589663 6.221758204773965)"
"Privado","305001026092","30500102609201","305001026092","CR. 18 12 SUR 250","Inactivo","CENTRO INFANTÍL CANTARANA","933","742","No Oficial","CENT INF CANTARANA","NO OFICIAL","4442570","2020","836198.82","1175818.9","POINT (-75.55747812328968 6.184024787972245)"
"Privado","305001026084","30500102608401","305001026084","CR 81A 32EE 51","Activo","CENT EDUC PACHAMAMA","934","741","No Oficial","CENTRO EDUCATIVO PACHAMAMA","NO OFICIAL","4122219-4129566","2020","831039.26","1181806.46","POINT (-75.60408968092695 6.238153747076391)"
"Privado","305001025959","30500102595901","305001025959","CL 59 45 D 56","Activo","CENT EDUC LUZ DE MEDIA LUNA","927","740","No Oficial","CENT EDUC LUZ DE MEDIA LUNA","NO OFICIAL","2543875","2020","835810.08","1183670.73","POINT (-75.56098918302577 6.255009068032582)"
"Privado","305001025932","30500102593201","305001025932","CR 81 49 37","Activo","CENT EDUC ESCOLARTE","930","739","No Oficial","C.E. ESCOLARTE","NO OFICIAL","2641088","2020","831708.13","1184392.08","POINT (-75.59804847106834 6.261529384373028)"
"Privado","305001025886","30500102588601","305001025886","CL 97 84 41","Activo","CENT EDUC MI SEGUNDO HOGAR","921","738","No Oficial","C.E. MI SEGUNDO HOGAR","NO OFICIAL","471 51 89","2020","833145.66","1188270.42","POINT (-75.5850623614522 6.296592061492197)"
"Privado","305001018898","30500101889801","305001018898","CL 73 72 A 64","Activo","CENT EDUC SENDEROS INFES","923","737","No Oficial","CENT EDUC SENDEROS INFANTILES","NO OFICIAL","2640890","2020","833393.53","1185748.01","POINT (-75.58282203287143 6.27378836755205)"
"Privado","305001016101","30500101610101","305001016101","CR 10 16A SUR 3","Activo","COL EUSKADI","932","736","No Oficial","COLEGIO EUSKADI","NO OFICIAL","3360305","2020","836804.74","1175760.53","POINT (-75.55200471409614 6.183496990415647)"
"Privado","305001014663","30500101466301","305001014663","CL 32 78 34","Activo","JARD INF PREES MUNDO DE JUGUETE","934","735","No Oficial","JARD INF PREES MUNDO DE JUGUETE","NO OFICIAL","2380791","2020","831650.72","1181309.49","POINT (-75.59856536399707 6.233661285617658)"
"Cobertura Contratada","305001800065","30500180006501","305001800065","CL 56 41 155","Activo","CENCAL","928","734","No Oficial","COL NAL DE CAPACITACIÓN ACADEMICA Y CULTURAL CENCAL","COBERTURA CONTRATADA","4442048","2020","835863.18","1183250.54","POINT (-75.5605094851304 6.251210348705902)"
"Cobertura Contratada","305001025657","30500102565701","305001025657","CL 56 43 55","Activo","CENT EDUC DE COMPUTO EMPRESARIAL PARA EL TRABAJO - CINDECOPUTO","927","733","No Oficial","C.E. DE CÓMPUTO EMPRESARIAL PARA EL TRABAJO - CINDECÓPUTO","COBERTURA CONTRATADA","4442695-2178655-2162695 rectoría","2020","835779.16","1183302.32","POINT (-75.56126855122663 6.251678470051877)"
"Cobertura Contratada","305001026343","30500102634301","305001026343","CL 65 C 94 C 80","Activo","COL LUIS AMIGO Y FERRER","923","732","No Oficial","COLEGIO LUIS AMIGO Y FERRER","COBERTURA CONTRATADA","4485168","2020","831171.29","1187175.38","POINT (-75.60290041047978 6.286691400621296)"
"Cobertura Contratada","305001024623","30500102462301","305001024623","CR 32 92 C 43","Activo","COL DE DSLLO SOC PARA LA ATENC INTEG AL JOVEN TALITA CUMI","916","731","No Oficial","COL DE DSLLO SOC PARA LA ATENC INTEG AL JOVEN TALITA CUMI","COBERTURA CONTRATADA","211 70 33
263 06 44","2020","837619.16","1186855.89","POINT (-75.5446440234779 6.283804041252744)"
"Oficial - Sede Escuela","105001001198","10500100119802","105001026735","CR 93 A 77 F 57","Activo","INST EDUC AURES","922","730","Oficial","SEC ESC AURES","OFICIAL","2640826","2020","832147.01","1187394.99","POINT (-75.59408489208575 6.288677339811298)"
"Oficial - Sede Escuela","105001025771","10500102577103","105001026743","CL 57 B 16 B 139","Activo","INST EDUC JOAQUIN VALLEJO ARBELAEZ","924","729","Oficial","SEC ESC ALTOS DE LA TORRE","OFICIAL","2845326","2020","838209.47","1183221.09","POINT (-75.53931220293468 6.250943505261308)"
"Oficial - Sede Escuela","105001025763","10500102576303","105001026395","CR 90 15 60","Activo","INST EDUC DEBORA ARANGO PEREZ","934","728","Oficial","SEC ESC MANO DE DIOS","OFICIAL","2350062","2020","830025.17","1180085.86","POINT (-75.61324971291266 6.222597952292448)"
"Oficial - Sede Principal","105001026573","10500102657301","105001026573","CR 109 A 63 B 320","Activo","INST EDUC LUSITANIA- PAZ DE COLOMBIA","936","727","Oficial","INST EDUC LUSITANIA- PAZ DE COLOMBIA","OFICIAL","4273467","2020","829441.096","1186340.084","POINT (-75.61853193800557 6.279138573815186)"
"Oficial - Sede Principal","105001026514","10500102651401","105001026514","CR 56 54 A 25","Activo","INST EDUC SAN BENITO","927","726","Oficial","INST EDUC SAN BENITO","OFICIAL","2510634","2020","834653.55","1183685.54","POINT (-75.57143780131064 6.255142931144801)"
"Oficial - Sede Principal","105001026581","10500102658101","105001026581","CL 56B 4E 10","Activo","INST EDUC LA SIERRA","924","725","Oficial","INST EDUC LA SIERRA","OFICIAL","2218029-2145397","2020","839230.58","1181523.02","POINT (-75.53008811657664 6.235591624727767)"
"Privado","405001023926","40500102392601","405001023926","CL 12 9 24","Activo","CENT EDUC MI LINDO CARRUSEL","937","724","No Oficial","CENT EDUC MI LINDO CARRUSEL","NO OFICIAL","2861095 2869961","2020","825273.821","1176062.023","POINT (-75.65616665824557 6.186214890007496)"
"Privado","405001022288","40500102228801","405001022288","CR 10 CON CL 10","Activo","COL DE BTO COLEGIATURA COLOMBIANA","932","723","No Oficial","COL DE BTO COLEGIATURA COLOMBIANA","NO OFICIAL","2660678","2020","837480.03","1178568.66","POINT (-75.54590375507814 6.20888362438831)"
"Privado","405001022181","40500102218101","405001022181","CL 38A SUR 66A 137","Inactivo","ESC RURAL PRADITO EN ADMINISTRACION (AC)","937","722","No Oficial","ESC RURAL PRADITO EN ADMINISTRACION (AC)","NO OFICIAL","2865071","2020","826211.77","1176123.32","POINT (-75.64769398957735 6.18677044165762)"
"Privado","405001020374","40500102037401","405001020374","CR 60D 48 SUR 25","Inactivo","COL FE Y ALEGRIA CORVIDE (AC)","937","721","No Oficial","COL FE Y ALEGRIA CORVIDE (AC)","NO OFICIAL","2865579/4444262 ext 620","2020","826936.5","1175152.28","POINT (-75.64114603719577 6.177992769502808)"
"Privado","405001018213","40500101821301","405001018213","CR 41 59 32","Inactivo","COL CEDEPRO","924","720","No Oficial","COL CEDEPRO","NO OFICIAL","2922419","2020","836167.14","1183405.47","POINT (-75.55776337348188 6.252610958973927)"
"Cobertura Contratada","405001016946","40500101694601","405001016946","CL 110 43A 51","Activo","COL COOP SAN ANTONIO DE PRADO (AC)","937","719","No Oficial","COL COOP SAN ANTONIO DE PRADO","COBERTURA CONTRATADA","4444262 EXT 601-602-604","2020","837204.87","1188539.73","POINT (-75.5483866324272 6.29902687846433)"
"Privado","305001800014","30500180001401","305001800014","CL 44 A 89 40","Activo","GUARDERÍA Y PREESCOLAR CASTILLO DE COLORES","930","830","No Oficial","GUARDERÍA Y PREESCOLAR CASTILLO DE COLORES","NO OFICIAL","2530133","2020","830763.29","1183415.33","POINT (-75.60658399004198 6.252698498754286)"
"Privado","105001020605","10500102060501","105001020605","CR 39 63 A 57","Activo","CENT EDUC CARRUSEL DE LA ALEGRIA","924","829","No Oficial","CENT EDUC CARRUSEL DE LA ALEGRIA","NO OFICIAL","5851963","2020","836679.45","1183663.19","POINT (-75.55313490162716 6.254940786417816)"
"Privado","305001026238","30500102623801","305001026238","CR 70 74 90","Activo","CENT EDUC FORJADORES DEL MAÑANA","922","828","No Oficial","CENT EDUC FORJADORES DEL MAÑANA","NO OFICIAL","441 14 33","2020","833744.23","1185847.86","POINT (-75.57965356216403 6.274691156761162)"
"Privado","405001025384","40500102538401","405001025384","CL 42SUR  67A 23","Activo","JARDIN INFANTIL CAPULLOS DE SEDA","937","827","No Oficial","JARDIN INFANTIL CAPULLOS DE SEDA","NO OFICIAL","2815975","2020","826013.6","1175662.54","POINT (-75.64948345423261 6.182604489362324)"
"Privado","305001026271","30500102627101","305001026271","CL 47 D 80 41","Activo","CENTRO INFANTIL AVANZA","930","826","No Oficial","CENTRO INFANTIL AVANZA","NO OFICIAL","2505681","2020","831675.03","1184050.53","POINT (-75.59834731869154 6.25844159258128)"
"Privado","305001017492","30500101749201","305001017492","CR 50 57 69","Activo","INST METROPOLITANO DE EDUC - IME","928","825","No Oficial","INST METROPOLITANO DE EDUC - IME","NO OFICIAL","5124440","2020","835430.58","1183746.88","POINT (-75.56441775755194 6.25569751409542)"
