"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","condicionsexual","discapacidad","estadobeneficiario","estadocivil","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","parentesco","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangovalorbeneficioconsolidadoasignado","rangovalorultimobeneficioasignado"
"2","5","1","20","20443","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2016-01-01","Hombre","ND","CESAR","MANAURE","ND","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","3","1","20","20517","M-MUJER","NO","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Mujer","SIN ESPECIFICAR","CESAR","PAILITAS","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","2","1","25","25394","H-HOMBRE","NO","NO ACTIVO","SO","ND","2018-03-01","2018-01-01","Hombre","PRIMARIA","CUNDINAMARCA","LA PALMA","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000"
"1","4","1","70","70204","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Mujer","ND","SUCRE","COLOSO","Colombia","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"2","3","1","86","86569","ND","ND","ACTIVO","Sin Información","ND","2018-03-01","2018-01-01","Hombre","ND","PUTUMAYO","PUERTO CAICEDO","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","5","1","05","05837","ND","NO","ACTIVO","Sin Información","INDIGENA","2016-04-01","2016-01-01","Mujer","ND","ANTIOQUIA","TURBO","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","4","1","05","05660","ND","ND","ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","ANTIOQUIA","SAN LUIS","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","50","50251","ND","ND","ACTIVO","ND","ND","2016-12-01","2017-01-01","ND","ND","META","EL CASTILLO","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","4","1","20","20013","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","ND","CESAR","AGUSTIN CODAZZI","ND","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","4","1","05","05045","M-MUJER","NO","NO ACTIVO","ND","ND","2016-04-01","2014-01-01","Mujer","ND","ANTIOQUIA","APARTADO","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","27","27800","M-MUJER","NO","NO ACTIVO","CA","AFROCOLOMBIANO – NEGRO","2016-12-01","2017-01-01","Hombre","SIN ESPECIFICAR","CHOCO","UNGUIA","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"2","4","1","70","70204","ND","ND","ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","SUCRE","COLOSO","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","5","1","47","47745","M-MUJER","NO","NO ACTIVO","ND","ND","2016-04-01","2017-01-01","Mujer","ND","MAGDALENA","SITIONUEVO","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","1","1","05","05045","ND","NO","NO ACTIVO","ND","ND","2016-04-01","2013-01-01","Hombre","ND","ANTIOQUIA","APARTADO","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","3","1","50","50590","H-HOMBRE","NO","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Hombre","SIN ESPECIFICAR","META","PUERTO RICO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","4","1","68","68385","ND","SI","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","SIN ESPECIFICAR","SANTANDER","LANDAZURI","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","86","86320","ND","ND","ACTIVO","Sin Información","ND","2018-03-01","2018-01-01","Mujer","ND","PUTUMAYO","ORITO","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"3","1","1","18","18410","ND","ND","NO ACTIVO","ND","ND","2016-04-01","2013-01-01","ND","ND","CAQUETA","LA MONTAÑITA","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","0 - 1.500.000","0 - 1.300.000"
"1","2","1","23","23466","ND","ND","ACTIVO","ND","ND","2018-03-01","2018-01-01","ND","ND","CORDOBA","MONTELIBANO","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","4","1","25","25394","M-MUJER","NO","ACTIVO","ND","ND","2016-04-01","2014-01-01","Mujer","ND","CUNDINAMARCA","LA PALMA","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","05","05172","M-MUJER","NO","NO ACTIVO","SO","ND","2017-02-01","2017-01-01","Mujer","TRANSICION","ANTIOQUIA","CHIGORODO","COLOMBIA","ND","18-29","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
