"c_digo_de_barras","signatura_topogr_fica","sede_donde_se_encuentra","colecci_n","tipo_de_documento","t_tulo_del_documento","url"
,"253CD","Central","Electrónica","CD","Programa biodiversidad para el desarrollo proyecto manejo y conservación de la flora /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4958_2003_V3.pdf"
"000000009561","406CD","Central","Electrónica","CD","Plan de ordenación y manejo de la cuenca hidrográfica del río Poblanco :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6197_2005.pdf"
"000000026244","1288FLL","Central","Folletos","Folleto","Recuperación cultural de plantas de Jaibanás - medicinales - artesanales y alimentarias /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_3718_2003_2.pdf"
"000000003256","2201Reg","Central","Regiones","Libro","Distribución histórica y actual, uso del hábitat y estimación del estado de conservación de Saguinus Leucopus (tití gris) en el área de la jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4910_2004.pdf"
"000000009925","170CD","Central","Electrónica","CD","Plan de manejo ecoturístico sistema de páramos y bosques altoandinos del noroccidente medio antioqueño /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4335_2003.pdf"
"000000009923","171CD","Central","Electrónica","CD","Plan de manejo forestal para el corregimiento Santa Inés municipio de Andes /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4967_2003.pdf"
"000000026100","MIR199","Central","Institucional-Reserva","Folleto","Guía para el manejo de las semillas y la propagación de diez especies forestales del bosque seco tropical /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5551_2004_2.pdf"
"000000009921","174CD","Central","Electrónica","CD","Evaluación de la viabilidad para el establecimiento de un mariposario en el área propuesta como Distrito de Manejo Integrado de los Recursos Naturales Cañón del río Alicante, localizado entre los municipios de Maceo y Puerto Berrío /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_3718_2003_2.pdf"
"000000009920","175CD","Central","Electrónica","CD","Caracterización, sensibilización y propuesta de trabajo para el mejoramiento ambiental de la minería subterránea en la cuenca carbonífera del Sinifaná /","http://www.corantioquia.gov.co/ciadoc/MINERIA/AIRNR_175CD_2003.pdf"
"000000001998","1793Reg","Central","Regiones","Libro","Demanda y usos del agua, índices de consumo y planes de acción para la implementación de la ley 373 de 1997 en la jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4910_2004.pdf"
"000000009918","177CD","Central","Electrónica","CD","Estudio preliminar del distrito de manejo integrado de los recursos naturales renovables del cordón de bosque seco tropical de los Farallones de La Pintada, Antioquia, Colombia /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4335_2003.pdf"
"000000009818","187CD","Central","Electrónica","CD","Diagnóstico ambiental microcuenca quebrada La Popala corregimiento de Bolombolo - municipio de Venecia (Antioquia) /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4967_2003.pdf"
"000000009817","188CD","Central","Electrónica","CD","Seguimiento y evaluación del proceso de rehabilitación de una población de monos aulladores (Alouatta seniculus) en condiciones de semicautiverio en el municipio de La Pintada, Antioquia :","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4716_2003.pdf"
"000000009815","190CD","Central","Electrónica","CD","Estudio de la distribución, hábitat y estimación de estado de conservación del perezoso de dos uñas (Choloepus hoffmanni) en el área de jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4771_2003.pdf"
