"a_o","identificador_de_la_orden","rama_de_la_entidad","sector_de_la_entidad","entidad","solicitante","fecha","proveedor","estado","solicitud","items","total","agregacion","ciudad","entidad_obigada"
"2021","83834","Ejecutiva",,"GOBERNACION DE NARIÑO","Ana Julia Cardenas Bravo","2021-12-29T00:00:00.000","Unión Temporal DELL EMC","Emitida","146718","Ver Conjunto detalle","102017391","IAD Softare I  Microsoft","Pasto","No obligada"
"2022","89358","Ejecutiva",,"FONDO DE DESARROLLO LOCAL DE BOSA","Lizeth Jahira Gonzalez Vargas","2022-05-05T00:00:00.000","UT Soft IG 3","Emitida","156015","Ver Conjunto detalle","267887776","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","89366","Ejecutiva","Agricultura y Desarrollo Rural","UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS","Hector Hernando Acosta Jiménez","2022-05-05T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","155994","Ver Conjunto detalle","76244613","IAD Softare I  Microsoft","Bogotá","Obligada"
"2021","78232","Organismos autónomo o independientes",,"FONDO BIENESTAR SOCIAL CONTRALORIA GENERAL REP","Alex illiam Jojoa Fernández","2021-10-25T00:00:00.000","Soluciones Orión Sucursal Colombia","Cerrada","138570","Ver Conjunto detalle","22467580","IAD Softare I  Microsoft","Bogota D. C.","No obligada"
"2022","94108","Ejecutiva","Ambiente y Desarrollo Sostenible","UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS","Etelvina Briceño","2022-08-01T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","163467","Ver Conjunto detalle","763342140","IAD Softare I  Microsoft","Bogota","No obligada"
"2022","94120","Organismos autónomo o independientes","Justicia y del Derecho","DEFENSORIA DEL PUEBLO","Altus Baquero Rueda","2022-08-01T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","163486","Ver Conjunto detalle","81882864","IAD Softare I  Microsoft","bogota","No obligada"
"2022","89449","Organismos autónomo o independientes","No Aplica","JURISDICCION ESPECIAL PARA LA PAZ","Luis Felipe Rivera García","2022-05-06T00:00:00.000","CONTROLES EMPRESARIALES SAS","Emitida","156070","Ver Conjunto detalle","18925743","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2022","89468","Ejecutiva","No Aplica","FONDO DE DESARROLLO LOCAL DE PUENTE ARANDA","Juan Beltran Vargas","2022-05-06T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","156195","Ver Conjunto detalle","131605042","IAD Softare I  Microsoft","Bogotá",
"2022","89474","Ejecutiva",,"ALCALDIA LOCAL DE CIUDAD BOLIVAR","Jose Rafael Moreno Rodriguez","2022-05-06T00:00:00.000","UT Soft IG 3","Emitida","155494","Ver Conjunto detalle","213115968","IAD Softare I  Microsoft","Bogotá D.C.","No obligada"
"2021","79057","Ejecutiva","Trabajo","SUPERINTENDENCIA DE SUBSIDIO FAMILIAR","Maria Esther Caicedo Angulo","2021-11-05T00:00:00.000","Controles Empresariales Controles Empresariales SAS","Cerrada","139927","Ver Conjunto detalle","15940111","IAD Softare I  Microsoft","BOGOTÁ","Obligada"
"2022","94138","Organismos autónomo o independientes","Ambiente y Desarrollo Sostenible","CORPORACIÓN AUTÓNOMA REGIONAL DE LOS VALLES DEL SINÚ Y DEL SAN JORGECÓRDOBA","Jose Alfredo Benavides Alvarez","2022-08-01T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","163497","Ver Conjunto detalle","43939214","IAD Softare I  Microsoft","Monteria","No obligada"
"2022","94139","Organismos autónomo o independientes","Vivienda, Ciudad y Territorio","FONDO NACIONAL DEL AHORRO","Rocio  Briceño Hernandez","2022-08-01T00:00:00.000","UT Soft IG 3","Emitida","161672","Ver Conjunto detalle","2254568669","IAD Softare I  Microsoft","BOGOTA D.C","No obligada"
"2022","89518","Organismos autónomo o independientes",,"CONTRALORIA DE BOGOTA DC","Lina Raquel Rodriguez Meza","2022-05-09T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","156275","Ver Conjunto detalle","290271770","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2022","89584","Ejecutiva","Interior","SECRETARIA GENERAL DE LA ALCALDIA MAYOR DE BOGOTA DC","Rafael Londoño Cantaron","2022-05-10T00:00:00.000","Soluciones Orión Sucursal Colombia","Emitida","155495","Ver Conjunto detalle","25156476","IAD Softare I  Microsoft","Bogota","No obligada"
"2022","86993","Ejecutiva","Minas y Energía","AGENCIA NACIONAL DE MINERÍA  ANM","Bibiana Marcela Gutierrez Castro","2022-03-18T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","152049","Ver Conjunto detalle","49920500","IAD Softare I  Microsoft","Bogota","Obligada"
"2022","89706","Ejecutiva","Defensa Nacional","SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA","Yuddy Samirna Velandia Delgado","2022-05-11T00:00:00.000","COLSOF SAS","Emitida","156575","Ver Conjunto detalle","247463654","IAD Softare I  Microsoft","Bogotá","Obligada"
"2022","89712","Ejecutiva","Función Pública","FONDO DE DESARROLLO LOCAL DE USAQUEN","Jaime Andres Vargas Vives","2022-05-11T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","156576","Ver Conjunto detalle","128534105","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2022","89761","Ejecutiva","Planeación","AGENCIA NACIONAL DE CONTRATACION PUBLICA  CCE","Luisa Alejandra Acosta","2022-05-12T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","156664","Ver Conjunto detalle","31680000","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2022","89909","Ejecutiva","Inteligencia Estrategica y Contrainteligencia","EMPRESA NACIONAL PROMOTORA DEL DESARROLLO TERRITORIAL","Carolina Otilia Montealegre Otilia","2022-05-16T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","156833","Ver Conjunto detalle","692802102","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","89911","Ejecutiva","Función Pública","MUNICIPIO DE BUCARAMANGA  SECRETARIA ADMINISTRATIVA","Uriel Andrey Carreño Molina","2022-05-16T00:00:00.000","Unión Temporal DELL EMC","Emitida","156868","Ver Conjunto detalle","501440400","IAD Softare I  Microsoft","Bucaramanga","No obligada"
"2022","94196","Ejecutiva","Defensa Nacional","INSTITUTO DE CASAS FISCALES DEL EJERCITO","Margarita Silva Pereira","2022-08-02T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","163537","Ver Conjunto detalle","20843980","IAD Softare I  Microsoft","Bogotá","Obligada"
"2022","89961","Organismos autónomo o independientes","Educación Nacional","Universidad de Cundinamarca","Yeisson Rios Romero","2022-05-16T00:00:00.000","UT Soft IG 3","Emitida","156959","Ver Conjunto detalle","359403496","IAD Softare I  Microsoft","FUSAGASUGÁ","No obligada"
"2021","71073","Organismos autónomo o independientes","Hacienda y Crédito Público","LOTERIA DE BOGOTA","Dayan Patricia Pasaje Quiroga","2021-06-18T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","126392","Ver Conjunto detalle","51640020","IAD Softare I  Microsoft","bogota","No obligada"
"2022","94204","Ejecutiva","Defensa Nacional","MINISTERIO DE DEFENSA NACIONAL  DIRECCION GENERAL MARITIMA DIMAR","Jorge Contreras Rojas","2022-08-03T00:00:00.000","Unión Temporal DELL EMC","Emitida","163556","Ver Conjunto detalle","33000000","IAD Softare I  Microsoft","BOGOTA D.C.","Obligada"
"2022","90019","Ejecutiva","Función Pública","CUNDINAMARCA  ALCALDIA MUNICIPAL DE CHIA","Magda Yazmin Herrera Rodríguez","2022-05-17T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","157061","Ver Conjunto detalle","398413937","IAD Softare I  Microsoft","Chia","No obligada"
"2021","82192","Ejecutiva","Presidencia de la República","DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA","Alex Mauricio Escallon Contreras","2021-12-09T00:00:00.000","Controles Empresariales Controles Empresariales SAS","Cerrada","144048","Ver Conjunto detalle","1285807716","IAD Softare I  Microsoft","Bogota","Obligada"
