"vigencia_proyecto","periodo","dependencia","proyecto","estado"
"2021","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Drenaje Pluvial Efectivo (Proyecto Canalización del Arroyo y recuperación vial de la Calle 85).","En Proceso, en aprobación por parte de Oficina Nacional de Gestión del Riesgo"
"2021","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Construcción Del Gran Malecón Del Rio","Obra Terminada e inaugurada."
"2021","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Supervisión de Obras del Modelo de Atención Reglamentado. Mejoramiento de la Infraestructura física y dotación Hospitalaria de Pasos y Caminos de la red pública Distrital.","En Ejecución"
"2021","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Apoyo a la Supervisión de Obras y/o Proyectos en el Distrito de Barranquilla, Obras y/o Proyectos que pertenecen a otras Secretarías o Dependencias: Fabrica de la Cultura, Mercado Público, Caís, Construcción de un Centro de Vida Barrio Santuario, Ampliación de la Calle 30 entre Carrera 46 y Vía Circunvalar, Ampliación de la Vía Cordialidad entre Circunvalar y Carrera 23, Ampliación de la Vía Circunvalar entre Carrera 38 y Carrera 12A, Canalizaciones de Arroyos, entre Otros.","En Ejecución"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","MEJORAMIENTO Y/O PAVIMENTACION DE LA VIA 40 ENTRE CALLE 85 Y 110.","En Ejecución (Avance 100%)."
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCION Y/O AMPLIACION DE LA VIA LA CORDIALIDAD","En Ejecución"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCIÓN Y/O AMPLIACIÓN DE LA VIA CIRCUNVALAR ENTRE CARRERA 38 Y LA CARRERA 12A.","En Ejecución"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCIÓN DE LA PROLONGACION DE LA CARRERA 43.","En Ejecución (Avance 100%)."
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","CONSTRUCCIÓN Y/O AMPLIACIÓN DE LA CALLE 30 ENTRE CRA 46 Y VIA LA CIRCUNVALAR.","En Ejecución"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización del arroyo de la Carrera 21 entre Calle 53D y Calle 30.","En Ejecución"
