"id","razon_social","direcci_n","codigo_rnt","descrici_n_categoria","correo_electronico"
"1","LILIANA  MEJIA DE VILLEGAS","Finca Sausalito Vereda Santágueda","82986","VIVIENDAS TURÍSTICAS","ACTIVO"
"2","GERMAN  CASTILLO RUIZ","SANTAGUEDA CONDOMINIO AEROPUERTO","82255","VIVIENDAS TURÍSTICAS","ACTIVO"
"3","LOPEZ YEPES LIBIA","URBANIZACION LA FLORIDA LOTE 1A SANTAGUEDA","81929","VIVIENDAS TURÍSTICAS","ACTIVO"
"4","ANA LUCIA HOYOS ARISTIZABAL","VEREDA SANTAGUEDA","81368","VIVIENDAS TURÍSTICAS","ACTIVO"
"5","ORTIZ HENAO JOHN GILDARDO","Vereda santagueda","80858","VIVIENDAS TURÍSTICAS","ACTIVO"
"6","AGENCIA DE VIAJES SOL DE LOS CALDENSES","CRA. 3 2-08 BR. POPULAR ARAUCA","79430","AGENCIA DE VIAJES","ACTIVO"
"7","LILIANA DAYLE LOAIZA CASTRO","Santagueda","79390","VIVIENDAS TURÍSTICAS","ACTIVO"
"8","GOMEZ CASTAÑO JOSE GABRIEL","Lote 2 Paraje la Rochela VDA Santagueda","78654","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"9","FINCA LA NAVARRA","FINCA LA NAVARRA","78652","VIVIENDAS TURÍSTICAS","ACTIVO"
"10","ORTIZ HENAO JOHN GILDARDO","palmera 3 casa loma n 5","78436","VIVIENDAS TURÍSTICAS","ACTIVO"
"11","GIRALDO SERNA JAVIER ANDRES","Finca La Palmera","78327","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"12","FINCA SIRACUSA","FINCA SIRACUSA SECTOR EL BERRION","77496","VIVIENDAS TURÍSTICAS","ACTIVO"
"13","FINCA SANTA INES","FINCA SANTA INES VDA LA PLATA","77487","VIVIENDAS TURÍSTICAS","ACTIVO"
"14","FINCA EL PILAR","FINCA EL PILAR VEREDA LA PLATA","77345","VIVIENDAS TURÍSTICAS","ACTIVO"
"15","FINCA HOTEL EL POEMA","VDA LA MULETA FINCA EL POEMA","75615","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"16","LIGIA  PATIÑO DE BONILLA","Colinas del Cafe 2","75614","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"17","ALBERTO  HOYOS LOPEZ","Vereda Santagueda","74540","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"18","EL PROVINCIANO","LOTE 4B-1 VDA SANTAGUEDA","73861","VIVIENDAS TURÍSTICAS","ACTIVO"
"19","CESAR AUGUSTO SALGADO ARROYAVE","SIERRA VERDE","73143","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"20","AGUASLINDAS","LA ROCHELA","72959","AGENCIA DE VIAJES","ACTIVO"
"21","ARAUCA AIR TRAVEL","CR 4 8-27 LC 3-12","72631","AGENCIA DE VIAJES","ACTIVO"
"22","FINCA CAFETERA LA PAZ","CRA 16 5-106 FINCA LA PAZ","72370","VIVIENDAS TURÍSTICAS","ACTIVO"
"23","GLORIA PATRICIA GUTIERREZ CASTAÑO","VEREDA LOS LOBOS FINCA SAN MIGUEL","72252","VIVIENDAS TURÍSTICAS","ACTIVO"
"24","AGUDELO SUAREZ AMPARO","Vereda La Paloma - Finca Casa Amarilla","69873","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"25","ECOHOTEL VILLA ROSITA","VEREDA LA PARROQUIA","69872","VIVIENDAS TURÍSTICAS","ACTIVO"
"26","CIFUENTES VILLAVICENCIO JORGE DAVID","Finca el Refugio","69871","VIVIENDAS TURÍSTICAS","ACTIVO"
"27","JOSE FERNANDO VILLEGAS ESTRADA","Condominio Villamarcela","69102","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"28","FINCA SAN MARTIN","SECTOR EL VERLON PREDIO SALAMANCA PALESTINA","69101","VIVIENDAS TURÍSTICAS","ACTIVO"
"29","FRANCOIS  LANNOU TRUJILLO","EL REFUGIO CONDOMINIO LOS PORTALES LOTE 10 SANTAGUEDA","69009","VIVIENDAS TURÍSTICAS","ACTIVO"
"30","ALOJAMIENTO RURAL SAN JUAN","VDA SANTAGUEDA FINCA SAN JUAN","69008","VIVIENDAS TURÍSTICAS","ACTIVO"
"31","ARISTIZABAL FRANCO JORGE CARLOS","vereda la plata - finca el refugio","69007","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"32","SEDE RECREACIONAL LA PLAYA","VDA SANTAGUEDA FINCA LA PLAYA","67768","VIVIENDAS TURÍSTICAS","ACTIVO"
"33","ALOJAMIENTO RURAL SAN FELIPE","VDA SANTAGUEDA FCA SAN FELIPE","67767","VIVIENDAS TURÍSTICAS","ACTIVO"
"34","COQUIBACOA CABAÑA 3","CONDOMINIO COQUIBACOA CABAÑA 3","67402","VIVIENDAS TURÍSTICAS","ACTIVO"
"35","PORTAL COLSEÑORA","VEREDA SANTAGUEDA VIA A PALESTINA","67035","VIVIENDAS TURÍSTICAS","ACTIVO"
"36","SAN MIGUEL ARCANGEL´S","VDA SANTAGUEDA PARCELACION LAS PALMERAS","66452","VIVIENDAS TURÍSTICAS","ACTIVO"
"37","CHALET LA FORTALEZA","VDA SANTAGUEDA LOTE 2","66276","VIVIENDAS TURÍSTICAS","ACTIVO"
"38","FINCA LA QUINTA LA ROCHELA","VDA SANTAGUEDA QUINTA SANTA COLOMA","66275","VIVIENDAS TURÍSTICAS","ACTIVO"
"39","GRANJITA EL PARAISO","VDA SANTAGUEDA SECTOR EL CACIQUE VIA MONTE OSCURO","65756","VIVIENDAS TURÍSTICAS","ACTIVO"
"40","BABILONIA CENTRO VACACIONAL","KM 7 VIA TRES PUERTAS","65752","ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES","ACTIVO"
"41","FINCA LA MARGARITA","VDA EL REPOSO FINCA LA MARGARITA","65286","VIVIENDAS TURÍSTICAS","ACTIVO"
"42","DE LUCRECIA ALOJAMIENTO","ANTIGUA CASA DE SANTAGUEDA VIA PESCADOR DE CAPRI","64127","VIVIENDAS TURÍSTICAS","ACTIVO"
"43","FINCA VILLA ENSUEÑO","VDA SANTAGUEDA LOTE 25 G","64124","VIVIENDAS TURÍSTICAS","ACTIVO"
"44","DORIS  SERNA LOPEZ","ZIPAGUA Cs 15 A vereda Santagueda","63676","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","ACTIVO"
"45","CASA CAMPESTRE EL RECREO","VEREDA LA PALOMA - FINCA CASA AMARILLA","63191","VIVIENDAS TURÍSTICAS","ACTIVO"
"46","VILLA LANS","VDA SANTAGUEDA-SANTA HELENA VILLA LANS","62823","VIVIENDAS TURÍSTICAS","ACTIVO"
"47","VILLA SEMENOR","VEREDA SANTAGUEDA VIA A ARAUCA","62821","VIVIENDAS TURÍSTICAS","ACTIVO"
"48","CONDOMINIO LA PELUZA","VDA SANTAGUEDA CAMPO SERENO COND LA PELUZA","62788","VIVIENDAS TURÍSTICAS","ACTIVO"
"49","ALQUILER FINCA LA PRIMAVERA","VEREDA EL REPOSO FINCA LA PRIMAVERA","62631","VIVIENDAS TURÍSTICAS","ACTIVO"
"50","CONDOMINIO SAUSALITO","SANTAGUEDA VIA EL CACIQUE","62386","VIVIENDAS TURÍSTICAS","ACTIVO"
"51","RESTAURANTE PESCADOR DE CAPRI","VDA SANTAGUEDA-PESCADOR DE CAPRI","62211","ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES","ACTIVO"
"52","CABAÑA COQUIBACOA","VDA SANTAGUEDA CONDOMINIO COQUIBACOA","61833","VIVIENDAS TURÍSTICAS","ACTIVO"
"53","CONDOMINIO CASA GRANDE","SANTAGUEDA VIA MONTE OSCURO","61829","VIVIENDAS TURÍSTICAS","ACTIVO"
"54","CASA LOMA LAS PALMERAS","VDA SANTAGUEDA CABAÑA CASA LOMA PARCELACION LAS PALMERAS","61828","VIVIENDAS TURÍSTICAS","ACTIVO"
"55","PORTAL DE LAS COLINAS","VEREDA SANTAGUEDA FINCA EL PORTAL DE LAS COLINAS","60994","VIVIENDAS TURÍSTICAS","ACTIVO"
"56","L´CONTRO ALOJAMIENTO RURAL","VDA SANTAGUEDA LAS PALMERAS","60858","VIVIENDAS TURÍSTICAS","ACTIVO"
"57","ALOJAMIENTO VILLA CAROLINA","ZIPAGUA CSA. 3 VEREDA SANTAGUEDA","60856","VIVIENDAS TURÍSTICAS","ACTIVO"
"58","ALOJAMIENTO FINCA EL REMANSO","VEREDA EL HIGUERON FINCA EL REMANSO","60624","VIVIENDAS TURÍSTICAS","ACTIVO"
"59","TRES PALMAS","VEREDA LA PLATA - ALTOS DEL RECREO CASA 6","60623","VIVIENDAS TURÍSTICAS","ACTIVO"
"60","VILLA LUCHA","SANTAGUEDA 300 MTS. ANTES DEL PESCADOR DE CAPRI","60622","VIVIENDAS TURÍSTICAS","ACTIVO"
"61","FINCA HOTEL SAVA","VEREDA LA MULETA LOTE 3 FINCA VILLA JULIANA","60620","VIVIENDAS TURÍSTICAS","ACTIVO"
"62","CONDOMINIO LOS LOBOS VILLA HARDI","VEREDA SANTAGUEDA - CONDOMINIO LOS LOBOS VILLA HARDI","60521","VIVIENDAS TURÍSTICAS","ACTIVO"
"63","FINCA GALICIA","VDA SANTAGUEDA FINCA GALICIA","60514","VIVIENDAS TURÍSTICAS","ACTIVO"
"65","CABAÑA SOL Y LUNA","FINCA EL PORTUGAL VEREDA LOS LOBOS","60147","VIVIENDAS TURÍSTICAS","ACTIVO"
"66","FINCA VILLA ESPAÑA","VEREDA SANTAGUEDA FINCA VILLA ESPAÑA CASA 12","60146","VIVIENDAS TURÍSTICAS","ACTIVO"
"67","FINCA LA CAMPIÑA DE SANTAGUEDA","LA CAMPIÑA CASA 16 SANTAGUEDA","59985","VIVIENDAS TURÍSTICAS","ACTIVO"
"68","FINCA MONTANA","PARCELACION LAS PALMERAS CASA 24 VEREDA SANTAGUEDA","59944","VIVIENDAS TURÍSTICAS","ACTIVO"
"69","ALQUILER FINCA SAN JERONIMO","VDA SANTAGUEDA FINCA SAN JERONIMO","59485","VIVIENDAS TURÍSTICAS","ACTIVO"
"70","CABAÑA ISAAC","CONDOMINIO EL AEROPUERTO CABAÑA 27","59232","VIVIENDAS TURÍSTICAS","ACTIVO"
"71","FINCA RANCHO CLARO","VDA LOS LOBOS SECTOR SANTAGUEDA","59182","VIVIENDAS TURÍSTICAS","ACTIVO"
"72","ALQUILER FINCA CASA BLANCA","VDA SANTAGUEDA FINCA CASA BLANCA","59142","VIVIENDAS TURÍSTICAS","ACTIVO"
"73","FINCA CRIADERO EL GUAYACAN","VEREDA BUENA VISTA SANTAGUEDA","59140","VIVIENDAS TURÍSTICAS","ACTIVO"
"74","MEDITERRANEO ALOJAMIENTO RURAL","VDA LA PLATA FINCA LA SIRIA","59139","VIVIENDAS TURÍSTICAS","ACTIVO"
"75","ALOJAMIENTO Y CASA DE EVENTOS IBIZA","VDA SANTAGUEDA SECTOR EL CACIQUE A 300 MTS DE LA CARRETERA PRINCIPAL","59137","VIVIENDAS TURÍSTICAS","ACTIVO"
"76","SEDE RECREACIONAL COOCALPRO","SEC SANTAGUEDA COOCALPRO","58738","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"77","VIVIENDA TURISTICA VILLA LAURA","VEREDA LA PLATA","58050","VIVIENDAS TURÍSTICAS","ACTIVO"
"78","LA TIERRITA ALOJAMIENTO RURAL","FINCA LA TIERRITA CASA 8 SANTAGUEDA","57399","VIVIENDAS TURÍSTICAS","ACTIVO"
"79","LAS ALONDRAS","FCA LAS ALONDRAS VDA SANTAGUEDA","57111","VIVIENDAS TURÍSTICAS","ACTIVO"
"80","CASA RURAL NAPIKURA","VDA CARTAGENA","57110","VIVIENDAS TURÍSTICAS","ACTIVO"
"81","ALOJAMIENTO RURAL LA ESPAÑOLA","VEREDA LA PLATA FINCA LA ESPA?OLA","56980","VIVIENDAS TURÍSTICAS","ACTIVO"
"82","PESEBRERAS TROCHA","BRR LAS COLINAS PARTE ALTA","56361","AGENCIA DE VIAJES","ACTIVO"
"83","CASA LUZMA","CONDOMINIO AEROPUERTO CASA NO. 30","56277","VIVIENDAS TURÍSTICAS","ACTIVO"
"84","FINCA VERACRUZ","FINCA VERACRUZ EL VERGEL-SECTOR SANTAGUEDA","56123","VIVIENDAS TURÍSTICAS","ACTIVO"
"85","CASA VIEJA SANTA ELENA","VDA CARTAGENA FINCA SANTA ELENA","55839","VIVIENDAS TURÍSTICAS","ACTIVO"
"86","ECOLODGE ALTOS DE LA ERMITA","ALTO DE LAS PALOMAS VDA LA MULETA","55330","VIVIENDAS TURÍSTICAS","ACTIVO"
"87","FINCA EL JAZMIN","VDA LA PLATA BUENA VISTA FINCA EL JAZMIN","54865","VIVIENDAS TURÍSTICAS","ACTIVO"
"88","FINCA VACACIONAL Y PRODUCCION Y VENTA DE CAFE LA CHIQUITA","VDA LOS LOBOS FINCA LA CHIQUITA","54763","VIVIENDAS TURÍSTICAS","ACTIVO"
"89","FINCA LA CANELITA","VDA SANTAGUEDA 400 MTS ANTES DEL PESCADOR DE CAPRI-FINCA LA CANELITA ENTRADA 11 CASA 9","54603","VIVIENDAS TURÍSTICAS","ACTIVO"
"90","FINCA EL LUCERO","VDA SANTAGUEDA-FINCA BARILOCHE","53944","VIVIENDAS TURÍSTICAS","ACTIVO"
"91","CEOCAL LTDA","VDA EL CACIQUE","53757","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"92","FINCA EL ALTILLO","FINCA EL ALTILLO-LA ROCHELA","53485","VIVIENDAS TURÍSTICAS","ACTIVO"
"93","BOSQUES DE PRAGA REUNIONES Y EVENTOS","VDA SANTAGUEDA - FINCA PRAGA","53465","VIVIENDAS TURÍSTICAS","ACTIVO"
"94","ALOJAMIENTO COQUI","VDA SANTAGUEDA CONDOMINIO COQUIBACOA CABAÑA NO. 1","53189","VIVIENDAS TURÍSTICAS","ACTIVO"
"95","VILLA ANTONIA","VIA LA CAMPIÑA ACUEDUCTO SAN ANTONIO-SANTAGUEDA","52746","VIVIENDAS TURÍSTICAS","ACTIVO"
"96","ALQUILER LA CRISTALINA","VDA SANTAGUEDA FINCA LA CRISTALINA","52609","VIVIENDAS TURÍSTICAS","ACTIVO"
"97","FINCA BORINQUEN","PARCELACION LAS PALMERAS FINCA BORINQUEN","52502","VIVIENDAS TURÍSTICAS","ACTIVO"
"98","ALOJAMIENTO RURAL CABAÑA LA RIBERA","VDA SANTAGUEDA LA PORTADA LT3","52193","VIVIENDAS TURÍSTICAS","ACTIVO"
"99","FINCA EL PALMAR SANTAGUEDA","SANTAGUEDA VDA LOS LOBOS","51680","VIVIENDAS TURÍSTICAS","ACTIVO"
"100","HOSTAL VILLA BELLA","FCA. LA TOMATERA SEC LOS ALPES VDA. BUENA VISTA","51063","VIVIENDAS TURÍSTICAS","ACTIVO"
"101","FINCA LA MARIA SANTAGUEDA","VDA SANTAGUEDA SECTOR VALPARAISO FINCA LA MARIA","50990","VIVIENDAS TURÍSTICAS","ACTIVO"
"102","FINCA VILLA ANDREA","URBANIZACION LAS PALMERAS SANTAGUEDA","50541","VIVIENDAS TURÍSTICAS","ACTIVO"
"103","HOSTAL VILLA ERIKA","VDA LOS LOBOS","49866","VIVIENDAS TURÍSTICAS","ACTIVO"
"104","PALESTINA ECOHOTEL CENTRO DE CONVENCIONES LTDA.","KM 7 VIA CHINCHINA SANTAGUEDA-VEREDA MULETA","48388","AGENCIA DE VIAJES","ACTIVO"
"105","CONDOMINIO CAMPESTRE EL EDEN","SECTOR SANTAGUEDA VDA LOS LOBOS","47081","VIVIENDAS TURÍSTICAS","ACTIVO"
"106","ALOJAMIENTO 209 SANTAGUEDA","CONDOMINIO EL AEROPUERTO AP 209 SANTAGUEDA","42707","VIVIENDAS TURÍSTICAS","ACTIVO"
"107","HOTEL ESTACION DE SERVICIO LA ROCHELA","ESTACION DE SERVICIO LA ROCHELA VDA SANTAGUEDA","40687","VIVIENDAS TURÍSTICAS","ACTIVO"
