"id_caso","id_caso_relacionado","a_o","mes","d_a","c_digo_dane_de_municipio","municipio","departamento","regi_n","modalidad","iniciativa","tipo_de_unidad_atacada","grupo_armado_1","descripci_n_grupo_armado","grupo_armado_2","descripci_n_grupo_armado_1","grupo_armado_3","descripci_n_grupo_armado_2","lesionados_civiles","grupo_al_que_pertenecen_los","capturados","lesionados_combatientes","militares","polic_as","otras_fuerzas_armadas","agentes_del_estado_sin","total_agentes_del_estado","guerrilleros","paramilitares","grupos_posdesmovilizaci_n","combatientes_sin_informaci","otros_grupos_armados","total_combatientes_de_grupos","total_combatientes","personas_sin_informaci_n","total_civiles","ventaja_militar","total_de_v_ctimas_del_caso","latitud_longitud"
"1","CR000497","2006","3","12","27073","BAGADO","CHOCO","ATRATO","COMBATE Y/O CONTACTO ARMADO","GRUPOS ARMADOS ORGANIZADOS","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","FARC",,,"6",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","GRUPOS ARMADOS ORGANIZADOS","1","POINT (-76.4152929877 5.4105549598)"
"10","CR080150","0","0","0","0","SIN INFORMACION","SIN INFORMACION","SIN INFORMACION","OPERACIÓN MILITAR","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","FARC",,,"0",,"0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","FUERZAS ARMADAS ESTATALES","1","POINT (-72 4)"
"100",,"0","0","0","5854","VALDIVIA","ANTIOQUIA","NORTE DE ANTIOQUIA","COMBATIENTE MUERTO EN CIRCUNSTANCIA NO DETERMINADA","GRUPOS ARMADOS ORGANIZADOS","SIN INFORMACIÓN","GRUPO PARAMILITAR","NO IDENTIFICADO","GRUPO PARAMILITAR","NO IDENTIFICADO",,,"0",,"0","0","0","0","0","0","0","0","2","0","0","0","2","2","0","0","GRUPOS ARMADOS ORGANIZADOS","2","POINT (-75.4391984392 7.1653399998)"
"1000","CR044183","1966","1","31","41676","SANTA MARIA","HUILA","NORTE DEL HUILA","COMBATE Y/O CONTACTO ARMADO","GRUPOS ARMADOS ORGANIZADOS","UNIDAD EN MOVIMIENTO","GUERRILLA","FARC","GRUPO PARAMILITAR","DEFENSA CIVIL",,,"0",,"0","0","0","0","0","0","0","4","2","0","0","0","6","6","0","0","GRUPOS ARMADOS ORGANIZADOS","6","POINT (-75.5861159397 2.9397552232)"
"10000",,"1996","2","17","85010","AGUAZUL","CASANARE","PIEDEMONTE LLANERO","COMBATE Y/O CONTACTO ARMADO","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","ELN",,,"0",,"0","0","0","0","0","0","0","2","0","0","0","0","2","2","0","0","FUERZAS ARMADAS ESTATALES","2","POINT (-72.4585237212 5.1006753412)"
"10001",,"1996","2","17","77005","FRONTERA VENEZUELA","EXTERIOR",,"HOSTIGAMIENTO","GRUPOS ARMADOS ORGANIZADOS","SIN INFORMACIÓN","AGENTE EXTRANJERO","VENEZOLANO","GUERRILLA","ELN",,,"0",,"0","0","2","0","0","0","2","0","0","0","0","0","0","2","0","0","GRUPOS ARMADOS ORGANIZADOS","2","POINT (-72.73 9.1)"
"10002",,"1996","2","17","20238","EL COPEY","CESAR","SIERRA NEVADA DE SANTA MARTA","HOSTIGAMIENTO","GRUPOS ARMADOS ORGANIZADOS","UNIDAD EN MOVIMIENTO","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","ELN",,,"1",,"0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","GRUPOS ARMADOS ORGANIZADOS","1","POINT (-73.9627174377 10.1495254346)"
"10003",,"1996","2","17","5604","REMEDIOS","ANTIOQUIA","NORDESTE ANTIOQUEÑO","HOSTIGAMIENTO","GRUPOS ARMADOS ORGANIZADOS","UNIDAD FIJA","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","ELN",,,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GRUPOS ARMADOS ORGANIZADOS","0","POINT (-74.695944258 7.0260940527)"
"10004",,"1996","2","17","20238","EL COPEY","CESAR","SIERRA NEVADA DE SANTA MARTA","EMBOSCADA","GRUPOS ARMADOS ORGANIZADOS","UNIDAD EN MOVIMIENTO","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","ELN",,,"0",,"0","0","0","6","0","0","6","0","0","0","0","0","0","6","0","0","GRUPOS ARMADOS ORGANIZADOS","6","POINT (-73.9627174377 10.1495254346)"
"10005",,"1996","2","21","5854","VALDIVIA","ANTIOQUIA","NORTE DE ANTIOQUIA","COMBATE Y/O CONTACTO ARMADO","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","ELN",,,"2",,"0","0","0","0","0","0","0","2","0","0","0","0","2","2","0","0","FUERZAS ARMADAS ESTATALES","2","POINT (-75.4391984392 7.1653399998)"
"10006","CR007126","1996","2","21","73411","LIBANO","TOLIMA","NORTE DEL TOLIMA","HOSTIGAMIENTO","SIN INFORMACIÓN","UNIDAD FIJA","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","ELN",,,"1",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SIN INFORMACIÓN","0","POINT (-75.0516371538 4.7978712215)"
"10007","CR003111","1996","2","21","17662","SAMANA","CALDAS","EJE CAFETERO","HOSTIGAMIENTO","GRUPOS ARMADOS ORGANIZADOS","UNIDAD EN MOVIMIENTO","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","FARC",,,"0",,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GRUPOS ARMADOS ORGANIZADOS","0","POINT (-75.0416610463 5.5245688415)"
"10008","CR003111","1996","2","21","17662","SAMANA","CALDAS","EJE CAFETERO","ATAQUE A INSTALACIÓN DE LAS FUERZAS ARMADAS ESTATALES","GRUPOS ARMADOS ORGANIZADOS","UNIDAD FIJA","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","FARC",,,"6",,"0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GRUPOS ARMADOS ORGANIZADOS","0","POINT (-75.0416610463 5.5245688415)"
"10009",,"1996","2","23","19130","CAJIBIO","CAUCA","NORTE DEL CAUCA","COMBATE Y/O CONTACTO ARMADO","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","ELN",,,"0",,"0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","FUERZAS ARMADAS ESTATALES","1","POINT (-76.739135645 2.606856535)"
"1001",,"1966","1","31","73555","PLANADAS","TOLIMA","SUR DEL TOLIMA","COMBATE Y/O CONTACTO ARMADO","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","FARC",,,"0",,"0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","FUERZAS ARMADAS ESTATALES","1","POINT (-75.6439614722 3.1976614695)"
"10010",,"1996","2","24","99524","LA PRIMAVERA","VICHADA","ALTILLANURA","ATAQUE A INSTALACIÓN DE LAS FUERZAS ARMADAS ESTATALES","GRUPOS ARMADOS ORGANIZADOS","UNIDAD FIJA","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","FARC",,,"6",,"0","6","2","0","0","0","2","0","0","0","0","0","0","2","0","0","GRUPOS ARMADOS ORGANIZADOS","2","POINT (-70.4104200133 5.4863376145)"
"10011",,"1996","2","24","5670","SAN ROQUE","ANTIOQUIA","NORDESTE ANTIOQUEÑO","HOSTIGAMIENTO","GRUPOS ARMADOS ORGANIZADOS","UNIDAD EN MOVIMIENTO","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","ELN",,,"3",,"0","0","3","0","0","0","3","0","0","0","0","0","0","3","0","0","GRUPOS ARMADOS ORGANIZADOS","3","POINT (-75.019157568 6.4859489363)"
"10012",,"1996","2","25","86571","PUERTO GUZMAN","PUTUMAYO","MEDIO PUTUMAYO","COMBATE Y/O CONTACTO ARMADO","GRUPOS ARMADOS ORGANIZADOS","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","FARC",,,"2",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GRUPOS ARMADOS ORGANIZADOS","0","POINT (-76.4085215423 0.9629224385)"
"10013",,"1996","2","25","5847","URRAO","ANTIOQUIA","SUROESTE ANTIOQUEÑO","COMBATE Y/O CONTACTO ARMADO","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","FARC",,,"0",,"0","0","0","0","0","0","0","4","0","0","0","0","4","4","0","0","FUERZAS ARMADAS ESTATALES","4","POINT (-76.2064320228 6.4408329458)"
"10014",,"1996","2","25","95001","SAN JOSE DEL GUAVIARE","GUAVIARE","ARIARI GUAYABERO","HOSTIGAMIENTO","GRUPOS ARMADOS ORGANIZADOS","UNIDAD FIJA","AGENTE DEL ESTADO","POLICÍA NACIONAL","GUERRILLA","FARC",,,"4",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GRUPOS ARMADOS ORGANIZADOS","0","POINT (-72.6389862155 2.5664283992)"
"10015",,"1996","2","27","85001","YOPAL","CASANARE","PIEDEMONTE LLANERO","COMBATE Y/O CONTACTO ARMADO","FUERZAS ARMADAS ESTATALES","SIN INFORMACIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","GUERRILLA","ELN",,,"0",,"0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","FUERZAS ARMADAS ESTATALES","1","POINT (-72.396915159 5.3276126513)"
