"id","anio","departame_nombre","institucion","municipio_nombre","contacto","telefono","movil","direccion","email","num_cat","num_sens","fecha_de_cargue","id_indicador","inversion","fecha_vigencia","meta_nacional","municipio_cod"
,"2018","HUILA","Santa Librada","NEIVA",,"8754113",,"Carrera 12 # 16 - 12",,"1","77","2018-12-31",,"301683,7450","2018-12-31","900000","41001"
,"2018","HUILA","Santa Librada","NEIVA",,"8754113",,"Carrera 12 # 16 - 12",,"1","77","2018-12-31",,"301683,7450","2018-12-31","900000","41001"
,"2019","CUNDINAMARCA","LICEO CONTADORA","AGUA DE DIOS",,,,,,,"170","2019-12-31",,"592852,9000","2019-12-31",,"25001"
,"2014","CORDOBA","COMUNIDAD EMBERA","TUCH�N",,,"3107068882","COMUNIDAD EMBERA",,"4","600","2014-12-31",,"793853,8074","2014-12-31","900000","23815"
,"2019","ANTIOQUIA","I.E JOS� ROBERTO VASQUEZ","MEDELLIN",,,,,,,"276","2019-12-31",,"962514,1200","2019-12-31",,"05001"
,"2015","SAN ANDRES Y PROVIDENCIA","Centro Educativo Antonia Santos","SAN ANDRES",,,,,,"4","25","2015-12-31",,"84235,6761","2015-12-31","900000","88001"
,"2015","SANTANDER","Instituto La Libertad","BUCARAMANGA",,,"3005600398",,,"3","120","2015-12-31",,"404331,2453","2015-12-31","900000","68001"
,"2014","SUCRE","IETA AN�BAL G�NDARA OCAMPO","LOS PALMITOS",,,"3114061977","IETA AN�BAL G�NDARA OCAMPO",,"1","100","2014-12-31",,"132308,9679","2014-12-31","900000","70418"
,"2016","QUINDIO","CIUDAELA DEL SUR","ARMENIA",,"3146654458","3146654458",,,"1","104","2016-12-31",,"881339,3344","2016-12-31","900000","63001"
,"2018","RISARALDA","AQUILINO BEDOYA","PEREIRA",,"3144678684",,"AVENIDA 30 DE AGOSTO 3 62 - 59",,"1","95","2018-12-31",,"372207,2178","2018-12-31","900000","66001"
,"2018","RISARALDA","AQUILINO BEDOYA","PEREIRA",,"3144678684",,"AVENIDA 30 DE AGOSTO 3 62 - 59",,"1","95","2018-12-31",,"372207,2178","2018-12-31","900000","66001"
,"2016","HUILA","COLEGIO ECOPETROL","CAMPOALEGRE",,"8380012","3112082305",,,"1","113","2016-12-31",,"957609,0845","2016-12-31","900000","41132"
,"2017","CALDAS","COLFILIPENSE","MANIZALES",,"8909980","3122308793",,,"2","180","2017-12-31",,"895503,4105","2017-12-31","900000","17001"
,"2018","LA GUAJIRA","I.E. NUESTRA SE�ORA DEL CARMEN","HATONUEVO",,"3015371355",,"DAMARIS CERCHAR",,"1","100","2018-12-31",,"391797,0714","2018-12-31","900000","44378"
,"2018","LA GUAJIRA","I.E. NUESTRA SE�ORA DEL CARMEN","HATONUEVO",,"3015371355",,"DAMARIS CERCHAR",,"1","100","2018-12-31",,"391797,0714","2018-12-31","900000","44378"
,"2018","LA GUAJIRA","I.E. NUESTRA SE�ORA DEL CARMEN","HATONUEVO",,"3015371355",,"DAMARIS CERCHAR",,"1","100","2018-12-31",,"391797,0714","2018-12-31","900000","44378"
,"2018","LA GUAJIRA","I.E. NUESTRA SE�ORA DEL CARMEN","HATONUEVO",,"3015371355",,"DAMARIS CERCHAR",,"1","100","2018-12-31",,"391797,0714","2018-12-31","900000","44378"
,"2018","LA GUAJIRA","I.E. NUESTRA SE�ORA DEL CARMEN","HATONUEVO",,"3015371355",,"DAMARIS CERCHAR",,"1","100","2018-12-31",,"391797,0714","2018-12-31","900000","44378"
,"2018","LA GUAJIRA","I.E. NUESTRA SE�ORA DEL CARMEN","HATONUEVO",,"3015371355",,"DAMARIS CERCHAR",,"1","100","2018-12-31",,"391797,0714","2018-12-31","900000","44378"
