"act_admin","ano_vigencia","cant_vehiculos","codigo_com","costado","direccion","estado","latitud","longitud","nombre_com","numero_acopio","objectid","observaciones","ubicacion","x_magnamed","y_magnamed","point"
"Resolución 59581 (08/10/2020)","2020","2","5","N","CALLE 111A CON CARRERA 65","V","6.30630727","-75.56389747","Castilla","89","2123",,,"835488.1585","1189345.0127","POINT (-75.56389747102772 6.306307270461288)"
"Resolución 59581 (08/10/2020)","2020","5","15","N","CALLE 14 ENTRE CARRERAS 51 Y 52","V","6.21748637","-75.58019957","Guayabal","15","2122",,,"833683.6127","1179520.2279","POINT (-75.58019956455844 6.217486365817858)"
"Resolución 59581 (08/10/2020)","2020","4","14","S","CALLE 9 # 42-15 (Interior) acopio det taxis al Aeropuerto Jose Maria Cordoba","V","6.20963205","-75.57014959","El Poblado","203","2121",,,"834796.0883","1178651.4109","POINT (-75.57014959182075 6.209632046760421)"
"Resolución 59581 (08/10/2020)","2020","10","10","N","CALLE 44 ENTRE CARRERAS 53 Y 54","V","6.24564673","-75.57272508","La Candelaria","42","2120",,,"834511.0493","1182635.1321","POINT (-75.5727250762571 6.245646731295531)"
"Resolución 59581 (08/10/2020)","2020","5","16","W","CARRERA 77 CON CL 30 Y 30A","V","6.23177338","-75.59710091","Belén","180","2119",,,"831812.8101","1181100.6513","POINT (-75.59710091265647 6.231773376807895)"
"Resolución 59581 (08/10/2020)","2020","3","5","N","CALLE 97 ENTRE CARRERA 65 Y 66 (EPS SURA)","V","6.2917839","-75.56996042","Castilla","87","2118",,,"834817.1169","1187738.5319","POINT (-75.56996041767172 6.291783903700036)"
"Resolución 59581 (08/10/2020)","2020","4","10","S","CARRERA 46 CON CALLE 48 (ÉXITO SAN ANTONIO)","V","6.24690175","-75.56681202","La Candelaria","116","2117",,,"835165.5619","1182773.9483","POINT (-75.5668120222528 6.2469017498447)"
"Resolución 59581 (08/10/2020)","2020","4","10","N","CALLE 29 ENTRE CARRERAS 43A Y 43G","V","6.22844172","-75.57025754","La Candelaria","24","2116",,,"834784.1599","1180732.0187","POINT (-75.57025753999248 6.228441720423434)"
"Resolución 59581 (08/10/2020)","2020","7","10","E","CARRERA 51 ENTRE CALLES 45 Y 46","V","6.24660421","-75.56979655","La Candelaria","136","2115",,,"834835.2065","1182741.0385","POINT (-75.56979655406033 6.24660421042018)"
"Resolución 59581 (08/10/2020)","2020","5","9","N","CALLE 40 ENTRE CARRERAS 35 Y 35A (EL SALVADOR)","V","6.2370743","-75.56060674","Buenos Aires","37","2114",,,"835852.4283","1181686.8995","POINT (-75.56060673494454 6.23707430270153)"
"Resolución 59581 (08/10/2020)","2020","6","14","E","CARRERA 46 ENTRE CALLES 10 Y 9 -ÉXITO POBLADO","V","6.21204054","-75.57552751","El Poblado","115","2113",,,"834200.7747","1178917.8321","POINT (-75.57552751120369 6.212040538879898)"
"Resolución 59581 (08/10/2020)","2020","3","14","N","CALLE 14 ENTRE CARRERAS 43D Y 43E","V","6.21483389","-75.57158825","El Poblado","13","2112",,,"834636.8407000001","1179226.8073","POINT (-75.57158824905666 6.214833884992594)"
"Resolución 59581 (08/10/2020)","2020","3","10","E","CARRERA 42 ENTRE CALLES 52 Y 53","V","6.24876425","-75.56109577","La Candelaria","101","2111",,,"835798.2875","1182979.9675","POINT (-75.56109576678828 6.248764250367929)"
"Resolución 59581 (08/10/2020)","2020","3","10","W","CARRERA 50 ENTRE CALLES 63 Y 64","V","6.26037627","-75.56129195","La Candelaria","130","2110",,,"835776.5631","1184264.4161","POINT (-75.5612919532208 6.260376272231497)"
"Resolución 59581 (08/10/2020)","2020","3","10","W","CARRERA 50 ENTRE CALLES 65 Y 64","V","6.26135611","-75.56090191","La Candelaria","129","2109",,,"835819.7343","1184372.7993","POINT (-75.56090191361068 6.261356104621318)"
"Resolución 59581 (08/10/2020)","2020","6","16","W","CARRERA 66B FRENTE A UNIDAD DEPORTIVA BELEN","V","6.23489765","-75.58742216","Belén","161","2108",,,"832884.1877","1181446.1827","POINT (-75.58742216135809 6.234897645578)"
