departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación
ANTIOQUIA,5,GRANADA,5313,Rural,Sin información,2006,1,Menor de 18 años,No,Civil,Herido,Masculino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)"
CAQUETA,18,MONTAÑITA,18410,Rural,Sin información,2009,12,Mayor de 18 años,No,Civil,Herido,Masculino,1.49494421255,-75.4630895064,Accidente por MAP,"(1.49494421255, -75.4630895064)"
PUTUMAYO,86,PUERTO ASÍS,86568,Rural,Sin información,2008,4,Mayor de 18 años,No,Civil,Muerto,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)"
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin información,2009,11,Mayor de 18 años,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)"
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin información,2009,11,Mayor de 18 años,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)"
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin información,2009,11,Mayor de 18 años,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)"
CORDOBA,23,PUERTO LIBERTADOR,23580,Rural,Sin información,2009,11,Mayor de 18 años,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)"
NARIÑO,52,BARBACOAS,52079,Rural,Vereda Santa Lucia,2010,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.5875,-78.2275,Accidente por MAP,"(1.5875, -78.2275)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Quebrada Iraca,2010,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,7.372777777777777,-75.20444444444445,Accidente por MAP,"(7.372777777777777, -75.20444444444445)"
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin información,2008,3,Mayor de 18 años,No,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)"
CAUCA,19,TORIBÍO,19821,Rural,Vereda Vichiqui,2009,8,Menor de 18 años,Indigena,Civil,Muerto,Masculino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)"
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin información,2008,3,Mayor de 18 años,No,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)"
CAUCA,19,TORIBÍO,19821,Rural,Vereda Vichiqui,2009,8,Menor de 18 años,Indigena,Civil,Herido,Masculino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)"
NARIÑO,52,SANTA CRUZ,52699,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Femenino,1.225,-77.68,Accidente por MAP,"(1.225, -77.68)"
ANTIOQUIA,5,VALDIVIA,5854,Urbana,Sin información,2009,4,Mayor de 18 años,No,Civil,Herido,Masculino,7.274352,-75.382426,Accidente por MAP,"(7.274352, -75.382426)"
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin información,2008,3,Mayor de 18 años,No,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)"
NARIÑO,52,RICAURTE,52612,Rural,Sin información,2009,12,Mayor de 18 años,Indigena,Civil,Muerto,Femenino,1.212529,-77.995412,Accidente por MAP,"(1.212529, -77.995412)"
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,Rural,Tomachipan,2009,10,Mayor de 18 años,No,Civil,Herido,Masculino,2.255,-71.7891666666667,Accidente por MAP,"(2.255, -71.7891666666667)"
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,Rural,Tomachipan,2009,10,Mayor de 18 años,No,Civil,Herido,Masculino,2.255,-71.7891666666667,Accidente por MAP,"(2.255, -71.7891666666667)"
META,50,SAN JUAN DE ARAMA,50683,Rural,Sin información,2009,12,Mayor de 18 años,No,Civil,Herido,Masculino,3.380464,-73.878772,Accidente por MAP,"(3.380464, -73.878772)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2009,9,Mayor de 18 años,No,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)"
BOLIVAR,13,SAN PABLO,13670,Rural,Sin información,2009,8,Mayor de 18 años,No,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)"
BOLIVAR,13,SAN PABLO,13670,Rural,Sin información,2009,8,Mayor de 18 años,No,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)"
CAQUETA,18,MONTAÑITA,18410,Rural,Sin información,2009,10,Mayor de 18 años,No,Civil,Herido,Masculino,1.49494421255,-75.4630895064,Accidente por MAP,"(1.49494421255, -75.4630895064)"
PUTUMAYO,86,SAN MIGUEL,86757,Rural,Sin información,2008,9,Mayor de 18 años,No,Civil,Herido,Masculino,0.343179,-76.911852,Accidente por MAP,"(0.343179, -76.911852)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,No,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)"
CAUCA,19,SUÁREZ,19780,Rural,Vereda La Esperanza,2010,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.057222222222222,-76.7761111111111,Accidente por MAP,"(3.0572222222222223, -76.7761111111111)"
CAUCA,19,SUÁREZ,19780,Rural,Vereda La Esperanza,2010,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.057222222222222,-76.7761111111111,Accidente por MAP,"(3.0572222222222223, -76.7761111111111)"
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,Rural,Sin información,2010,1,Menor de 18 años,No,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)"
CAUCA,19,SUÁREZ,19780,Rural,Vereda La Esperanza,2010,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,3.057222222222222,-76.7761111111111,Accidente por MAP,"(3.0572222222222223, -76.7761111111111)"
META,50,MAPIRIPÁN,50325,Rural,El Matire,2010,1,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,2.904166666666667,-71.46,Accidente por MAP,"(2.904166666666667, -71.46)"
HUILA,41,ALGECIRAS,41020,Rural,Vereda Termopilas,2010,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,2.604722222222222,-75.13416666666667,Accidente por MAP,"(2.604722222222222, -75.13416666666667)"
