"item","obra","lugar","valor_inicial_del_contrato","plazo_inicial_del_contrato","poblacion_beneficiada","porcentaje_de_ejecucion","estado"
"1","Coliseo","Ciudadela Villamil","1966788330","7","2500","1","Terminada"
"2","Mejoramiento y pavimentación","Balcones de Provenza","468552568","5","1500","1","Terminada"
"3","Construcion de alcantarillado","Malpaso y guaduales","526295000","5","700","1","Terminada"
"4","Alcantarillado pluvial y pavimentación","Vias Marianela","2316495691","16","1500","1","Terminada"
"5","Restaurante escolar","Bocas","344708291","1","134","1","Terminada"
"6","Restauracion de restaurantes escolares","Girón","302870001","2","1743","1","Terminada"
"7","Mejoramiento y pavimentación","San jorge","705045084","4","800","1","Terminada"
"8","Estructura vial y pavimentación","Ciudadela nuevo Girón","2922203623","12","5000","1","Terminada"
"9","Contruccion y pavimentación de vías principales","quintas de san isidro","629010509","4","500","1","Terminada"
"10","Construccion lineas de espacio publico","avenida caneyes","1952702471","8","800","1","Terminada"
"11","Construccion de alcantarilaldo y vias","valle de los caballeros","3541139834","15","1500","1","Terminada"
"12","Malecón","Ciudadela villamil","3313492320","12","190000","1","Terminada"
"13","Construccion de muro de protección","San antonio de carrizales","2220209420","6","3000","1","Terminada"
"14","Contruccion y pavimentación de vías principales","Rincón de Girón parte baja","1221307367","16","190000","1","Terminada"
"15","Construccion y pavimentación paralela oriental","Rincón de Girón parte alta","1686201871","15","190000","1","Terminada"
"16","Mejoramiento y pavimentación","Poblado","70371032","2","190000","1","Terminada"
"17","Reposición de alcantarilaldo y pavimentación","Santa cruz","2611961989","11","190000","1","Terminada"
"18","Mejoramiento y pavimentación","Ciudadela nuevo Girón","645000000","8","10000","1","Terminada"
"19","Muro de protección","Casa linda","2702906002","12","4000","1","Terminada"
"20","Reposición de empedrado","Casco antiguo","526295000","14","190000","1","Terminada"
"21","Puente","San jorge","9744533996","14","190000","1","Terminada"
"22","Muro de protección","San jorge","8128328686","12","4800","1","Terminada"
"23","Mejoramiento y pavimentación","villa campestre","260946297","3","1500","1","Terminada"
"24","Mejoramiento y pavimentación","Portal campestre","636351157","2","190000","1","Terminada"
"25","Restructuración de cubierta colegio eloy valenzuela","Casco antiguo","975384973","6","900","1","Terminada"
"26","Ampliación de la doble calzada","carrera 19","3026568982","12","190000","1","Terminada"
"27","Megacolegio Juan Cristobal Martinez","Santa Cruz","7544778516","12","960","0.98","ejecución"
"28","Recuperación malla vial","Rio de oro","389236914","1","190000","1","Terminada"
"29","Mejoramiento puente peatonal","caneyes","156000000","3","800","1","Terminada"
"30","Ampliación de la estructura boxcoulvert","casa linda","478828480","4","4000","1","Terminada"
"31","mejoramiento de la malla vial","poblado","1034930824","2","190000","0.89","ejecución"
"32","Construccion retorno","caneyes","445443242","4","1000","1","Terminada"
"33","Megacolegio Mirador de arenales","mirador de arenales","15472694056","12","1320","0.62","ejecución"
"34","Muro de protección","villa campestre","1107229753","12","3600","1","Terminada"
"35","Construcción de CAI","villas de don Juan","646446914","9","190000","1","Terminada"
"36","Megacolegio Roberto Garcia Peña","Rincon de Girón","8229593655","13","960","0.75","ejecucion"
"37","Mejoramiento vias","villampis","68261775","1","190000","1","Terminada"
"38","Pantalla anclada","Balcon del portal","1009781260","5","720","1","Terminada"
"39","Construccion Tanque de agua","Vereda Nazareth","691777639","5","190000","0.6","ejecución"
"40","Conexión vial","San jorge","10599295687","9","190000","0.77","ejecución"
"41","Cosntruccion de tanque de agua en vidrio","la esmeralda","8874447474","12","190000","0.85","ejecución"
"42","Megacolegio","Puerto madero","12216391437","10","1200","0.69","ejecución"
"43","Construccion de CAI","ciudadela villamil","729523299","9","190000","1","Terminada"
"44","Construcción de glorieta",,"1844187550","8","190000","1","Terminada"
"45","Mega colegio Roberto Garcia Peña","Portal campestre","4344399824","14","514","0.94","ejecución"
"46","Mejoramiento y pavimentación","poblado","108444510","1","190000","1","Terminada"
"47","Conformación de calzado y pavimentación","Prados de cataluña","470516557","3","190000","1","Terminada"
"48","Construccion de CAI","primero de mayo","658811121","9","190000","1","Terminada"
"49","Ampliacion de malla vial","Ciudadela villamil","586922963","7","190000","1","Terminada"
"50","cosntruccion de via","Puerto madero","409558003","3","190000","1","Terminada"
"51","Construccion y pavimentación","Villa sandra","1501858868","4","1000","1","Terminada"
"52","Reconstrucción de escaleras","Acacios","215259000","4","500","1","Terminada"
"53","mejoramiento malla vial","Poblado","224123301","1","190000","1","Terminada"
"54","Mejoramiento capa asfaltica","Poblado","697629318","2","190000","0.89","Ejecucion"
"55","Mejoramiento del sistema de alcantarillado","Alicante","105259000","1","190000","1","Terminada"
"56","Construccion de sistema de alcantarillado","Alpes campestres","781925071","4","190000","0.89","Ejecución"
"57","Biblioteca publica","Ciudadela nuevo girón","2572301124","11","500","1","Terminada"
"58","construcción de redes sanitarias","Bellavista","526295000","2","190000","0.85","Ejecución"
"59","Construcción de red de alcantarillado","Bellavista","1157849000","4","190000","0.67","Ejecución"
"60","Mejoramiento espacio publico","Ciudad metropolitana","57629500","3","190000","1","Terminada"
"61","pavimentación en concreto de vias","España","1009869188","7","190000","1","Terminada"
"62","reposición losas de concreto","palenque","699020918","4","190000","1","Terminada"
"63","muro deproteccion adicional","San jorge","3989313625","10","190000","1","Terminada"
"64","pavimentacion de vias","San juan","5179580009","8","190000","0.24","Ejecución"
"65","construcción de doble calzada","San juan","4827795801","11","190000","0.3","Ejecución"
"66","Conexión vial","trefilco","592758069","5","190000","1","Terminada"
"67","Construcción de CAI","Altos de Arenales","698096792","9","190000","1","Terminada"
"68","rehabilitación de malla vial","Mirador de carrizales","528550279","8","190000","1","Terminada"
"69","Construcción de CAI","Balcones de Provenza","51326717","9","190000","1","Terminada"
"70","rehabilitacion malla vial","Aldea baja","578844345","3","190000","1","Terminada"
"71","construcción de vias","Aldea media","315777000","3","190000","0.9","Ejecución"
"72","Conformación del suelo y pavimentación","Villa carolina","1034956991","3","190000","0.99","Ejecución"
"73","rotonda via caneyes","Caneyes","1302408927","8","190000","0.53","Ejecución"
"74","plazoleta cultural y artistica","Villamil","493807234","3","190000","1","Terminada"
"75","Construcción de muro","Puerto madero","3660043620","7","3980","0.05","Ejecución"
"76","Megacolegio","Vereda angulo","2640166016","7","325","0.56","Ejecución"
"77","Construcción muro de protección","Gallineral","3857960451","7","2780","0.6","Ejecución"
"78","Tuberia de conexiones domiciliarias","Vereda chocoa","2508603870","10","105","0.1","Ejecución"
"79","Megacolegio","Villas de san juan","4724170356","10","835","0.55","Ejecución"
"80","Construcción de muro de protección","Aldea alta","1433255637","5","836","0.02","Ejecución"
"81","Construcción de obras de mitigación de amenazas","Lenguerke","2136254155","7","1720","0.15","Ejecución"
"82","Construcción de pantalla anclada","Bellavista","4248657322","10","970","1","Terminada"
"83","Megacolegio facundo navas","la esmeralda","9294705277","12","964","0.4","Ejecución"
"84","Placa huellas","Sector rural","4000016190","6","20000","0","Proyectada"
"85","puente peatonal","Bellavista","1283000000","2","190000","0","Proyectada"
"86","Segundo puente","Ciudadela villamil","9369020917","11","190000","0","Proyectada"
"87","Parque lineal","San jorge","2305315154","15","190000","0.7","Ejecución"
"88","transversal","Malpaso","22494005246","8","190000","0.05","Ejecución"
"89","Construccion de rotonda","Consuelo","1201870250","12","190000","0.95","Ejecución"
"90","Construcicon de muro de protección","Carrizales","345740098","7","190000","0","Proyectada"
"91","Construcción de CAI","Gallineral","500000000","9","190000","1","Terminada"
"92","Electrificación rural","Sector rural","2000000","9","311","1","Terminada"
"93","pavimentacion en concreto","Altos de carrizal","469849353","8","190000","0.35","Ejecución"
"94","construcción de sistema de alcantarillado","Mirador de san antonio","357888013","4","190000","0.95","Ejecución"
"95","rehabilitacion de zonas de parqueo","Balcones de portal","110740951","1","190000","1","Terminada"
"96","Construcción red de acueductos","Villa sandra",,"2","500","1","Terminada"
"97","Conexión valle de los caballeros-prados cataluña-la meseta","Girón","740001692","4","190000","0.99","Ejecución"
"98","Construcción de centro de atención PAS","Sector rural","299954168","7","190000","0","Proyectada"
"99","Parque lineal Bomberos","Poblado","210518000","2","190000","0.85","Ejecución"
"100","Escuelas rurales","sector rural","1199980614","17","190000","0","Proyectada"
"101","Vias internas","Rincon de Girón","789442500","3","190000","1","Terminada"
"102","Conformación vial","Lomas del viento","331531234","2","190000","0.99","Ejecución"
"103","Restauración de la malla vial","bosquecitos","447350750","7","190000","0.9","Ejecución"
"104","Construcción de pavimentación","Giraluz","263147500","12","200","1","Terminada"
"105","puentes peatonales","sector rural","90000000","1","190000","1","Terminada"
"106","Construccipon de malecon","casa linda","1000100815","4","190000","0.65","Ejecución"
"107","construcción de un boxculvert","rinconada","157888500","3","190000","1","Terminada"
"108","Pavimentación nuevo giron a chocoita","Nuevo Girón","18000000000",,,"0","proyectada"
"109","Cosntruccion transverasl 23","nuevo Girón","444552689","4","10000","0.75","Ejecución"
"110","reposicion de alcantarillado malla vial","Bambues","349594897","3","200","1","Terminada"
"111","Construccion de redes de agua potable","Mirador de san juan","1169375561","9","3000","0.25","Ejecución"
"112","puente peatonal y vehicular","poblado","368406500","5","190000","0.55","Ejecución"
"113","construcción de alcantarillas","Sector rural","592141766","10","190000","0.13","Ejecución"
"114","Conexión vial valle de los caballeros - la meseta","valle de los caballeros","526295000","3","190000","0.98","Ejecución"
"115","mejoramiento vial","las nieves","526295000","1","190000","1","Terminada"
"116","muro de contención","quintas de san isidro","3000000",,,"0.1","Ejecución"
"117","Mejoramiento vial jardin de arenales","jadines de arenales",,,,"0.43","Ejecución"
"118","Conexión vial sector aldeas, campiñas y sagrado corazon","Sector aldeas",,,,"0.05","Ejecución"
"119","alcantarillado pluvial","Vereda acapulco","1361714019",,,"0.32","Ejecución"
"120","La isla Z2",,,"12",,"0","proyectada"
"121","mejoramiento via guaduales",,,"12",,"0","proyectada"
"122","construccion de CAI","Aldeas",,,,"0","proyectada"
"123","construcción de CAI","Mirador de san juan",,"12",,"0","proyectada"
"124","Alcantarillado la tolosa","la tolosa",,"12",,"0","proyectada"
"125","Alcantarillado sagrado corazon","sagrado corazon",,"12",,"0","proyectada"
"126","mantenimiento zonas verdes y suministro e instalacion gym",,,"12",,"0","proyectada"
"127","CORVIANDI III (Z2)",,,"12",,"0","proyectada"
"128","RIO PRADO (Z4)",,,"12",,"0","proyectada"
"129","ARENALES CAMPESTRE (Z4)",,,"12",,"0","proyectada"
"130","RIVERAS DEL RIO (Z4)",,,"12",,"0","proyectada"
"131","ARREGLO VIAS Y PARQUE ARENALES",,,"12",,"0","proyectada"
"132","MALECON ARENALES",,,"12",,"0","proyectada"
"133","PUENTES PEATONALES",,,"12",,"0","proyectada"
"134","MURO BELLAVISTA",,,"12",,"0","proyectada"
"135","VIA MAPLASO ENTRE CALLE 106 CON CRA 10",,,"12",,"0","proyectada"
"136","MEJORAMIENTO Y ADECUACION DE LA CARRERA 17 ENTRE CALLE 14B Y CALLE 10",,,"12",,"0","proyectada"
"137","VILLA DEL SOL (Z4)",,,"12",,"0","proyectada"
"138","VIA RIO DE ORO II (Z3)",,,"12",,"0","proyectada"
"139","CARRIZAL CAMPESTRE",,,"12",,"0","proyectada"
"140",,,,,,"0","proyectada"
"141",,,,,,"0","proyectada"
"142",,,,,,"0","proyectada"
"143",,,,,,"0","proyectada"
"144",,,,,,"0","proyectada"
"145",,,,,,"0","proyectada"
"146",,,,,,"0","proyectada"
"147",,,,,,"0","proyectada"
"148",,,,,,"0","proyectada"
"149",,,,,,"0","proyectada"
"150","Nueva Clínica Girón E.S.E.","San Jorge","30000000","12",,"0","proyectada"
