"codigofamilia","tipodocumento","rangoedad","pais","codigodepartamentoatencion","nombredepartamentoatencion","codigomunicipioatencion","nombremunicipioatencion","puntajesisben","beneficiariosisben","condicionsexual","discapacidad","estadocivil","estrato","etnia","genero","parentesco","tipopoblacion","estadobeneficiario","logro1","logro2","logro3","logro4","logro5","logro6","logro7","logro8","logro9","logro10","logro11","logro12","logro13","logro14","logro15","logro16","logro17","logro18","logro19","logro20","logro21","logro22","logro23","logro24","logro25","logro26","pe34","pe35","pe36","pe37","pe38","pe39","pe40","pe41","pe42","pe43","pe44","pe45","pe46","pe48","pe50","pe51","he11","he12","he13","he14","he15","he16","he17","he18","he20","he21","he22","he23"
"HID23840128","TI","06-17","ND","47","MAGDALENA","47551","PIVIJAY","1",,"ND","NO","Sin Información","0","ND","Mujer","Hijos / Hijastros","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","POR ALCANZAR","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","POR ALCANZAR","ALCANZADO","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","Si","No","No","No","No","No","Si","Si","BÁSICA PRIMARIA 1°","No","No","No","No","No","No","No","Si","Si","No","No","No","No","5","1","No","No","Si","Si"
"HID28181664","CC","18-29","ND","41","HUILA","41396","LA PLATA","1","ND","ND","NO","Sin Información","1","ND","Hombre","HIJOS/ HIJASTROS","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","NO APLICA","POR ALCANZAR","NO APLICA","NO APLICA","POR ALCANZAR","ALCANZADO","ALCANZADO","POR ALCANZAR","POR ALCANZAR","ALCANZADO","ALCANZADO","POR ALCANZAR","POR ALCANZAR","NO APLICA","POR ALCANZAR","POR ALCANZAR","Si","No","No","No","No","Si","Si","No","BÁSICA SECUNDARIA 9°","No","Si","No","No","No","No","No","No","No","Si","No","Si","Si","6","2","No","No","Si","No"
"HID42573953","CC","30-49","ND","13","BOLIVAR","13300","HATILLO DE LOBA","1","ND","ND","NO","Sin Información","0","ND","Mujer","CÓNYUGE O COMPAÑERA(O)","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","POR ALCANZAR","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","POR ALCANZAR","ALCANZADO","POR ALCANZAR","POR ALCANZAR","POR ALCANZAR","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","POR ALCANZAR","NO APLICA","Si","No","No","No","No","No","Si","No","BÁSICA PRIMARIA 5°","No","No","No","No","No","No","No","Si","No","No","No","No","No","6","4","No","No","No","No"
"HID26670971","CC",">65","ND","20","CESAR","20621","LA PAZ","1","ND","ND","NO","Sin Información","0","ND","Hombre","JEFE","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","ALCANZADO","POR ALCANZAR","ALCANZADO","ALCANZADO","POR ALCANZAR","ALCANZADO","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","Si","No","No","No","No","Si","Si","No","BÁSICA PRIMARIA 2°","Si","Si","Si","No","No","No","No","Si","Si","Si","No","Si","Si","1","1","No","No","No","No"
"HID77160890","CC","18-29","ND","63","QUINDIO","63111","BUENAVISTA","1",,"ND","NO","Sin Información","0","ND","Mujer","Jefe","UNIDOS RURAL","ACTIVO","ALCANZADO","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","POR ALCANZAR","ALCANZADO","ALCANZADO","POR ALCANZAR","ALCANZADO","POR ALCANZAR","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","POR ALCANZAR","POR ALCANZAR","No","No","No","No","No","Si","Si","Si","MEDIA 10°","No","No","Si","No","No","No","No","Si","No","Si","No","Si","No","4","2","No","No","Si","No"
"HID54081033","CC",">65","ND","27","CHOCO","27600","RIO QUITO","1","ND","ND","NO","Sin Información","1","AFROCOLOMBIANO – NEGRO","Mujer","CÓNYUGE O COMPAÑERA(O)","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","POR ALCANZAR","ALCANZADO","POR ALCANZAR","POR ALCANZAR","POR ALCANZAR","ALCANZADO","ALCANZADO","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","Si","No","No","No","No","No","Si","No","BÁSICA PRIMARIA 5°","Si","No","No","No","No","No","No","Si","No","Si","No","Si","Si","2","1","No","No","No","No"
"HID14101249","TI","18-29","ND","76","VALLE","76001","CALI","1","ND","ND","NO","SO","99","AFROCOLOMBIANO – NEGRO","Mujer","Hijos / Hijastros","UNIDOS U100","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","POR ALCANZAR","POR ALCANZAR","ALCANZADO","POR ALCANZAR","POR ALCANZAR","ALCANZADO","ALCANZADO","ALCANZADO","POR ALCANZAR","NO APLICA","POR ALCANZAR","NO APLICA","Si","No","No","No","No","No","Si","No","BÁSICA SECUNDARIA 7°","No","Si","No","No","No","No","No","Si","No","Si","Si","Si","Si","6","2","Si","Si","No","No"
"HID24761987","TI","06-17","ND","05","ANTIOQUIA","05543","PEQUE","1","ND","ND","NO","Sin Información","0","ND","Hombre","Hijos / Hijastros","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","Si","No","No","No","No","Si","Si","Si","BÁSICA PRIMARIA 5°","No","Si","Si","No","No","No","No","Si","No","Si","Si","Si","Si","3","2","No","No","No","No"
"HID52695635","CC","30-49","Colombia","47","MAGDALENA","47245","EL BANCO","1","ND","ND","NO","Sin Información","0","ND","Hombre","HIJOS/ HIJASTROS","UNIDOS URBANO","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","NO APLICA","POR ALCANZAR","NO APLICA","NO APLICA","POR ALCANZAR","ALCANZADO","ALCANZADO","POR ALCANZAR","ALCANZADO","POR ALCANZAR","ALCANZADO","ALCANZADO","ALCANZADO","NO APLICA","ALCANZADO","NO APLICA","Si","No","No","No","No","Si","Si","No","MEDIA 11°","Si","No","Si","No","No","No","No","Si","No","Si","No","Si","Si","2","2","No","No","Si","No"
"HID34915281","TI","06-17","ND","15","BOYACA","15762","SORA","1",,"ND","NO","Sin Información","0","ND","Mujer","Hijos / Hijastros","UNIDOS RURAL","ACTIVO","ALCANZADO","ALCANZADO","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","ALCANZADO","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","POR ALCANZAR","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","ALCANZADO","ALCANZADO","POR ALCANZAR","NO APLICA","NO APLICA","POR ALCANZAR","Si","No","No","No","No","No","Si","Si","BÁSICA PRIMARIA 2°","No","No","Si","No","No","No","No","Si","No","No","No","Si","No","3","1","No","No","Si","No"
