"radicado","coddepto","departamento","codmun","municipio","sede_beneficiada","dane","total_terminales","nombre_elemento","a_o","estado","rural_urbana"
"27201","47","MAGDALENA","47288","FUNDACION","I.E. Depart. Juan Francisco Ospina-Erm Francisco De Paula Santander","247288000972","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"19686","76","VALLE DEL CAUCA","76100","BOLIVAR","Ie Primavera-Concentracion Agricola","276100001500","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"35739","19","CAUCA","19418","LOPEZ","Institucion Educativa Sagrada Familia-El Cacao","219418001200","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"19855","76","VALLE DEL CAUCA","76248","EL CERRITO","Ie Jorge  Isaacs-Pedro Vicente Monta�o","176248000288","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49049","76","VALLE DEL CAUCA","76243","EL AGUILA","Ie Justiniano Echavarria-San Cayetano","276243000055","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"44806","86","PUTUMAYO","86569","PUERTO CAICEDO","C.E.R. Villaflor-Esc Rur Mix Colonia Nueva","286569000131","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"10659","76","VALLE DEL CAUCA","76113","BUGALAGRANDE","Ie Diego Rengifo Salazar-Camilo Torres","276113000631","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"8569","76","VALLE DEL CAUCA","76122","CAICEDONIA","Ie Gilberto Alzate Avenda�o-Cent Doc No 22  Gilberto Alzate Avenda�o","276122000201","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"516","76","VALLE DEL CAUCA","76736","SEVILLA","Ie Santa Teresita-Santa Teresita","276736000178","6","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"8565","76","VALLE DEL CAUCA","76122","CAICEDONIA","Ie Normal Superior Maria Inmaculada-Cent Doc No  01 Anexa Maria Inmaculada","176122000436","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"4751","76","VALLE DEL CAUCA","76041","ANSERMANUEVO","Ie Santa Ana De Los Caballeros-Marco Fidel Suarez","176041000440","4","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"16033","70","SUCRE","70001","SINCELEJO","Institucion Educativa Juanita Garcia Manjarres-Cuarta El Salvador","170001000261","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"46428","68","SANTANDER","68615","RIONEGRO","Institucion Educativa Cuesta Rica-Escuela Rural Tambo Quemado","268615000208","4","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17928","13","BOLIVAR","13042","ARENAL","Institucion Educativa Ema Troncoso Rabelo-Los Pe�ones","213042000039","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"43701","54","NORTE DE SANTANDER","54245","EL CARMEN","Cent Educ Rur Playas Lindas-Sede Dos Quebradas","254245001144","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49468","76","VALLE DEL CAUCA","76622","ROLDANILLO","Ie Nuestra Se�ora De Chiquinquira-Lic Fem Nuestra Se�ora De Chiquinquira","176622000076","6","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"666","13","BOLIVAR","13001","CARTAGENA","Institucion Educativa Bertha Gedeon De Baladi-Institucion Educativa Bertha Gedeon De Baladi","113001013814","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"22053","76","VALLE DEL CAUCA","76828","TRUJILLO","Ie Julian Trujillo-Julian Trujillo","176828000021","9","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"49143","76","VALLE DEL CAUCA","76250","EL DOVIO","Ie Acerg-Atanasio Girardot","276250000095","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
