"territorial","expediente","naturaleza","tipo_empresa","estado","tipo_proyecto","municipio","municipio_predio","vereda","radicado","fecha","descriptor","asunto"
"Aburrá Norte","AN3-1995-144","Jurídica","Privada","Activo","Otros","Barbosa","No reporta","No reporta","130AN-3090","2005-04-12T00:00:00.000","Por la cual se impone (acepta) un plan de manejo ambiental",
"Aburrá Norte","AN3-1995-403","Jurídica","Privada","Activo","Explota Materiales construcción: menor a 600.000 toneladas/año","Copacabana","No reporta","No reporta","130AN-1403-14881","2014-03-04T00:00:00.000","Por la cual se establece un plan de manejo ambiental",
"Aburrá Norte","AN3-1997-643","Jurídica","Privada","Activo","Explota Materiales construcción: menor a 600.000 toneladas/año","Girardota","Girardota","San Esteban","130AN-1864","2003-12-11T00:00:00.000","Por la cual se prorroga una licencia ambiental",
"Aburrá Norte","AN3-1997-687","Jurídica","Pública","Activo","Construcción de carreteras, en la red vial secundaria y terciaria","Girardota","No reporta","No reporta","130AN-946","2000-12-29T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1997-901","Natural","-No aplica-","Activo","Otros","Medellín","Medellín","No reporta","130AN-22","2001-02-20T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1998-1108","Natural","-No aplica-","Activo","Otros","Medellín","Medellín","Loma Los Balsos El Tesoro","130AN-313","2001-10-31T00:00:00.000","Por la cual se modifica una licencia ambiental",
"Aburrá Norte","AN3-1998-1131","Jurídica","Privada","Activo","Explota Materiales construcción: menor a 600.000 toneladas/año","Medellín","No reporta","No reporta","130AN-8931","2009-03-16T00:00:00.000","Por la cual se niega la cesión de un plan de manejo ambiental",
"Aburrá Norte","AN3-1998-1328","Natural","-No aplica-","Activo","Construcción de carreteras, en la red vial secundaria y terciaria","Girardota","No reporta","No reporta","130AN-197","2008-09-25T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1998-1372","Jurídica","Privada","Activo","Explota Materiales construcción: menor a 600.000 toneladas/año","Girardota","Girardota","No reporta","130AN-3359","2005-05-31T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1998-1397","Jurídica","Privada","Activo","Otros","Barbosa","No reporta","No reporta","130AN-115","2001-07-08T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1998-1403","Jurídica","Privada","Activo","Otros","Girardota","Girardota","La Holanda","130AN-49","2000-01-31T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1998-1421","Jurídica","Privada","Activo","Otros","Medellín","Medellín","La Loma","130AN-933","2000-12-28T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1999-124","Jurídica","Privada","Activo","Otros","Medellín","Barbosa","Buenos Aires","130AN-151","2000-03-03T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1999-20","Jurídica","Privada","Activo","Explota Otros minerales: menor a 1.000.000 de toneladas/año","Medellín","No reporta","No reporta","130AN-504","2002-01-15T00:00:00.000","Por la cual se niega plan de manejo ambiental",
"Aburrá Norte","AN3-1999-201","Jurídica","Privada","Activo","Otros","Copacabana","Copacabana","Quebrada Arriba","130AN-932","2000-12-21T00:00:00.000","Por la cual se otorga una licencia ambiental",
"Aburrá Norte","AN3-1999-210","Jurídica","Privada","Activo","Explota Materiales construcción: menor a 600.000 toneladas/año","Girardota","No reporta","No reporta","130AN-1105-11368","2011-05-24T00:00:00.000","Por la cual se establece un plan de manejo ambiental",
