"hecho","ruptura","conexo","estado_noticia","etapa","anio_denuncia","anio_entrada","anio_hecho","ley","pais","departamento","municipio","seccional","grupo_delito","delito","imputacion","condena","atipicidad_inexistencia","acusacion","captura","sexo_indiciado","grupo_edad_indiciado","pais_nacimiento","homicidio_doloso_consumado","total_indiciados"
"SI","NO","SI","INACTIVO","INDAGACIÓN","2016","2016","2016","Ley 906","Colombia","Meta","GRANADA","DIRECCIÓN SECCIONAL DE META","LESIONES PERSONALES","LESIONES ART. 111 C.P.","NO","NO","NO","NO","NO","MASCULINO","SIN DATO","Colombia","NO","1"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2016","2016","2016","Ley 906","Colombia","Antioquia","RIONEGRO","DIRECCIÓN SECCIONAL DE ANTIOQUIA","LIBERTAD INDIVIDUAL Y OTRAS GARANTIAS","VIOLACION DE HABITACION AJENA. ART. 189 C.P.","NO","NO","NO","NO","NO","FEMENINO","SIN DATO","Colombia","NO","1"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2018","2018","2018","Ley 906","Colombia","Antioquia","EL BAGRE","DIRECCIÓN SECCIONAL DE ANTIOQUIA","HURTO","HURTO CALIFICADO ART. 240 C.P. MENOR CUANTIA","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","1"
"SI","NO","NO","INACTIVO","EJECUCIÓN DE PENAS","2015","2015","2015","Ley 906","Colombia","Sucre","SINCELEJO","DIRECCIÓN SECCIONAL DE SUCRE","FABRICACION, TRAFICO Y PORTE DE ARMAS","FABRICACION, TRAFICO Y PORTE DE ARMAS DE FUEGO O MUNICIONES ART. 365 C.P.","SI","SI","NO","SI","SI","MASCULINO","SIN DATO","Colombia","NO","11"
"NO","SI","NO","ACTIVO","JUICIO","2019","2019","2019","Ley 906","Colombia","Tolima","PLANADAS","DIRECCIÓN SECCIONAL DE TOLIMA","CONCIERTO PARA DELINQUIR","CONCIERTO PARA DELINQUIR AGRAVADO POR DARSE PARA EXTORSION ART. 340 C.P. INC.2","SI","NO","NO","SI","SI","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","4"
"SI","NO","NO","INACTIVO","INDAGACIÓN","2021","2021","2021","Ley 906","Colombia","Caquetá","FLORENCIA","DIRECCIÓN SECCIONAL DE CAQUETÁ","DELITOS INFORMATICOS","SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009","NO","NO","NO","NO","NO","MASCULINO","SIN DATO",,"NO","1"
"SI","NO","NO","ACTIVO","INDAGACIÓN","2022","2022","2022","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","VIOLENCIA INTRAFAMILIAR","VIOLENCIA INTRAFAMILIAR ART. 229 C.P.","NO","NO","NO","NO","NO","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","953"
"SI","NO","NO","ACTIVO","INVESTIGACIÓN","2021","2021","2021","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","ESTUPEFACIENTES","TRAFICO FABRICACION O PORTE DE ESTUPEFACIENTES ART. 376 C..","SI","NO","NO","NO","SI","MASCULINO","ADULTEZ 29 - 59","Colombia","NO","24"
"NO","SI","NO","INACTIVO","INVESTIGACIÓN","2019","2021","2019","Ley 906","Colombia","Caldas","PÁCORA","DIRECCIÓN SECCIONAL DE CALDAS","CONCIERTO PARA DELINQUIR","CONCIERTO PARA DELINQUIR AGRAVADO POR DARSE PARA NARCOTRAFICO ART. 340 C.P. INC.2","SI","NO","NO","NO","SI","MASCULINO","JUVENTUD 18 - 28","Colombia","NO","2"
"SI","NO","NO","ACTIVO","INVESTIGACIÓN","2019","2019","2019","Ley 906","Colombia","Sucre","SAN ONOFRE","DIRECCIÓN SECCIONAL DE SUCRE","EXTORSION","EXTORSION ART. 244 C.P. MODIF.","SI","NO","NO","NO","SI","MASCULINO","SIN DATO","Colombia","NO","2"
