País,Código ISO país,Oficina de registro,Grupo edad,Edad (años),Área Conocimiento,Sub Area Conocimiento,Nivel Académico,Estado civil,Género,Etnia de la persona,Estatura (CM),Localización,Cantidad de personas
AFGANISTAN,AFG,C. NUEVA DELHI,ADULTO,41,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,-1,"(33.93911, 67.709953)",1
AFGANISTAN,AFG,C. NUEVA DELHI,ADULTO,31,NO INDICA,NO INDICA,NO INDICA,DESCONOCIDO,MASCULINO,SIN ETNIA REGISTRADA,-1,"(33.93911, 67.709953)",1
AFGANISTAN,AFG,C. NUEVA DELHI,ADULTO,59,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,SIN ETNIA REGISTRADA,162,"(33.93911, 67.709953)",1
AFGANISTAN,AFG,C. NUEVA DELHI,ADULTO JOVEN,22,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,150,"(33.93911, 67.709953)",1
AFGANISTAN,AFG,C. NUEVA DELHI,ADULTO,33,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(33.93911, 67.709953)",1
AFGANISTAN,AFG,C. NUEVA DELHI,ADULTO JOVEN,25,NO INDICA,NO INDICA,PREGRADO - TÉCNICO PROFESIONAL,DIVORCIADO,FEMENINO,NINGUNA,-1,"(33.93911, 67.709953)",1
ALBANIA,ALB,C. ROMA,DESCONOCIDO,-1,NO INDICA,NO INDICA,BACHILLERATO,DESCONOCIDO,FEMENINO,SIN ETNIA REGISTRADA,-1,"(41.153332, 20.168331)",1
ALBANIA,ALB,C. ROMA,ADULTO,32,NO INDICA,NO INDICA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,159,"(41.153332, 20.168331)",1
ALBANIA,ALB,C. ROMA,ADULTO,42,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA CIVIL Y AFINES,NO INDICA,DESCONOCIDO,FEMENINO,SIN ETNIA REGISTRADA,160,"(41.153332, 20.168331)",1
ALBANIA,ALB,C. ROMA,ADULTO,34,CIENCIAS DE LA SALUD,ENFERMERÍA,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(41.153332, 20.168331)",1
ALBANIA,ALB,C. ROMA,ADULTO,35,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,175,"(41.153332, 20.168331)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,46,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,30,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA INDUSTRIAL Y AFINES,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(51.165691, 10.451526)",2
ALEMANIA,DEU,C. FRANKFURT,ADULTO,31,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,177,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO JOVEN,24,CIENCIAS SOCIALES Y HUMANAS,GEOGRAFÍA O HISTORIA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,155,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,33,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,156,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,35,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,174,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,35,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLÍTICA Y/O RELACIONES INTERNACIONALES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,OTRO,175,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,38,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,SIN ETNIA REGISTRADA,175,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO JOVEN,25,CIENCIAS SOCIALES Y HUMANAS,"LENGUAS MODERNAS, FILOLOGÍA, LINGÜÍSTICA Y AFINES",NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,32,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,163,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO JOVEN,25,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO JOVEN,26,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",NO INDICA,SOLTERO,MASCULINO,NINGUNA,189,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,42,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,39,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,NINGUNA,159,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,49,MATEMÁTICAS Y CIENCIAS NATURALES,"MATEMÁTICAS, ESTADÍSTICA Y AFINES",NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,47,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ADMINISTRACIÓN,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,30,BELLAS ARTES,DISEÑO,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO JOVEN,27,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,50,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,CASADO,MASCULINO,OTRO,190,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,34,MATEMÁTICAS Y CIENCIAS NATURALES,OTROS PROGRAMAS DE CIENCIAS NATURALES,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,29,MATEMÁTICAS Y CIENCIAS NATURALES,FÍSICA,NO INDICA,DESCONOCIDO,MASCULINO,SIN ETNIA REGISTRADA,166,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,30,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,165,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,49,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,CASADO,FEMENINO,NINGUNA,170,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO JOVEN,28,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA MECÁNICA Y AFINES,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",2
ALEMANIA,DEU,C. FRANKFURT,ADULTO,34,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,32,CIENCIAS SOCIALES Y HUMANAS,"FILOSOFÍA, TEOLOGÍA Y AFINES",NO INDICA,DESCONOCIDO,MASCULINO,SIN ETNIA REGISTRADA,184,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,48,CIENCIAS SOCIALES Y HUMANAS,"SOCIOLOGÍA, TRABAJO SOCIAL Y AFINES",NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO,29,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,176,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,51,"INGENIERÍA, ARQUITECTURA Y AFINES","INGENIERÍA EN SISTEMAS, TELEMÁTICA Y AFINES",POSTGRADO - ESPECIALIZACIÓN,DIVORCIADO,MASCULINO,NINGUNA,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,34,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,DESCONOCIDO,MASCULINO,OTRO,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO MAYOR,61,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",3
ALEMANIA,DEU,C. BERLIN,ADULTO,46,"INGENIERÍA, ARQUITECTURA Y AFINES",INGENIERÍA ELÉCTRICA Y AFINES,NO INDICA,DESCONOCIDO,MASCULINO,SIN ETNIA REGISTRADA,183,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,38,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,SOLTERO,FEMENINO,NINGUNA,162,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,48,"ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES",ECONOMÍA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,30,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,SIN ETNIA REGISTRADA,173,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. FRANKFURT,ADULTO,42,NO INDICA,NO INDICA,POSTGRADO - MAESTRIA,CASADO,MASCULINO,NINGUNA,170,"(51.165691, 10.451526)",1
ALEMANIA,DEU,C. BERLIN,ADULTO JOVEN,22,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,OTRO,-1,"(51.165691, 10.451526)",2
