"pais","departamento","codigo_dane","municipio","cultivo","a_o","periodo","rea_sembrada_ha","rea_cosechada_ha","producci_n_t","rendimiento_t_ha","estado_fisico_produccion","ciclo_de_cultivo"
"COLOMBIA","CALDAS","17013","AGUADAS","CILANTRO","2020","2020A","10","10","113","113","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","REPOLLO","2020","2020A","3","3","263","263","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","TOMATE","2020","2020A","25","25","425","425","FRESCO","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","ARVEJA","2020","2020A","5","5","4","4","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","FRIJOL","2020","2020A","8","8","18","18","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","PAPA","2020","2020A","12","8","24","24","TUBERCULO FRESCO","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","MAÍZ","2020","2020B","8","8","49","49","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","CILANTRO","2020","2020B","2","2","113","113","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","REPOLLO","2020","2020B","3","3","263","263","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","TOMATE","2020","2020B","10","10","425","425","FRESCO","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","ARVEJA","2020","2020B","5","5","4","4","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","FRIJOL","2020","2020B","8","8","26","26","NO APLICA","TRANSITORIO"
"COLOMBIA","CALDAS","17013","AGUADAS","AGUACATE","2020","2020","387","377","1937","1937","FRESCO","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","AGUACATE","2020","2020","1202","587","4227","4227","FRESCO","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","AGUACATE","2020","2020","71","46","423","423","FRESCO","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","BANANO","2020","2020","280","280","2240","2240","FRESCO","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","CAFÉ","2020","2020","4062","3167","3869","3869","CAFÉ PERGAMINO SECO","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","CAÑA PANELERA","2020","2020","505","505","3030","3030","PANELA","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","CÍTRICOS","2020","2020","1583","1079","16401","16401","FRESCO","PERMANENTE"
"COLOMBIA","CALDAS","17013","AGUADAS","FIQUE","2020","2020","10","10","14","14","NO APLICA","PERMANENTE"
