"no","municipio","direcci_n","fecha_inicio_de_operaci_n"
"1","AGUADA","CASCO URBANO","2020-05-08T00:00:00.000"
"2","ALBANIA","CASCO URBANO","2020-05-06T00:00:00.000"
"3","ARATOCA","CASCO URBANO","2020-05-09T00:00:00.000"
"4","BARICHARA","CASCO URBANO","2020-05-07T00:00:00.000"
"5","BETULIA","CASCO URBANO","2020-05-05T00:00:00.000"
"6","BOLIVAR","CASCO URBANO","2020-05-05T00:00:00.000"
"7","CABRERA","CASCO URBANO","2020-05-07T00:00:00.000"
"8","CALIFORNIA","CASCO URBANO","2020-05-05T00:00:00.000"
"9","CAPITANEJO","CASCO URBANO","2020-05-13T00:00:00.000"
"10","CARCASI","CASCO URBANO","2020-05-14T00:00:00.000"
"11","CEPITA","CASCO URBANO","2020-05-09T00:00:00.000"
"12","CERRITO","CASCO URBANO","2020-05-12T00:00:00.000"
"13","CHARALA","CASCO URBANO","2020-05-07T00:00:00.000"
"14","CHARTA","CASCO URBANO","2020-05-05T00:00:00.000"
"15","CHIMA","CASCO URBANO","2020-05-06T00:00:00.000"
"16","CHIPATA","CASCO URBANO","2020-05-07T00:00:00.000"
"17","CONCEPCION","CASCO URBANO","2020-05-11T00:00:00.000"
"18","CONFINES","CASCO URBANO","2020-05-06T00:00:00.000"
"19","CONTRATACION","CASCO URBANO","2020-05-09T00:00:00.000"
"20","COROMORO","CASCO URBANO","2020-05-07T00:00:00.000"
"21","CURITI","CASCO URBANO","2020-05-29T00:00:00.000"
"22","EL CARMEN DE CHUCURI","CASCO URBANO","2020-04-30T00:00:00.000"
"23","EL CARMEN DE CHUCURI","CASCO URBANO","2020-05-31T00:00:00.000"
"24","EL GUACAMAYO","CASCO URBANO","2020-05-29T00:00:00.000"
"25","EL PEÑON","CASCO URBANO","2020-05-05T00:00:00.000"
"26","EL PLAYON","CASCO URBANO","2020-05-08T00:00:00.000"
"27","ENCINO","CASCO URBANO","2020-05-07T00:00:00.000"
"28","ENCISO","CASCO URBANO","2020-05-12T00:00:00.000"
"29","FLORIAN","CASCO URBANO","2020-05-06T00:00:00.000"
"30","GALAN","CASCO URBANO","2020-05-03T00:00:00.000"
"31","GAMBITA","CASCO URBANO","2020-05-08T00:00:00.000"
"32","GUACA","CASCO URBANO","2020-05-11T00:00:00.000"
"33","GUADALUPE","CASCO URBANO","2020-05-09T00:00:00.000"
"34","GUAPOTA","CASCO URBANO","2020-05-06T00:00:00.000"
"35","GUAVATA","CASCO URBANO","2020-05-07T00:00:00.000"
"36","GÜEPSA","CASCO URBANO","2020-05-05T00:00:00.000"
"37","HATO","CASCO URBANO","2020-05-03T00:00:00.000"
"38","JESUS MARIA","CASCO URBANO","2020-05-05T00:00:00.000"
"39","JORDAN","CASCO URBANO","2020-05-09T00:00:00.000"
"40","LA BELLEZA","CASCO URBANO","2020-05-22T00:00:00.000"
"41","LA PAZ","CASCO URBANO","2020-05-08T00:00:00.000"
"42","LANDAZURI","CASCO URBANO","2020-04-29T00:00:00.000"
"43","LOS SANTOS","CASCO URBANO","2020-05-20T00:00:00.000"
"44","MACARAVITA","CASCO URBANO","2020-05-13T00:00:00.000"
"45","MATANZA","CASCO URBANO","2020-05-05T00:00:00.000"
"46","MOGOTES","CASCO URBANO","2020-05-08T00:00:00.000"
"47","MOLAGAVITA","CASCO URBANO","2020-05-12T00:00:00.000"
"48","OCAMONTE","CASCO URBANO","2020-05-21T00:00:00.000"
"49","OIBA","CASCO URBANO","2020-05-08T00:00:00.000"
"50","ONZAGA","CASCO URBANO","2020-05-08T00:00:00.000"
"51","PALMAR","CASCO URBANO","2020-05-03T00:00:00.000"
"52","PALMAS DEL SOCORRO","CASCO URBANO","2020-05-04T00:00:00.000"
"53","PARAMO","CASCO URBANO","2020-05-07T00:00:00.000"
"54","PUENTE NACIONAL","CASCO URBANO","2020-05-06T00:00:00.000"
"55","PUERTO PARRA","CASCO URBANO","2020-04-29T00:00:00.000"
"56","RIONEGRO","CASCO URBANO","2020-05-22T00:00:00.000"
"57","RIONEGRO","CASCO URBANO","2020-05-22T00:00:00.000"
"58","SAN ANDRES","CASCO URBANO","2020-05-20T00:00:00.000"
"59","SAN BENITO","CASCO URBANO","2020-05-08T00:00:00.000"
"60","SAN JOAQUIN","CASCO URBANO","2020-05-20T00:00:00.000"
"61","SAN JOSE DE MIRANDA","CASCO URBANO","2020-05-19T00:00:00.000"
"62","SAN MIGUEL","CASCO URBANO","2020-05-19T00:00:00.000"
"63","SANTA BARBARA","CASCO URBANO","2020-05-11T00:00:00.000"
"64","SANTA HELENA DEL OPON","CASCO URBANO","2020-05-30T00:00:00.000"
"65","SIMACOTA","CASCO URBANO","2020-05-21T00:00:00.000"
"66","SUAITA","CASCO URBANO","2020-05-08T00:00:00.000"
"67","SUCRE","CASCO URBANO","2020-05-07T00:00:00.000"
"68","SURATA","CASCO URBANO","2020-05-22T00:00:00.000"
"69","TONA","CASCO URBANO","2020-05-04T00:00:00.000"
"70","VALLE DE SAN JOSE","CASCO URBANO","2020-05-04T00:00:00.000"
"71","VETAS","CASCO URBANO","2020-05-08T00:00:00.000"
"72","VILLANUEVA","CASCO URBANO","2020-05-07T00:00:00.000"
"73","ZAPATOCA","CASCO URBANO","2020-05-05T00:00:00.000"
