"noid","codigo_departamento","nombre_departamento","codigo_municipio","nombre_municipio","zona_postal","codigo_postal","limite_norte","limite_sur","limite_este","limite_oeste","tipo","barrios_contenidos_en_el","veredas_contenidas_en_el"
"877","15","BOYACA","15621","RONDON","1.534","153.42","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.765","25","CUNDINAMARCA","25592","QUEBRADANEGRA","2.534","253.427","MUNICIPIO UTICA","MUNICIPIO VILLETA","MUNICIPIO NIMAIMA","MUNICIPIO GUADUAS","Rural","Sin Informacion de Barrios","Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro"
"228","5","ANTIOQUIA","5002","ABEJORRAL","550","55.03","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Alto de Letras"
"3.54","88","ARCHIPIELAGO DE SAN ANDRES","88001","SAN ANDRES","8.8","880.007","LIMITE URBANO","SAN LUIS","MAR CARIBE","MAR CARIBE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.963","41","HUILA","41013","AGRADO","4.14","414.04","LIMITE URBANO","LIMITE URBANO","KR 1","KR 11","Urbano","Sin Informacion de Barrios","Bajo Buena Vista- Cabecera Municipal-  La Galda"
"3.094","73","TOLIMA","73001","IBAGUE","7.3","730.002","LIMITE URBANO","KR 5","CL 70","CL 60 Y LIMITE URBANO","Urbano","Sin Informacion de Barrios","Bellavista- El Triunfo-  La Pedreguera"
"1.326","20","CESAR","20001","VALLEDUPAR","2","200.009","MUNICIPIO SAN J. DEL CESAR","RIO AZUCAR BUENO","M. VILLANUE.- LA J. DEL PI. Y SAN D.","VIA BOSC.-VALLED.-SAN J. DEL C.","Rural","Sin Informacion de Barrios","EL ENEAL- LOS SANJONES-  SAN JERONIMO"
"67","5","ANTIOQUIA","5264","ENTRERRIOS","514","51.43","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","CL 14","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"589","13","BOLIVAR","13442","MARIA LA BAJA","1.31","131.077","MUNICIPIO ARJONA","MUNICIPIO SAN ONOFRE","VIA PUEBLO NUEVO-CORREA","MUNICIPIO SAN ONOFRE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"286","5","ANTIOQUIA","5145","CARAMANTA","560","56.04","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
