departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CALDAS,17,SAMANÁ,17662,Rural,Veredal La Cumbre,2009,6,Menor de 18 años,No,Civil,Muerto,Masculino,5.493854,-74.975364,En cerca a edificio residencial,"(5.493854, -74.975364)",Jugando
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2005,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2007,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.653056,-75.036389,Sin informacion,"(5.653056, -75.036389)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2007,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.653056,-75.036389,Sin informacion,"(5.653056, -75.036389)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2002,9,Menor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2002,9,Menor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2002,9,Menor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
CALDAS,17,SAMANÁ,17662,Rural,Vereda Viboral,2006,10,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.443056,-75.0725,Sin informacion,"(5.443056, -75.0725)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sector Buena Vista,2004,2,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.578889,-75.091944,Sin informacion,"(5.578889, -75.091944)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Patio Bonito,2007,9,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.650556,-74.970556,Sin informacion,"(5.650556, -74.970556)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Patio Bonito,2007,9,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.650556,-74.970556,Sin informacion,"(5.650556, -74.970556)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Yarumal,2005,11,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.436667,-75.048889,Sin informacion,"(5.436667, -75.048889)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Guacamayal,2005,12,Mayor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Manipulación
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2002,4,Mayor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Sin Información
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2002,4,Menor de 18 años,No,Civil,Herido,Femenino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Sin Información
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2004,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Florencia,2007,12,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sitio Cuchilla San Roque,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.698333,-74.943333,Sin informacion,"(5.698333, -74.943333)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sitio Cuchilla San Roque,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.698333,-74.943333,Sin informacion,"(5.698333, -74.943333)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sector Cuchilla Villalobos,2007,4,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sector Cuchilla Villalobos,2007,4,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sector Cuchilla Villalobos,2007,4,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2003,1,Mayor de 18 años,No,Civil,Muerto,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Sin Información
CALDAS,17,SAMANÁ,17662,Rural,Vereda Yarumal,2006,2,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2003,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Alto La Dorada,2008,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.657778,-75.041389,Sin informacion,"(5.657778, -75.041389)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda La Reina,2003,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda La Reina,2003,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Guacamayal,2004,11,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411667,-75.063056,Sin informacion,"(5.411667, -75.063056)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Guacamayal,2004,11,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.411667,-75.063056,Sin informacion,"(5.411667, -75.063056)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Yarumal,2006,10,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.426667,-75.050556,Sin informacion,"(5.426667, -75.050556)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Gaviota,2005,5,Mayor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
CALDAS,17,SAMANÁ,17662,Rural,Vereda Gaviota,2005,5,Mayor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
CALDAS,17,SAMANÁ,17662,Rural,Vereda La Tulia,2002,10,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)",Fuerza pública
CALDAS,17,SAMANÁ,17662,Rural,Vereda Rio Claro,2005,7,Mayor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
CALDAS,17,SAMANÁ,17662,Rural,Sin información,2003,3,Menor de 18 años,No,Civil,Herido,Masculino,5.411801,-74.989572,Sin informacion,"(5.411801, -74.989572)","Pasando, estando cerca"
