"month","labor_force","employment","unemployment","unemployment_rate"
"2010-01-01T00:00:00.000","26383","22588","3795","14.4"
"2010-02-01T00:00:00.000","26738","22987","3751","14"
"2010-03-01T00:00:00.000","26786","23076","3710","13.9"
"2010-04-01T00:00:00.000","26754","23128","3626","13.6"
"2010-05-01T00:00:00.000","26741","23219","3522","13.2"
"2010-06-01T00:00:00.000","26708","23222","3486","13.1"
"2010-07-01T00:00:00.000","27004","23457","3547","13.1"
"2010-08-01T00:00:00.000","26777","23287","3490","13"
"2010-09-01T00:00:00.000","26623","23108","3515","13.2"
"2010-10-01T00:00:00.000","26590","23120","3470","13.1"
"2010-11-01T00:00:00.000","26576","22965","3611","13.6"
"2010-12-01T00:00:00.000","26722","23041","3681","13.8"
"2011-01-01T00:00:00.000","26661","22698","3963","14.9"
"2011-02-01T00:00:00.000","26854","23040","3814","14.2"
"2011-03-01T00:00:00.000","26827","23067","3760","14"
"2011-04-01T00:00:00.000","26617","23003","3614","13.6"
"2011-05-01T00:00:00.000","26615","23185","3430","12.9"
"2011-06-01T00:00:00.000","26727","23309","3418","12.8"
"2011-07-01T00:00:00.000","26863","23447","3416","12.7"
"2011-08-01T00:00:00.000","26595","23223","3372","12.7"
"2011-09-01T00:00:00.000","26266","22928","3338","12.7"
"2011-10-01T00:00:00.000","25998","22718","3280","12.6"
"2011-11-01T00:00:00.000","26085","22758","3327","12.8"
"2011-12-01T00:00:00.000","26048","22716","3332","12.8"
"2012-01-01T00:00:00.000","25957","22477","3480","13.4"
"2012-02-01T00:00:00.000","26232","22819","3413","13"
"2012-03-01T00:00:00.000","26017","22699","3318","12.8"
"2012-04-01T00:00:00.000","25934","22729","3205","12.4"
"2012-05-01T00:00:00.000","25947","22928","3019","11.6"
"2012-06-01T00:00:00.000","26042","23008","3034","11.7"
"2012-07-01T00:00:00.000","26299","23317","2982","11.3"
"2012-08-01T00:00:00.000","26109","23242","2867","11"
"2012-09-01T00:00:00.000","25878","23071","2807","10.8"
"2012-10-01T00:00:00.000","25613","22875","2738","10.7"
"2012-11-01T00:00:00.000","25623","22837","2786","10.9"
"2012-12-01T00:00:00.000","25673","22802","2871","11.2"
"2013-01-01T00:00:00.000","25471","22320","3151","12.4"
"2013-02-01T00:00:00.000","25833","22821","3012","11.7"
"2013-03-01T00:00:00.000","25689","22805","2884","11.2"
"2013-04-01T00:00:00.000","25453","22717","2736","10.7"
"2013-05-01T00:00:00.000","25542","22930","2612","10.199999999999999"
"2013-06-01T00:00:00.000","25763","23106","2657","10.3"
"2013-07-01T00:00:00.000","25730","23152","2578","10"
"2013-08-01T00:00:00.000","25544","23051","2493","9.8000000000000007"
"2013-09-01T00:00:00.000","25274","22832","2442","9.6999999999999993"
"2013-10-01T00:00:00.000","25022","22667","2355","9.4"
"2013-11-01T00:00:00.000","25131","22766","2365","9.4"
"2013-12-01T00:00:00.000","25128","22765","2363","9.4"
"2014-01-01T00:00:00.000","25176","22560","2616","10.4"
"2014-02-01T00:00:00.000","25322","22781","2541","10"
"2014-03-01T00:00:00.000","25309","22857","2452","9.6999999999999993"
"2014-04-01T00:00:00.000","25091","22830","2261","9"
"2014-05-01T00:00:00.000","25058","22941","2117","8.4"
"2014-06-01T00:00:00.000","25154","23027","2127","8.5"
"2014-07-01T00:00:00.000","25343","23263","2080","8.1999999999999993"
"2014-08-01T00:00:00.000","25201","23169","2032","8.1"
"2014-09-01T00:00:00.000","25015","23030","1985","7.9"
"2014-10-01T00:00:00.000","24949","23021","1928","7.7"
"2014-11-01T00:00:00.000","24909","22963","1946","7.8"
"2014-12-01T00:00:00.000","24866","22897","1969","7.9"
"2015-01-01T00:00:00.000","25193","23058","2135","8.5"
"2015-02-01T00:00:00.000","25243","23171","2072","8.1999999999999993"
"2015-03-01T00:00:00.000","25036","23135","1901","7.6"
"2015-04-01T00:00:00.000","25156","23276","1880","7.5"
"2015-05-01T00:00:00.000","25110","23356","1754","7"
"2015-06-01T00:00:00.000","25500","23659","1841","7.2"
"2015-07-01T00:00:00.000","25493","23653","1840","7.2"
"2015-08-01T00:00:00.000","25052","23298","1754","7"
"2015-09-01T00:00:00.000","25046","23347","1699","6.8"
"2015-10-01T00:00:00.000","24799","23155","1644","6.6"
"2015-11-01T00:00:00.000","24784","23121","1663","6.7"
"2015-12-01T00:00:00.000","24821","23154","1667","6.7"
"2016-01-01T00:00:00.000","24582","22687","1895","7.7"
"2016-02-01T00:00:00.000","24773","23121","1652","6.7"
"2016-03-01T00:00:00.000","24875","23177","1698","6.8"
"2016-04-01T00:00:00.000","24840","23171","1669","6.7"
"2016-05-01T00:00:00.000","24925","23283","1642","6.6"
"2016-06-01T00:00:00.000","25086","23343","1743","6.9"
"2016-07-01T00:00:00.000","25200","23578","1622","6.4"
"2016-08-01T00:00:00.000","24822","23333","1489","6"
"2016-09-01T00:00:00.000","24669","23294","1375",
"2017-02-01T00:00:00.000",,,,
"2016-11-01T00:00:00.000","24570","23273","1297","5.3"
"2016-12-01T00:00:00.000","24430","23129","1301","5.3"
"2016-10-01T00:00:00.000","24547","23202","1345","5.5"
"2017-01-01T00:00:00.000","24606","23146","1460",
