"monthyear","total_separations","running_total_separation","resignation","retirement","termination","other","average","lci","uci","goal","year","month","monthnum","resignationytd","resignation_average","retirementytd","retirementaverage"
"2013-01-01T00:00:00.000","7","7","3","4","0","0","15","9.15826041","20.84173959","11.51919866","2013","January","1","3","8.6","4","6.4"
"2013-02-01T00:00:00.000","9","16","3","3","2","1","25","20.77642925","29.22357075","19.19866444","2013","February","2","6","13.2","7","10.8"
"2013-03-01T00:00:00.000","11","27","9","2","0","0","36","31.58639457","40.41360543","27.64607679","2013","March","3","15","19.4","9","15.6"
"2013-04-01T00:00:00.000","11","38","3","7","1","0","48.2","45.149251","51.250749","37.01502504","2013","April","4","18","24","16","23"
"2013-05-01T00:00:00.000","10","48","4","2","4","0","58.8","55.65607696","61.94392304","45.15525876","2013","May","5","22","29.6","18","26.6"
"2013-06-01T00:00:00.000","8","56","3","5","0","0","74.4","66.40368771","82.39631229","57.13522538","2013","June","6","25","37.6","23","33.8"
"2013-07-01T00:00:00.000","11","67","5","6","0","0","88.8","84.47515044","93.12484956","68.19365609","2013","July","7","30","42.4","29","43.2"
"2013-08-01T00:00:00.000","9","76","7","2","0","0","101.6","94.99186325","108.2081368","78.02337229","2013","August","8","37","50","31","48.2"
"2013-09-01T00:00:00.000","8","84","5","2","1","0","112.75","109.8773866","115.6226134","86.58597663","2013","September","9","42","55.4","33","51.4"
"2013-10-01T00:00:00.000","10","94","5","4","1","0","128.75","122.1040992","135.3959008","98.87312187","2013","October","10","47","63.8","37","57.8"
"2013-11-01T00:00:00.000","8","102","6","2","0","0","135.5","134.1486148","136.8513852","104.0567613","2013","November","11","53","67.4","39","60.2"
"2013-12-01T00:00:00.000","12","114","6","5","1","0","149.75","143.7513562","155.7486438","115","2013","December","12","59","72.2","44","69.2"
"2014-01-01T00:00:00.000","11","11","6","5","0","0","15","9.15826041","20.84173959","11.51919866","2014","January","1","6","8.6","5","6.4"
"2014-02-01T00:00:00.000","3","14","0","3","0","0","25","20.77642925","29.22357075","19.19866444","2014","February","2","6","13.2","8","10.8"
"2014-03-01T00:00:00.000","4","18","3","1","0","0","36","31.58639457","40.41360543","27.64607679","2014","March","3","9","19.4","9","15.6"
"2014-04-01T00:00:00.000","8","26","7","1","0","0","48.2","45.149251","51.250749","37.01502504","2014","April","4","16","24","10","23"
"2014-05-01T00:00:00.000","5","31","2","3","0","0","58.8","55.65607696","61.94392304","45.15525876","2014","May","5","18","29.6","13","26.6"
"2014-06-01T00:00:00.000","35","66","13","21","1","0","74.4","66.40368771","82.39631229","57.13522538","2014","June","6","31","37.6","34","33.8"
"2014-07-01T00:00:00.000","13","79","6","7","0","0","88.8","84.47515044","93.12484956","68.19365609","2014","July","7","37","42.4","41","43.2"
"2014-08-01T00:00:00.000","29","108","13","16","0","0","101.6","94.99186325","108.2081368","78.02337229","2014","August","8","50","50","57","48.2"
"2014-09-01T00:00:00.000","6","114","5","1","0","0","112.75","109.8773866","115.6226134","86.58597663","2014","September","9","55","55.4","58","51.4"
"2014-10-01T00:00:00.000","25","139","14","11","0","0","128.75","122.1040992","135.3959008","98.87312187","2014","October","10","69","63.8","69","57.8"
"2014-11-01T00:00:00.000","7","146","4","3","0","0","135.5","134.1486148","136.8513852","104.0567613","2014","November","11","73","67.4","72","60.2"
