"date_approved","company_name","projected_investment","entity","incentive_type","edge_loangrant_amount","dev_loan_approval","dev_loan_amount","storefront_grant_approval","storefront_grant_amount","retail_forgivable_loan_approval","retail_forgivable_loan_amount","office_grant_approval","office_grant_amount","other_grant_approval","other_grant_amount","location_1_zip","location_1_city","location_1_state","location_1_address","location_1"
"2010-01-20T00:00:00.000","Memphis College of Art Graduate School","2980000","DMC","Development Loan, Storefront Grant, Forgivable Loan, Other Grant",,"2010-01-20T00:00:00.000","180000","2010-01-20T00:00:00.000","30000","2010-01-20T00:00:00.000","40000",,,"2010-01-20T00:00:00.000","200000",,"Memphis","TN","477 S MAIN ST","POINT (-90.058942 35.134346)"
"2010-03-03T00:00:00.000","Automatic Slim's","50100","DMC","Forgivable Loan",,,,,,"2010-03-03T00:00:00.000","30000",,,,,,"Memphis","TN","83 S 2ND ST","POINT (-90.052422 35.142669)"
"2010-03-17T00:00:00.000","City Market","275073","DMC","Storefront Grant, Forgivable Loan",,,,"2010-03-17T00:00:00.000","21793.5","2010-02-17T00:00:00.000","40000",,,,,,"Memphis","TN","66 S MAIN ST","POINT (-90.053549 35.143401)"
"2010-03-17T00:00:00.000","Christine by Shelton Clothiers","120000","DMC","Forgivable Loan",,,,,,"2010-03-17T00:00:00.000","40000",,,,,,"Memphis","TN","123 S MAIN ST","POINT (-90.054166 35.141851)"
"2010-04-13T00:00:00.000","Carlisle Offices","2731750","DMC","PILOT",,,,,,,,,,,,"38103","Memphis","TN","263 WAGNER PL","POINT (-90.058014 35.139697)"
"2010-04-13T00:00:00.000","Cabinet Shop Lofts","2525000","DMC","PILOT",,,,,,,,,,,,"38103","Memphis","TN","436 S FRONT ST","POINT (-90.060097 35.135465)"
"2010-04-21T00:00:00.000","77 South Main (2010)","1660000","DMC","Development Loan",,"2010-04-21T00:00:00.000","200000",,,,,,,,,,"Memphis","TN","77 S MAIN ST","POINT (-90.053673 35.143078)"
"2010-04-21T00:00:00.000","Sache Design","142870","DMC","Storefront Grant, Forgivable Loan",,,,"2010-04-21T00:00:00.000","7350","2010-04-21T00:00:00.000","40000",,,,,,"Memphis","TN","525 S MAIN ST","POINT (-90.058992 35.133077)"
"2010-05-19T00:00:00.000","Memphis College Preparatory Elementary School","778925","DMC","Development Loan",,"2010-05-19T00:00:00.000","200000",,,,,,,,,,"Memphis","TN","278 GREENLAW AVE","POINT (-90.040962 35.158536)"
"2010-09-15T00:00:00.000","Brass Door","395000","DMC","Storefront Grant, Forgivable Loan",,,,"2010-09-15T00:00:00.000","30000","2010-09-15T00:00:00.000","40000",,,,,,"Memphis","TN","152 MADISON AVE","POINT (-90.051013 35.144727)"
