"month","monthyear","reported","closed","outstanding","commercial_reported","commercial_closed","commercial_outstanding","total_reported","total_closed","total_outstanding"
"2020-10-01T00:00:00.000","October 2020","1777","2096","6382","317","315","1155","2094","2411","7537"
"2020-03-01T00:00:00.000","March 2020","1508","2978","5048","163","305","1027","1671","3283","6075"
"2019-10-01T00:00:00.000","October 2019","1936","2546","8291","335","359","1429","2271","2905","9720"
"2020-07-01T00:00:00.000","July 2020","2530","2073","6032","807","773","1204","3337","2846","7236"
"2019-03-01T00:00:00.000","March 2019","1618","1889","6782","230","199","1352","1848","2088","8134"
"2021-04-01T00:00:00.000","April 2021","2737","1794","7036","384","298","1230","3121","2092","8266"
"2018-02-01T00:00:00.000","February 2018","1524","1513","6368","204","170","1215","1728","1683","7583"
"2019-06-01T00:00:00.000","June 2019","2245","3329","6868","230","385","1329","2475","3714","8197"
"2019-07-01T00:00:00.000","July 2019","2962","1954","7876","296","228","1397","3258","2182","9273"
"2017-04-01T00:00:00.000","April 2017","2213","1829","8358","262","228","1333","2475","2057","9691"
"2021-05-01T00:00:00.000","May 2021","2975","2257","7754","320","301","1249","3295","2558","9003"
"2021-10-01T00:00:00.000","October 2021","1897","2314","7026","213","241","1233","2110","2555","8259"
"2021-12-01T00:00:00.000","December 2021","1215","1587","6457","145","172","1186","1360","1759","7643"
"2018-11-01T00:00:00.000","November 2018","1121","1520","7427","141","178","1404","1262","1698","8831"
"2022-01-01T00:00:00.000","January 2022","1520","1562","6415","146","163","1169","1666","1725","7584"
"2021-11-01T00:00:00.000","November 2021","1537","1734","6829","174","194","1213","1711","1928","8042"
"2017-03-01T00:00:00.000","March 2017","2380","2404","7974","241","294","1299","2621","2698","9273"
"2019-12-01T00:00:00.000","December 2019","1109","1076","8044","155","147","1408","1264","1223","9452"
"2005-11-01T00:00:00.000","November 2005","1","0","11","0","0","0","1","0","11"
"2020-08-01T00:00:00.000","August 2020","2534","2301","6265","579","632","1151","3113","2933","7416"
"2021-08-01T00:00:00.000","August 2021","2794","2398","7781","280","270","1266","3074","2668","9047"
"2020-11-01T00:00:00.000","November 2020","1618","2122","5878","253","283","1125","1871","2405","7003"
"2021-03-01T00:00:00.000","March 2021","2377","1771","6093","370","301","1144","2747","2072","7237"
"2019-01-01T00:00:00.000","January 2019","1599","1609","6451","153","189","1262","1752","1798","7713"
"2018-09-01T00:00:00.000","September 2018","2435","1870","8157","302","198","1494","2737","2068","9651"
"2018-04-01T00:00:00.000","April 2018","1971","2083","6109","249","270","1165","2220","2353","7274"
"2004-11-01T00:00:00.000","November 2004","1","0","10","0","0","0","1","0","10"
"2021-02-01T00:00:00.000","February 2021","1675","1455","5487","243","264","1075","1918","1719","6562"
"2019-02-01T00:00:00.000","February 2019","1969","1367","7053","201","142","1321","2170","1509","8374"
"2022-06-01T00:00:00.000","June 2022","2600","2354","8485","284","280","1328","2884","2634","9813"
"2019-11-01T00:00:00.000","November 2019","1313","1593","8011","179","208","1400","1492","1801","9411"
"2017-11-01T00:00:00.000","November 2017","1049","1767","7374","151","268","1287","1200","2035","8661"
