"year","reserve","budget","reserve_percentage","date","goal"
"2009","80912000","597399000","13.50%","2009-06-30T00:00:00.000","110000000"
"2010","76271000","628554000","12.10%","2010-06-30T00:00:00.000","110000000"
"2011","81125000","662275000","12.20%","2011-06-30T00:00:00.000","110000000"
"2012","61667000","643782000","9.60%","2012-06-30T00:00:00.000","110000000"
"2013","56149000","641272000","8.80%","2013-06-30T00:00:00.000","110000000"
"2014","82230000","601595000","13.70%","2014-06-30T00:00:00.000","110000000"
"2015","91990000","616716000","14.90%","2015-06-30T00:00:00.000","110000000"
"2016","94674000","639234000","14.80%","2016-06-30T00:00:00.000","110000000"
"2017","95343000","662997000","14.50%","2017-06-30T00:00:00.000","110000000"
"2018","98283000","712632000","13.80%","2018-06-30T00:00:00.000","110000000"
"2019","91541000","723632000","12.65%","2019-06-30T00:00:00.000","110000000"
"2020","79047000","742824000","10.64%","2020-06-30T00:00:00.000","110000000"
