"date","category","overallcount","behaviour","euth_req","medical","space_behavior","time_space","month","month_no","year","rowid"
"2016-01-01T00:00:00.000","CAT","20","10","7","1",,"2","January","1","2016","201601_CAT"
"2016-01-01T00:00:00.000","DOG","165","56","29","10",,"70","January","1","2016","201601_DOG"
"2016-01-01T00:00:00.000","OTHER","0","0","0","0",,"0","January","1","2016","201601_OTHER"
"2016-01-01T00:00:00.000","TOTAL","185","66","36","11",,"72","January","1","2016","201601_TOTAL"
"2016-02-01T00:00:00.000","CAT","31","18","4","3",,"6","February","2","2016","201602_CAT"
"2016-02-01T00:00:00.000","DOG","132","42","26","9",,"55","February","2","2016","201602_DOG"
"2016-02-01T00:00:00.000","OTHER","3","3","0","0",,"0","February","2","2016","201602_OTHER"
"2016-02-01T00:00:00.000","TOTAL","166","63","30","12",,"61","February","2","2016","201602_TOTAL"
"2016-03-01T00:00:00.000","CAT","23","13","2","3",,"5","March","3","2016","201603_CAT"
"2016-03-01T00:00:00.000","DOG","182","56","39","6",,"81","March","3","2016","201603_DOG"
"2016-03-01T00:00:00.000","OTHER","2","2","0","0",,"0","March","3","2016","201603_OTHER"
"2016-03-01T00:00:00.000","TOTAL","207","71","41","9",,"86","March","3","2016","201603_TOTAL"
"2016-04-01T00:00:00.000","CAT","37","24","4","4",,"5","April","4","2016","201604_CAT"
"2016-04-01T00:00:00.000","DOG","170","48","25","16",,"81","April","4","2016","201604_DOG"
"2016-04-01T00:00:00.000","OTHER","3","2","0","0",,"1","April","4","2016","201604_OTHER"
"2016-04-01T00:00:00.000","TOTAL","210","74","29","20",,"87","April","4","2016","201604_TOTAL"
"2016-05-01T00:00:00.000","CAT","73","38","12","9",,"14","May","5","2016","201605_CAT"
"2016-05-01T00:00:00.000","DOG","146","45","24","9",,"68","May","5","2016","201605_DOG"
"2016-05-01T00:00:00.000","OTHER","1","1","0","0",,"0","May","5","2016","201605_OTHER"
"2016-05-01T00:00:00.000","TOTAL","220","84","36","18",,"82","May","5","2016","201605_TOTAL"
"2016-06-01T00:00:00.000","CAT","74","28","9","6",,"31","June","6","2016","201606_CAT"
"2016-06-01T00:00:00.000","DOG","216","44","20","11",,"141","June","6","2016","201606_DOG"
"2016-06-01T00:00:00.000","OTHER","1","1","0","0",,"0","June","6","2016","201606_OTHER"
"2016-06-01T00:00:00.000","TOTAL","291","73","29","17",,"172","June","6","2016","201606_TOTAL"
"2016-07-01T00:00:00.000","CAT","167","69","11","14",,"73","July","7","2016","201607_CAT"
"2016-07-01T00:00:00.000","DOG","213","35","35","25",,"118","July","7","2016","201607_DOG"
"2016-07-01T00:00:00.000","OTHER","6","6","0","0",,"0","July","7","2016","201607_OTHER"
"2016-07-01T00:00:00.000","TOTAL","386","110","46","39",,"191","July","7","2016","201607_TOTAL"
"2016-08-01T00:00:00.000","CAT","108","47","2","11",,"48","August","8","2016","201608_CAT"
"2016-08-01T00:00:00.000","DOG","163","43","19","23",,"78","August","8","2016","201608_DOG"
"2016-08-01T00:00:00.000","OTHER","1","1","0","0",,"0","August","8","2016","201608_OTHER"
"2016-08-01T00:00:00.000","TOTAL","272","91","21","34",,"126","August","8","2016","201608_TOTAL"
"2016-09-01T00:00:00.000","CAT","70","33","4","12",,"21","September","9","2016","201609_CAT"
"2016-09-01T00:00:00.000","DOG","143","29","16","15",,"83","September","9","2016","201609_DOG"
