"date","age","sport","participants","fiscal_year","month_order","month"
"2015-01-01T00:00:00.000","Adult","Basketball","320","2015","7","January"
"2015-01-01T00:00:00.000","Youth","Basketball","3400","2015","7","January"
"2015-01-01T00:00:00.000","Youth","Golf","41","2015","7","January"
"2015-01-01T00:00:00.000","Youth","Swim","961","2015","7","January"
"2015-02-01T00:00:00.000","Adult","Basketball","240","2015","8","February"
"2015-02-01T00:00:00.000","Youth","Basketball","3336","2015","8","February"
"2015-02-01T00:00:00.000","Youth","Golf","46","2015","8","February"
"2015-02-01T00:00:00.000","Youth","Swim","862","2015","8","February"
"2015-03-01T00:00:00.000","Adult","Basketball","100","2015","9","March"
"2015-03-01T00:00:00.000","Adult","Soccer","600","2015","9","March"
"2015-03-01T00:00:00.000","Youth","Basketball","4248","2015","9","March"
"2015-03-01T00:00:00.000","Youth","Golf","168","2015","9","March"
"2015-03-01T00:00:00.000","Youth","Swim","2209","2015","9","March"
"2015-04-01T00:00:00.000","Adult","Soccer","400","2015","10","April"
"2015-04-01T00:00:00.000","Adult","Softball/Kickball","5400","2015","10","April"
"2015-04-01T00:00:00.000","Youth","Baseball","127","2015","10","April"
"2015-04-01T00:00:00.000","Youth","Golf","205","2015","10","April"
"2015-04-01T00:00:00.000","Youth","Soccer","414","2015","10","April"
"2015-04-01T00:00:00.000","Youth","Swim","2770","2015","10","April"
"2015-05-01T00:00:00.000","Adult","Basketball","60","2015","11","May"
"2015-05-01T00:00:00.000","Adult","Soccer","2760","2015","11","May"
"2015-05-01T00:00:00.000","Adult","Softball/Kickball","3168","2015","11","May"
"2015-05-01T00:00:00.000","Youth","Baseball","420","2015","11","May"
"2015-05-01T00:00:00.000","Youth","Golf","344","2015","11","May"
"2015-05-01T00:00:00.000","Youth","Soccer","810","2015","11","May"
"2015-05-01T00:00:00.000","Youth","Swim","3077","2015","11","May"
"2015-06-01T00:00:00.000","Adult","Basketball","270","2015","12","June"
"2015-06-01T00:00:00.000","Adult","Soccer","968","2015","12","June"
"2015-06-01T00:00:00.000","Adult","Softball/Kickball","6840","2015","12","June"
"2015-06-01T00:00:00.000","Youth","Baseball","2250","2015","12","June"
"2015-06-01T00:00:00.000","Youth","Basketball","432","2015","12","June"
"2015-06-01T00:00:00.000","Youth","Golf","460","2015","12","June"
"2015-06-01T00:00:00.000","Youth","Soccer","270","2015","12","June"
"2015-06-01T00:00:00.000","Youth","Summer Camp","2845","2015","12","June"
"2015-06-01T00:00:00.000","Youth","Swim","21141","2015","12","June"
"2015-07-01T00:00:00.000","Youth","Golf","892","2016","1","July"
"2015-08-01T00:00:00.000","Youth","Golf","641","2016","2","August"
"2015-09-01T00:00:00.000","Youth","Golf","387","2016","3","September"
"2015-10-01T00:00:00.000","Youth","Golf","215","2016","4","October"
"2015-11-01T00:00:00.000","Youth","Golf","78","2016","5","November"
