"employer_name","fiscal_year","coverage_type","benefit_formula","final_compensation_offset","final_compensation_period","cola","pre_retierment_option_2","sick_leave_credit","post_retirement_survivor_allowance","ordinary_disability_increase","_1959_survivor_benefit","member","employer","employer_code","coverage_group"
"State And Federal Contractors Water Agency","2020","Misc","2% @ 55",,"1","2","Y","Y","Y",,"8","7","0","1000005478","108339"
"State And Federal Contractors Water Agency","2020","Misc","2% @ 62",,"3","2","Y","Y","Y",,"8","7.25","0","1000005478","111954"
"Herlong Public Utility District","2020","Misc","2.5% @ 55",,"3","2","Y","Y",,,"4","8","11.59","1000005829","100318"
"Herlong Public Utility District","2020","Misc","2% @ 62",,"3","2","Y","Y",,,"4","6.75","7.59","1000005829","113902"
"Grover Beach, City of","2020","Police","3% @ 55","Y","1","2","Y","Y",,,"0","9","21.79","1000223333","100327"
"Grover Beach, City of","2020","Fire","2% @ 55",,"1","2","Y","Y",,,"0","7","0","1000223333","217031"
"Grover Beach, City of","2020","Police","1/2 @ 55","Y","3","2",,,,,"0",,"21.79","1000223333","217033"
"Grover Beach, City of","2020","Misc","2% @ 60","Y","3","2",,,,,"0","8","12.2","1000223333","205797"
"Grover Beach, City of","2020","Police","2% @ 50","Y","3","2",,,,,"0","9","21.79","1000223333","217037"
"Grover Beach, City of","2020","Police","2.7% @ 57",,"3","2","Y","Y",,,"0","13","13.13","1000223333","109922"
"Grover Beach, City of","2020","Fire","1/2 @ 55","Y","1","2","Y","Y",,,"0",,"0","1000223333","100325"
"Grover Beach, City of","2020","Misc","2% @ 55",,"1","2","Y","Y",,,"0","8","12.2","1000223333","100321"
"Grover Beach, City of","2020","Misc","2% @ 60",,"3","2",,,,,"0","8","12.2","1000223333","205795"
"Grover Beach, City of","2020","Fire","2% @ 55","Y","1","2","Y","Y",,,"0","7","0","1000223333","114331"
"Grover Beach, City of","2020","Misc","2.5% @ 55","Y","1","2","Y","Y",,,"0","8","12.2","1000223333","100322"
"Grover Beach, City of","2020","Misc","2% @ 55","Y","1","2","Y","Y",,,"0","8","12.2","1000223333","100320"
"Grover Beach, City of","2020","Misc","2% @ 55","Y","1","2","Y","Y",,,"0","8","12.2","1000223333","205794"
"Grover Beach, City of","2020","Police","2% @ 50","Y","1","2","Y","Y",,,"0","9","21.79","1000223333","217035"
"Grover Beach, City of","2020","Misc","2% @ 62",,"3","2","Y","Y",,,"0","6.75","7.59","1000223333","111955"
"Grover Beach, City of","2020","Fire","2% @ 55","Y","1","2","Y","Y",,,"0","7","0","1000223333","100324"
"Compton, City of","2020","Misc","2% @ 62",,"3","2",,,,"Y","3","6.5","11.61","1001685032","109923"
"Compton, City of","2020","Misc","2.7% @ 55",,"1","2",,,,"Y","3","8","11.61","1001685032","100332"
"Compton, City of","2020","Fire","2% @ 50",,"1","2",,,"Y",,"1","9","25.59","1001685032","201087"
"Compton, City of","2020","Fire","3% @ 50",,"1","2","Y","Y","Y",,"1","9","25.59","1001685032","100334"
"Compton, City of","2020","Police","2% @ 55",,"3","2",,,"Y",,"3","9","0","1001685032","201091"
"Compton, City of","2020","Police","2% @ 50",,"1","2","Y","Y","Y",,"3","9","0","1001685032","100337"
"Compton, City of","2020","Fire","2% @ 55",,"1","2",,,"Y",,"1","9","25.59","1001685032","201088"
"Compton, City of","2020","Misc","2% @ 60",,"3","2",,,,,"3","8","11.61","1001685032","201082"
"Compton, City of","2020","Police","2% @ 50",,"3","2","Y","Y","Y",,"3","9","0","1001685032","100338"
"Compton, City of","2020","Fire","2% @ 50",,"1","2",,,"Y",,"1","9","25.59","1001685032","201085"
"Compton, City of","2020","Misc","2% @ 55",,"1","2",,,,"Y","3","8","11.61","1001685032","100330"
"Compton, City of","2020","Misc","2% @ 60",,"1","2",,,,"Y","3","8","11.61","1001685032","201081"
"Compton, City of","2020","Police","1/2 @ 55",,"3","2",,,"Y",,"3",,"0","1001685032","201089"
"Compton, City of","2020","Fire","2.7% @ 57",,"3","2","Y","Y","Y",,"1","13.75","13.98","1001685032","111956"
"Compton, City of","2020","Fire","3% @ 50",,"1","2","Y","Y","Y",,"1","9","25.59","1001685032","100335"
"Compton, City of","2020","Fire","1/2 @ 55",,"3","2",,,"Y",,"1",,"25.59","1001685032","201083"
"Compton, City of","2020","Fire","2% @ 50",,"3","2",,,"Y",,"1","9","25.59","1001685032","201086"
"Sonoma County Fire District","2020","Fire","2% @ 55",,"1","2","Y","Y",,,"0","7","21.79","1002910848","219975"
"Sonoma County Fire District","2020","Misc","2% @ 60",,"3","2","Y","Y",,,"4","8","13.35","1002910848","208643"
