"entity_name","fiscal_year","governmental_funds_net_opeb","governmental_funds_net_opeb_1","enterprise_funds_net_opeb","enterprise_funds_net_opeb_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_opeb","fiduciary_funds_net_opeb_1","total_net_pension_asset","total_net_pension_liability"
"Alameda","2020",,"168967092",,,,"4446323",,,"0","173413415"
"Alpine","2020",,"15702077",,,,,,,"0","15702077"
"Amador","2020",,"4226704",,"517",,"4705",,,"0","4231926"
"Butte","2020",,"59953757",,"629170",,,,,"0","60582927"
"Calaveras","2020",,"1236574",,"2230",,,,,"0","1238804"
"Colusa","2020",,"-232051",,"-7904",,,,,"0","-239955"
"Contra Costa","2020",,"523440000",,"729000",,"318000",,,"0","524487000"
"Del Norte","2020",,,,,,"87966303",,,"0","87966303"
"El Dorado","2020",,"90966859",,,,,,,"0","90966859"
"Fresno","2020",,,,,,,,,"0","0"
"Glenn","2020",,"85021397",,,,,,,"0","85021397"
"Imperial","2020",,,,,,,,,"0","0"
"Inyo","2020",,"58210513",,"3810733",,"449792",,"$663,136","0","63134174"
"Kern","2020",,"41628367",,"895828",,"99536",,,"0","42623731"
"Kings","2020",,"25475490",,,,"1942421",,,"0","27417911"
"Lake","2020",,,,"241183",,,,,"0","241183"
"Lassen","2020",,"1431248",,,,"18484",,,"0","1449732"
"Los Angeles","2020",,"21960541000",,"3960958000",,"942223000",,,"0","26863722000"
"Madera","2020",,"210704327",,,,"861764",,,"0","211566091"
"Marin","2020",,"206314000",,"1366577",,,,,"0","207680577"
"Mariposa","2020",,"61418086",,"1979907",,"836498",,,"0","64234491"
"Mendocino","2020",,,,,,,,,"0","0"
"Merced","2020",,"31692128",,"115226",,"900688",,,"0","32708042"
"Modoc","2020",,"3196127",,,,,,,"0","3196127"
"Mono","2020",,"9038822",,,,,,,"0","9038822"
"Monterey","2020",,"31142344",,"8560273",,,,,"0","39702617"
"Napa","2020",,,,,,"24890000",,,"0","24890000"
"Nevada","2020",,"22905007",,"944593",,"234400",,,"0","24084000"
"Orange","2020",,"318215574",,"6145270",,"4051759",,,"0","328412603"
"Placer","2020",,"29545000",,"115000",,"3133000",,,"0","32793000"
"Plumas","2020",,"5698660",,"66322",,,,,"0","5764982"
"Riverside","2020","142857","46803022",,"9384722",,"2682750",,,"142857","58870494"
"Sacramento","2020",,"120864496",,"6705165",,"7667048",,,"0","135236709"
"San Benito","2020",,"3917790",,"28543",,,,,"0","3946333"
"San Bernardino","2020",,,,"8506000",,,,,"0","8506000"
"San Diego","2020",,"102884000",,"519000",,"2630000",,,"0","106033000"
"San Joaquin","2020",,"95979465",,"31312887",,"2677082",,,"0","129969434"
"San Luis Obispo","2020",,"25112581",,"333733",,"2589915",,,"0","28036229"
"San Mateo","2020",,"76003481",,"16902760",,"385645",,,"0","93291886"
"Santa Barbara","2020",,"105008849",,"2352088",,"1891821",,,"0","109252758"
"Santa Clara","2020",,"753988000",,"439757474",,,,,"0","1193745474"
"Santa Cruz","2020",,"151676770",,"3524892",,"20165323",,,"0","175366985"
"Shasta","2020",,"143803399",,,,,,,"0","143803399"
"Sierra","2020",,"1768524",,,,,,,"0","1768524"
"Siskiyou","2020",,"48848283",,"304689",,"515034",,,"0","49668006"
"Solano","2020",,"15563122",,"16495",,"355653",,,"0","15935270"
"Sonoma","2020",,"1537000",,"3608000",,"211574000",,,"0","216719000"
"Stanislaus","2020",,"28650432",,"1149642",,"636141",,,"0","30436215"
"Sutter","2020",,"11194369",,,,"249662",,,"0","11444031"
"Tehama","2020",,"1486751",,,,"8769",,,"0","1495520"
"Trinity","2020",,"46287422",,"4255660",,,,,"0","50543082"
"Tulare","2020",,"21061000",,"236414",,"1372030",,,"0","22669444"
"Tuolumne","2020",,"32281000",,"191619",,,,,"0","32472619"
"Ventura","2020","1712723","131698649",,,,,,,"1712723","131698649"
"Yolo","2020",,"64442819",,"1210640",,,,,"0","65653459"
"Yuba","2020",,,,,,,,,"0","0"
"Alameda","2019",,"273161912",,,,"9097311",,,"0","282259223"
"Alpine","2019",,"15019029",,,,,,,"0","15019029"
"Amador","2019",,,,"402",,"3708",,,"0","4110"
"Butte","2019",,"57617345",,"604651",,,,,"0","58221996"
"Calaveras","2019",,"1089061",,"1964",,,,,"0","1091025"
"Colusa","2019",,"2921238",,"107740",,,,,"0","3028978"
"Contra Costa","2019",,"823710798",,"23399000",,"588000",,,"0","847697798"
"Del Norte","2019",,,,,,"35877480",,,"0","35877480"
"El Dorado","2019",,,,,,"81833826",,,"0","81833826"
"Fresno","2019",,,,,,,,,"0","0"
"Glenn","2019",,"75278706",,"901216",,,,,"0","76179922"
"Humboldt","2019",,,,,,,,,"0","0"
"Imperial","2019",,"271796941",,"331261",,"4038798",,,"0","276167000"
"Inyo","2019",,"52063598",,"3382192",,"399210",,"663136","0","56508136"
"Kern","2019",,"45338932",,"879315",,"108409",,,"0","46326656"
"Kings","2019",,"17229827",,,,"1361917",,,"0","18591744"
"Lake","2019",,,,"154514",,,,,"0","154514"
"Lassen","2019",,"1380455",,,,,,,"0","1380455"
"Los Angeles","2019",,"19566774000",,"4194316000",,"877840000",,,"0","24638930000"
"Madera","2019",,"185228236",,,,"1026558",,,"0","186254794"
"Marin","2019",,"283337000",,"1553250",,,,"1077508","0","285967758"
"Mariposa","2019",,"69716144",,"2682676",,"844573",,,"0","73243393"
"Mendocino","2019",,,,,,,,,"0","0"
"Merced","2019",,"28234600",,"103694",,"801255",,"39164191","0","68303740"
"Modoc","2019",,"3781686",,,,,,,"0","3781686"
"Mono","2019",,"11065262",,,,,,,"0","11065262"
"Monterey","2019",,"30129753",,"8653118",,,,,"0","38782871"
"Napa","2019",,,,,,"33097000",,,"0","33097000"
"Nevada","2019",,"28806875",,"1133039",,"335086",,,"0","30275000"
"Orange","2019",,"368732989",,"7121433",,"4727174",,,"0","380581596"
"Placer","2019",,"30235000",,"116276",,"3228000",,,"0","33579276"
"Plumas","2019",,"7757861",,"90835",,,,,"0","7848696"
"Riverside","2019",,"22696438",,"4293438",,"1285202",,,"0","28275078"
"Sacramento","2019",,"157709000",,"9069000",,"10644000",,,"0","177422000"
"San Benito","2019",,"5076936",,"36990",,,,,"0","5113926"
"San Bernardino","2019",,,,"10635000",,,,,"0","10635000"
"San Diego","2019",,"116015000",,"572000",,"2896000",,,"0","119483000"
"San Joaquin","2019",,"87592556",,"27537769",,"2520030",,,"0","117650355"
"San Luis Obispo","2019",,"24543052",,"276596",,"2558514",,,"0","27378162"
"San Mateo","2019",,"81185285",,"18458977",,"418644",,,"0","100062906"
"Santa Barbara","2019",,"113588779",,"2560410",,"1924189",,,"0","118073378"
"Santa Clara","2019",,"868245000",,"420177000",,,,,"0","1288422000"
"Santa Cruz","2019",,"145774862",,,,"19373222",,,"0","165148084"
"Shasta","2019",,"177753258",,,,,,,"0","177753258"
"Sierra","2019",,,,,,,,,"0","0"
"Siskiyou","2019",,"43505056",,"399647",,"447053",,,"0","44351756"
"Solano","2019",,"20840554",,"22243",,"510203",,,"0","21373000"
"Sonoma","2019",,"2158000",,"4092000",,"223562000",,,"0","229812000"
"Stanislaus","2019",,"24631664",,"1039298",,"548756",,"572585","0","26792303"
