"employer_name","fiscal_year","category","actuarial_liabilities","market_value_of_assets","unfunded_liabilities","current_year","prior_year_1","prior_year_2","prior_year_3","employer_code"
"Alameda Alliance for Health","2020","1","47167970","45442659","1725310","96.3","96.5","99.7","97.8","3186054072"
"Alameda, City of","2020","2","486041123","294907466","191133656","60.7","59.7","59","57.9","6261532335"
"Alameda, City of","2020","1","307107645","221146546","85961098","72","71.5","72.5","70.5","6261532335"
"Alameda County Fire Department","2020","2","497840978","365219907","132621070","73.4","73.4","74.9","72.4","6496722114"
"Alameda County Water District","2020","1","277331753","203112886","74218866","73.2","69.8","68","64.7","5819666550"
"Alhambra, City of","2020","1","183231455","143080323","40151131","78.1","76.6","78.1","75.2","2546057773"
"Alhambra, City of","2020","2","294179514","197719186","96460328","67.2","66.8","68.5","66.5","2546057773"
"Alta California Regional Center, Inc.","2020","1","113692003","85672558","28019444","75.4","73.8","74.1","74.8","6051653640"
"Amador, County of","2020","1","162158153","109235552","52922600","67.4","66.9","68.7","67.5","4367673667"
"Anaheim, City of","2020","3","471151776","326061645","145090130","69.2","70.1","71.3","69.6","6207170049"
"Anaheim, City of","2020","1","1502706398","1057123077","445583320","70.3","69.7","70.3","68","6207170049"
"Anaheim, City of","2020","4","843973720","594766088","249207631","70.5","70.2","71.3","69.2","6207170049"
"Antelope Valley Schools Transportation Agency","2020","1","49877671","37719070","12158600","75.6","75.3","77.9","75.9","6550197981"
"Antioch, City of","2020","1","190306921","127947990","62358930","67.2","67.2","67.5","65.1","7701602999"
"Arcadia, City of","2020","2","272532843","167565834","104967008","61.5","60.6","61.1","59.2","1676318862"
"Arcadia, City of","2020","1","162760047","110928325","51831721","68.2","67.9","68.9","66.6","1676318862"
"Azusa, City of","2020","1","161460921","118534449","42926471","73.4","73","74.8","72.9","4050337614"
"Bakersfield, City of","2020","4","536616430","336870601","199745828","62.8","62.1","62.6","60.9","3050192847"
"Bakersfield, City of","2020","1","599878791","422798896","177079894","70.5","70","70.9","68.5","3050192847"
"Bakersfield, City of","2020","3","305416436","216397958","89018477","70.9","70.9","71.5","69.7","3050192847"
"Baldwin Park, City of","2020","1","87254934","85147505","2107428","97.6","69.6","70.7","69.4","2485886186"
"Banning, City of","2020","1","80822991","53367998","27454992","66","65.4","67.1","64.9","2317277676"
"Bay Area Air Quality Management District","2020","1","341853778","250628803","91224974","73.3","73.5","75.1","72.8","1866236624"
"Benicia, City of","2020","1","123339561","90263262","33076298","73.2","73.2","75.2","72.9","2572957638"
"Berkeley, City of","2020","1","1094989729","766778122","328211606","70","70.1","71.6","69.6","4652939061"
"Berkeley, City of","2020","4","438944730","268033896","170910833","61.1","60.8","61.2","59.5","4652939061"
"Berkeley, City of","2020","3","286456162","203525645","82930516","71","70.5","71.8","69.9","4652939061"
"Beverly Hills, City of","2020","1","422030247","313258088","108772158","74.2","73.3","74","71.3","5284239652"
"Beverly Hills, City of","2020","2","526849215","346380287","180468927","65.7","65.8","67.3","64.9","5284239652"
"Brea, City of","2020","2","274963016","177132388","97830627","64.4","64.3","65.8","64.1","5656211102"
"Brea, City of","2020","1","152327266","111174359","41152906","73","71.8","73.3","71.9","5656211102"
"Brentwood, City of","2020","1","150946022","121851386","29094635","80.7","74.3","74.7","70.8","7588583620"
"Buena Park, City of","2020","1","147556682","104415468","43141213","70.8","69.7","71.1","69.4","7431146835"
