"entity_name","entity_id","fiscal_year","_1_year_dollar_weighted_rate_of_return","_3_year_dollar_weighted_rate_of_return","_5_year_dollar_weighted_rate_of_return","_1_year_time_weighted_rate_of_return","_3_year_time_weighted_rate_of_return","_5_year_time_weighted_rate_of_return"
"AC Transit Employees' Retirement Plan","7159","20152016","NULL","NULL","NULL","-0.5","6.2","6.2"
"AC Transit Employees' Retirement Plan","7159","20142015","NULL","NULL","NULL","4.32","10.86","8.68"
"AC Transit Employees' Retirement Plan","7159","20132014","NULL","NULL","NULL","15.2","9.11","13.53"
"AC Transit Employees' Retirement Plan","7159","20122013","NULL","NULL","NULL","13.8","8.5","3.1"
"AC Transit Employees' Retirement Plan","7159","20112012","NULL","NULL","NULL","-0.1","13.5","1.6"
"AC Transit Employees' Retirement Plan","7159","20102011","12.4","0.8","4.2","NULL","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20092010","30.3","-1.1","3.5","NULL","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20082009","-30.56","-5.77","0.04","NULL","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20072008","5.79","8.64","11.55","NULL","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20062007","12.68","10.29","8.99","NULL","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20052006","7.45","13.1","5.76","NULL","NULL","NULL"
"AC Transit Employees' Retirement Plan","7159","20042005","10.73","12.96","4.68","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20152016","0.37","8.11","7.67","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20142015","4.66","13.12","10.56","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20132014","20.2","11.3","14.8","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20122013","15","9.5","3","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20112012","-0.4","13","1.8","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20102011","14.6","0.3","4.7","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20092010","26.6","-1.4","3.6","NULL","NULL","NULL"
"Alameda County Employees' Retirement Association","7258","20082009","NULL","NULL","NULL","-30.3","-4.6","1.2"
"Alameda County Employees' Retirement Association","7258","20072008","NULL","NULL","NULL","8.8","10.6","14"
"Alameda County Employees' Retirement Association","7258","20062007","NULL","NULL","NULL","14.4","11.8","10.6"
"Alameda County Employees' Retirement Association","7258","20052006","NULL","NULL","NULL","8.8","15.7","7"
"Alameda County Employees' Retirement Association","7258","20042005","NULL","NULL","NULL","12.3","9.9","5.2"
"Alameda County Employees' Retirement Association","7258","20032004","NULL","NULL","NULL","26.7","4.7","5.9"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20152016","NULL","NULL","NULL","-1.17","5.06","4.55"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20142015","3.92","7.9","7.74","3.75","7.66","7.34"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20132014","12.33","6.63","8.16","NULL","NULL","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20122013","8.74","7.71","2.57","8.74","7.47","0.44"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20112012","-0.89","6.78","-0.45","-0.89","6.54","-2.2"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20092010","5.93","-6.55","0.83","NULL","NULL","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20082009","-23","-11.6","0.41","NULL","NULL","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20072008","-5.06","5.81","7.96","NULL","NULL","NULL"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20062007","NULL","NULL","NULL","14.6","11","10.2"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20052006","NULL","NULL","NULL","8.2","8.76","5.07"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","20042005","NULL","NULL","NULL","8.2","8.76","5.68"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20132014","0","NULL","NULL","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20122013","NULL","NULL","NULL","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20092010","NULL","NULL","NULL","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20082009","NULL","NULL","NULL","NULL","NULL","NULL"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","20062007","NULL","NULL","NULL","NULL","NULL","NULL"
"California Public Employees' Retirement System","7208","20152016","NULL","NULL","NULL","0.6","6.9","6.8"
"California Public Employees' Retirement System","7208","20142015","NULL","NULL","NULL","2.4","10.9","10.7"
"California Public Employees' Retirement System","7208","20132014","NULL","NULL","NULL","18.4","10.4","12.5"
"California Public Employees' Retirement System","7208","20122013","NULL","NULL","NULL","13.23","11.33","3.49"
"California Public Employees' Retirement System","7208","20112012","NULL","NULL","NULL","0.1","11.4","-0.1"
"California Public Employees' Retirement System","7208","20102011","NULL","NULL","NULL","21.7","1.5","3.4"
"California Public Employees' Retirement System","7208","20092010","NULL","NULL","NULL","13.3","-6.5","1.7"
"California Public Employees' Retirement System","7208","20082009","NULL","NULL","NULL","-24","-4.9","1.6"
"California Public Employees' Retirement System","7208","20072008","NULL","NULL","NULL","-2.6","9","11.1"
"California Public Employees' Retirement System","7208","20062007","NULL","NULL","NULL","19.1","14.6","12.8"
"California Public Employees' Retirement System","7208","20052006","NULL","NULL","NULL","11.8","13.8","7.5"
"California Public Employees' Retirement System","7208","20042005","NULL","NULL","NULL","12.3","10.7","3.4"
"California Public Employees' Retirement System","7208","20032004","NULL","NULL","NULL","16.6","4.3","3.1"
"California Public Employees' Retirement System","7208","20022003","NULL","NULL","NULL","3.7","-3.3","2.4"
"California State Teachers' Retirement System","7209","20152016","NULL","NULL","NULL","1.35","7.81","7.65"
"California State Teachers' Retirement System","7209","20142015","NULL","NULL","NULL","4.77","12.26","12.14"
"California State Teachers' Retirement System","7209","20132014","NULL","NULL","NULL","18.66","11.21","13.69"
"California State Teachers' Retirement System","7209","20122013","NULL","NULL","NULL","13.8","12.57","3.72"
"California State Teachers' Retirement System","7209","20112012","NULL","NULL","NULL","1.84","12.04","0.31"
"California State Teachers' Retirement System","7209","20102011","NULL","NULL","NULL","23.1","1.2","3.8"
"California State Teachers' Retirement System","7209","20092010","NULL","NULL","NULL","12.2","-5.5","3.54"
"California State Teachers' Retirement System","7209","20082009","NULL","NULL","NULL","-25.03","-2.56","3.32"
"California State Teachers' Retirement System","7209","20072008","NULL","NULL","NULL","-3.69","9.72","11.49"
"California State Teachers' Retirement System","7209","20062007","NULL","NULL","NULL","21.03","15.07","13.08"
"California State Teachers' Retirement System","7209","20052006","NULL","NULL","NULL","13.21","13.86","7.5"
"California State Teachers' Retirement System","7209","20042005","NULL","NULL","NULL","11.09","10.48","2.88"
"California State Teachers' Retirement System","7209","20032004","NULL","NULL","NULL","17.38","4.95","3.68"
"CalPERS Replacement Benefit Fund (RBF)","8535","20082009","0","0","0","0","0","0"
"CalPERS Replacement Benefit Fund (RBF)","8535","20072008","NULL","NULL","NULL","NULL","NULL","NULL"
"CalPERS Replacement Benefit Fund (RBF)","8535","20062007","NULL","NULL","NULL","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20092010","NULL","NULL","NULL","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20082009","0","NULL","NULL","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20072008","0","NULL","NULL","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20062007","NULL","NULL","NULL","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20042005","NULL","NULL","NULL","NULL","NULL","NULL"
"CalSTRS - Teachers' Replacement Benefits Program Fund","8555","20032004","NULL","NULL","NULL","NULL","NULL","NULL"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20152016","0","0","0","0","0","0"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20142015","0","0","0","0","0","0"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20132014","0","0","0","0","0","0"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","20122013","NULL","NULL","NULL","NULL","NULL","NULL"
