"entity_name","fiscal_year","governmental_funds_net_pension","governmental_funds_net_pension_1","enterprise_funds_net_pension","enterprise_funds_net_pension_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_pension","fiduciary_funds_net_pension_1","total_net_pension_asset","total_net_pension_liability"
"Alameda","2020",,"1711947715",,,,"73448444",,,"0","1785396159"
"Alpine","2020",,"12292829",,"60378",,,,,"0","12353207"
"Amador","2020",,"69412940",,"222841",,"470093",,,"0","70105874"
"Butte","2020",,"265059513",,"1965185",,,,,"0","267024698"
"Calaveras","2020",,"69446400",,"203534",,,,,"0","69649934"
"Colusa","2020",,"77927230",,"1641607",,,,,"0","79568837"
"Contra Costa","2020",,"381501798",,"180009584",,"977903",,,"0","562489285"
"Del Norte","2020",,"42015820",,,,,,,"0","42015820"
"El Dorado","2020",,"364685927",,,,,,,"0","364685927"
"Fresno","2020",,"997428000",,"7312000",,"49770000",,,"0","1054510000"
"Glenn","2020",,"82589410",,,,,,,"0","82589410"
"Imperial","2020",,,,,,,,,"0","0"
"Inyo","2020",,"66861301",,"2956624",,"211964",,"122894","0","70152783"
"Kern","2020",,"1763754750",,"36472178",,"1523931",,"2780014","0","1804530873"
"Kings","2020",,"159582604",,,,"11343260",,,"0","170925864"
"Lake","2020",,"92782245",,"1498375",,,,,"0","94280620"
"Lassen","2020",,"45872688",,,,"455259",,,"0","46327947"
"Los Angeles","2020",,"9995040000",,"1565628000",,"375571000",,,"0","11936239000"
"Madera","2020",,"211264724",,,,"691051",,,"0","211955775"
"Marin","2020",,"188585487",,"4834111",,,,,"0","193419598"
"Mariposa","2020",,"49838941",,"1809944",,"818195",,,"0","52467080"
"Mendocino","2020",,"206708080",,,,,,,"0","206708080"
"Merced","2020",,"438754782",,"1524643",,"11851543",,,"0","452130968"
"Modoc","2020",,"25436131",,"361519",,,,,"0","25797650"
"Mono","2020",,"54313395",,"1213271",,"544344",,,"0","56071010"
"Monterey","2020",,"559876146",,"133705494",,,,,"0","693581640"
"Napa","2020",,"237948742",,"2385675",,"16783460",,,"0","257117877"
"Nevada","2020",,"189563636",,"7408978",,"1825941",,,"0","198798555"
"Orange","2020",,"3997474137",,"88312888",,"39584028",,,"0","4125371053"
"Placer","2020",,"566158000",,"528485",,"60027107",,,"0","626713592"
"Plumas","2020",,"51406203",,"402291",,,,,"0","51808494"
"Riverside","2020",,"2866324603",,"481280212",,"169798929",,,"0","3517403744"
"Sacramento","2020",,"1684138109",,"72150875",,"87041258",,,"0","1843330242"
"San Benito","2020",,"61704700",,"150801",,,,,"0","61855501"
"San Bernardino","2020",,"1939919401",,"250013000",,"46585634",,,"0","2236518035"
"San Diego","2020",,"3689885000",,"16497000",,"84052000",,,"0","3790434000"
"San Joaquin","2020",,"1192810992",,"355074842",,"36797635",,,"0","1584683469"
"San Luis Obispo","2020",,"563790856",,"6297553",,"55171022",,,"0","625259431"
"San Mateo","2020",,"462041190",,"117935743",,"2039524",,,"0","582016457"
"Santa Barbara","2020",,"761928613",,"14372265",,"11744283",,,"0","788045161"
"Santa Clara","2020",,"2888344000",,"1481648686",,,,,"0","4369992686"
"Santa Cruz","2020",,"457818060",,"9083320",,"56360121",,,"0","523261501"
"Shasta","2020",,"251276909",,,,,,,"0","251276909"
"Sierra","2020",,"21592733",,"103772",,,,,"0","21696505"
"Siskiyou","2020",,"92362998",,"747325",,"809848",,,"0","93920171"
"Solano","2020",,"544448900",,"553074",,"12867156",,,"0","557869130"
"Sonoma","2020",,"1396000",,"4319000",,"181644000",,,"0","187359000"
"Stanislaus","2020",,"554376571",,"17750786",,"14057180",,,"0","586184537"
"Sutter","2020",,"153684198",,,,"3289388",,,"0","156973586"
"Tehama","2020",,"89902837",,,,"684175",,,"0","90587012"
"Trinity","2020",,"55394555",,"4334452",,,,,"0","59729007"
"Tulare","2020",,"254901000",,"2257793",,"14537639",,"1447","0","271697879"
"Tuolumne","2020",,"116361458",,"1686802",,,,,"0","118048260"
"Ventura","2020",,"560120602",,"75220281",,"41832053",,,"0","677172936"
"Yolo","2020",,"303201341",,"5391994",,,,,"0","308593335"
"Yuba","2020",,,,,,,,,"0","0"
"Alameda","2019",,"2107977484",,,,"104315448",,,"0","2212292932"
"Alpine","2019",,"11456016",,"73454",,,,,"0","11529470"
"Amador","2019",,,,"201843",,"365817",,,"0","567660"
"Butte","2019",,"236122129",,"1581475",,,,,"0","237703604"
"Calaveras","2019",,"65221307",,"194383",,,,,"0","65415690"
"Colusa","2019",,"72721898",,"1504460",,,,,"0","74226358"
"Contra Costa","2019",,"644842450",,"313859929",,"1832550",,,"0","960534929"
"Del Norte","2019",,"42015820",,,,,,,"0","42015820"
"El Dorado","2019",,"344371724",,,,,,,"0","344371724"
"Fresno","2019",,"1092494000",,"8467000",,"53542000",,,"0","1154503000"
"Glenn","2019",,"74134769",,"986693",,,,,"0","75121462"
"Humboldt","2019",,,,,,,,,"0","0"
"Imperial","2019",,"124433522",,"151657",,"1849034",,,"0","126434213"
"Inyo","2019",,"64305135",,"2420019",,"241925",,"122894","0","67089973"
"Kern","2019",,"1744287282",,"30105111",,"1661099",,"155974","0","1776209466"
"Kings","2019",,"146025071",,,,"10603553",,,"0","156628624"
"Lake","2019",,,,"1263293",,,,,"0","1263293"
"Lassen","2019",,"45521284",,,,"612223",,,"0","46133507"
"Los Angeles","2019",,"8446386000",,"1566769000",,"332054000",,,"0","10345209000"
"Madera","2019",,"202199945",,,,"759616",,,"0","202959561"
"Marin","2019",,"183525363",,"4337345",,,,,"0","187862708"
"Mariposa","2019",,"46889452",,"1718745",,"775269",,,"0","49383466"
"Mendocino","2019",,"190043076",,,,,,,"0","190043076"
"Merced","2019",,"437638397",,"1535293",,"11836656",,,"0","451010346"
