"ward","age","female","male","other"
"WARD 1","0","320","272","0"
"WARD 1","1","301","303","0"
"WARD 1","2","325","288","0"
"WARD 1","3","283","295","0"
"WARD 1","4","293","308","0"
"WARD 1","5","281","299","0"
"WARD 1","6","300","289","0"
"WARD 1","7","295","269","0"
"WARD 1","8","312","287","1"
"WARD 1","9","290","263","0"
"WARD 1","10","270","261","0"
"WARD 1","11","256","246","0"
"WARD 1","12","234","252","0"
"WARD 1","13","250","252","0"
"WARD 1","14","230","234","0"
"WARD 1","15","251","260","0"
"WARD 1","16","273","259","0"
"WARD 1","17","283","270","0"
"WARD 1","18","265","268","0"
"WARD 1","19","280","269","1"
"WARD 1","20","303","294","2"
"WARD 1","21","291","305","1"
"WARD 1","22","310","291","0"
"WARD 1","23","293","285","0"
"WARD 1","24","324","299","0"
"WARD 1","25","355","327","1"
"WARD 1","26","341","330","0"
"WARD 1","27","349","299","0"
"WARD 1","28","347","321","0"
"WARD 1","29","401","326","0"
"WARD 1","30","409","345","0"
"WARD 1","31","413","339","0"
"WARD 1","32","441","402","0"
"WARD 1","33","449","374","0"
"WARD 1","34","422","364","0"
"WARD 1","35","499","376","0"
"WARD 1","36","483","429","1"
"WARD 1","37","464","390","0"
"WARD 1","38","398","401","0"
"WARD 1","39","405","384","1"
"WARD 1","40","386","356","1"
"WARD 1","41","385","363","0"
"WARD 1","42","397","357","1"
"WARD 1","43","352","339","0"
"WARD 1","44","367","304","1"
"WARD 1","45","394","346","0"
"WARD 1","46","378","334","0"
"WARD 1","47","380","300","0"
"WARD 1","48","354","324","0"
"WARD 1","49","383","304","0"
"WARD 1","50","381","307","0"
"WARD 1","51","384","343","0"
"WARD 1","52","434","410","1"
"WARD 1","53","434","372","0"
"WARD 1","54","408","347","0"
"WARD 1","55","415","387","0"
"WARD 1","56","488","371","1"
"WARD 1","57","444","381","1"
"WARD 1","58","443","392","1"
"WARD 1","59","450","364","2"
"WARD 1","60","435","364","0"
"WARD 1","61","388","365","0"
