"name","latitude","longitude","location","address","quadrant","url","geometry_point"
"Millwoods Golf Course","53.48173914269056","-113.43423534339799","
,  
(53.48173914269056, -113.43423534339799)","4540 50 St","NW",,"POINT (-113.43423534339799 53.48173914269056)"
"Highlands Golf Course","53.55994230378776","-113.43628661777441","
,  
(53.55994230378776, -113.43628661777441)","6603 Ada Blvd","NW",,"POINT (-113.43628661777441 53.55994230378776)"
"Riverside Golf Course","53.55238650345035","-113.45942674805367","
,  
(53.55238650345035, -113.45942674805367)","8630 Rowland Road","SE","https://www.edmonton.ca/riversidegolf/","POINT (-113.45942674805367 53.55238650345035)"
"Rundle Golf Course","53.56917166481156","-113.38238905210892","
,  
(53.56917166481156, -113.38238905210892)","2902 118 Avenue","NE","https://www.edmonton.ca/rundlegolf/","POINT (-113.38238905210892 53.56917166481156)"
"Victoria Golf Course","53.53649939335987","-113.52624673416658","
,  
(53.53649939335987, -113.52624673416658)","12130 River Valley Road","NE","https://www.edmonton.ca/victoriagolf/","POINT (-113.52624673416658 53.53649939335987)"
"Victoria Golf Course","53.53649939335987","-113.52624673416658","
,  
(53.53649939335987, -113.52624673416658)","12130 River Valley Road","NW","https://www.edmonton.ca/victoriagolf/","POINT (-113.52624673416658 53.53649939335987)"
"Mayfair Golf Course","53.5333292695216","-113.54674051559755","
,  
(53.5333292695216, -113.54674051559755)","9450 Groat Rd","NW",,"POINT (-113.54674051559755 53.5333292695216)"
