"language","dwellings"
"English Only","200189"
"Arabic","4898"
"Cantonese","7875"
"French","10457"
"German","3548"
"Mandarin","5815"
"Panjabi (Punjabi)","6333"
"Spanish","5341"
"Tagalog (Pilipino_ Filipino)","9328"
"Ukrainian","3869"
"Other","32964"
"No Response","67619"
