Neighbourhood,Address,Year,Quadrant,Ward,Category,LONGITUDE,LATITUDE,LOCATION,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards
Rundle Heights,10807 - 31 Street,2013,NW,7,Edible Front Yard,-113.387594,53.561677,"(53.561677, -113.387594)",232,176,4,3,10,7
Pleasantview,10702 - 57 Avenue,2011,NW,10,Edible Front Yard,-113.508574,53.492696,"(53.492696, -113.508574)",50,19,6,5,2,10
Beverly Heights,4606 - 114 Avenue,2010,NW,7,Edible Front Yard,-113.412708,53.566788,"(53.566788, -113.412708)",252,175,4,3,10,7
Strathcona,8905 - 97 Street,2013,NW,8,Edible Front Yard,-113.479396,53.524504,"(53.524504, -113.479396)",315,12,6,5,11,8
Capilano,5708 - 106 Avenue,2013,NW,8,Edible Front Yard,-113.424766,53.550073,"(53.550073, -113.424766)",41,31,4,5,11,8
Aspen Gardens,12227 - 41 Avenue,2013,NW,10,Edible Front Yard,-113.544475,53.476899,"(53.476899, -113.544475)",255,170,6,6,2,10
Gold Bar,4215 - 105 Avenue,2012,NW,8,Edible Front Yard,-113.408404,53.548252,"(53.548252, -113.408404)",239,30,4,5,11,8
Grovenor,10635 - 147 Street,2012,NW,6,Edible Front Yard,-113.574305,53.549248,"(53.549248, -113.574305)",29,196,3,1,9,6
Greenfield,11512 - 38 Avenue,2011,NW,10,Edible Front Yard,-113.53061,53.474318,"(53.474318, -113.53061)",47,172,6,6,2,10
Minchau,3923 - 36 Avenue,2011,NW,12,Edible Front Yard,-113.403042,53.467608,"(53.467608, -113.403042)",44,65,7,7,4,12
Riverdale,10121 - 90 Street,2013,NW,6,Edible Front Yard,-113.47035,53.543773,"(53.543773, -113.47035)",352,153,4,5,9,6
Ottewell,7404 - 92A Avenue,2013,NW,8,Edible Front Yard,-113.441515,53.527778,"(53.527778, -113.441515)",23,123,7,5,11,8
Central McDougall,10829 - 109 Street,2011,NW,6,Edible Front Yard,-113.508331,53.553528,"(53.553528, -113.508331)",181,220,3,5,9,6
Prince Rupert,11411 - 111A Avenue,2010,NW,2,Edible Front Yard,-113.517946,53.559892,"(53.559892, -113.517946)",3,220,3,1,5,2
Kilkenny,7248 - 149A Avenue,2010,NW,3,Edible Front Yard,-113.452122,53.611367,"(53.611367, -113.452122)",167,166,2,3,6,3
Terwillegar South,5554 - stevens crescent,2012,NW,9,Edible Front Yard,-113.582694,53.443113,"(53.443113, -113.582694)",371,88,8,6,12,9
McCauley,10926 - 93 Street,2009,NW,6,Edible Front Yard,-113.481916,53.557354,"(53.557354, -113.481916)",367,130,4,5,9,6
Avonmore,8516 - 71 Avenue,2009,NW,11,Edible Front Yard,-113.45777,53.506749,"(53.506749, -113.45777)",188,73,7,5,3,11
Grovenor,10250 - 148 Street,2012,NW,6,Edible Front Yard,-113.575992,53.54308,"(53.54308, -113.575992)",29,196,3,1,9,6
North Glenora,13319 - 109 Avenue,2012,NW,6,Edible Front Yard,-113.552534,53.554402,"(53.554402, -113.552534)",14,195,3,5,9,6
Klarvatten,422 Klarvatten Lake Wynd,2009,NW,3,Edible Front Yard,-113.475441,53.629897,"(53.629897, -113.475441)",353,190,2,2,6,3
Grovenor,14719 - 106A Avenue,2010,NW,6,Edible Front Yard,-113.57476,53.550342,"(53.550342, -113.57476)",29,196,3,1,9,6
Mayfield,11016 - 161 Street,2009,NW,1,Edible Front Yard,-113.598792,53.556733,"(53.556733, -113.598792)",57,87,3,1,1,1
Canora,15213 - 106 Avenue,2013,NW,1,Edible Front Yard,-113.58367,53.549484,"(53.549484, -113.58367)",84,188,3,1,1,1
Riverdale,10112 - 88 Street,2010,NW,6,Edible Front Yard,-113.466839,53.544181,"(53.544181, -113.466839)",352,153,4,5,9,6
Fulton Place,5303 - 102 Avenue,2013,NW,8,Edible Front Yard,-113.421305,53.543085,"(53.543085, -113.421305)",67,103,4,5,11,8
King Edward Park,7912 - 76 Avenue,2010,NW,11,Edible Front Yard,-113.449335,53.51228,"(53.51228, -113.449335)",374,73,7,5,3,11
Capilano,5708 - 106 Street,2013,NW,8,Edible Front Yard,-113.504382,53.493967,"(53.493967, -113.504382)",50,19,6,5,2,10
Westmount,10913 - 130 Street,2009,NW,6,Edible Front Yard,-113.546214,53.554427,"(53.554427, -113.546214)",164,198,3,5,9,6
Malmo Plains,11235 - 48 Avenue,2013,NW,10,Edible Front Yard,-113.522732,53.485265,"(53.485265, -113.522732)",148,197,6,5,2,10
McLeod,14715 - 61A Street,2013,NW,4,Edible Front Yard,-113.436408,53.609252,"(53.609252, -113.436408)",149,182,2,3,7,4
Belgravia,11420 - 73 Avenue,2012,NW,8,Edible Front Yard,-113.528361,53.509418,"(53.509418, -113.528361)",283,17,6,5,11,8
Queen Alexandra,7402 - 106 Street,2011,NW,8,Edible Front Yard,-113.504419,53.510505,"(53.510505, -113.504419)",13,10,6,5,11,8
Tipaskan,8712 - 29 Avenue,2012,NW,11,Edible Front Yard,-113.462667,53.459636,"(53.459636, -113.462667)",54,56,9,7,3,11
Strathearn,9232 - 86 Street,2013,NW,8,Edible Front Yard,-113.459252,53.527514,"(53.527514, -113.459252)",342,126,4,5,11,8
Garneau,11003 - 84 Avenue,2013,NW,8,Edible Front Yard,-113.515347,53.520033,"(53.520033, -113.515347)",286,9,6,5,11,8
Cloverdale,9603 - 96 Street,2013,NW,8,Edible Front Yard,-113.474751,53.5348,"(53.5348, -113.474751)",398,126,4,5,11,8
Parkview,14308 - 87 Avenue,2010,NW,1,Edible Front Yard,-113.56779,53.519491,"(53.519491, -113.56779)",32,23,5,5,1,1
Greenview,109 Grand Meadow Crescent,2013,NW,11,Edible Front Yard,-113.434522,53.47733,"(53.47733, -113.434522)",46,57,7,7,3,11
