"year","neighbourhood","site_type","category","target","size","number_of_tags","lir_value","lir_group_value","latitude","longitude","location","geometry_point"
"2016","Alberta Avenue","Hot Spot","City","Corporate Property","Small (>1sq ft<=2sqft)","1","16","16-20","53.56112","-113.48943","(53.56112, -113.48943)",
"2017","Boyle Street","Hot Spot","Private","Private Waste - GFL","Small (>1sq ft<=2sqft)","9","24","21-25","63.549419999999998","-113.48478","(63.54942, -113.48478)",
"2015","Boyle Street","Random","Private","Residence","Small (>1sq ft<=2sqft)","1.0","16.0","16-20","53.55059","-113.47549","(53.55059, -113.47549)",
"2017","Boyle Street","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","3","16","16-20","63.545490000000001","-113.48614000000001","(63.54549, -113.48614)",
"2016","Alberta Avenue","Random","Private","Residence","Small (>1sq ft<=2sqft)","1","16","16-20","53.57091","-113.46499","(53.57091, -113.46499)",
"2016","CPR West / Strathcona Junction","Random","Private","Private Waste - 310 Dump","Small (>1sq ft<=2sqft)","1","16","16-20","53.50632","-113.49692","(53.50632, -113.49692)",
"2017","Downtown","Random","Private","EPCOR","Small (>1sq ft<=2sqft)","7","19","16-20","53.539659999999998","-113.50389","(53.53966, -113.50389)",
"2015","Queen Alexandra","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","6.0","22.0","21-25","53.51752","-113.49921","(53.51752, -113.49921)",
"2015","Downtown","Hot Spot","Gov't","Canada Post","Small (>1sq ft<=2sqft)","11.0","21.0","21-25","53.5425","-113.49915","(53.5425, -113.49915)",
"2017","Queen Mary Park","Hot Spot","Private","Vehicles/ Rolling Stock","Med (>2sq ft<=9sqft)","1","16","16-20","53.557679999999998","-113.51329","(53.55768, -113.51329)",
"2017","Central McDougall","Hot Spot","Private","Private Waste - Progressive","Small (>1sq ft<=2sqft)","4","17","16-20","53.549379999999999","-113.50761","(53.54938, -113.50761)",
"2016","Queen Mary Park","Hot Spot","Private","Commercial","X-Small (<=1sq ft)","1","16","16-20","53.55182","-113.50941","(53.55182, -113.50941)",
"2015","Downtown","Hot Spot","Private","ewspaper","Small (>1sq ft<=2sqft)","1.0","19.0","16-20","53.53503","-113.49751","(53.53503, -113.49751)",
"2016","Killarney","Random","Private","Retail","Small (>1sq ft<=2sqft)","16","22","21-25","53.58752","-113.49123","(53.58752, -113.49123)",
"2017","Downtown","Hot Spot","Private","Private Waste - Super Save","Small (>1sq ft<=2sqft)","3","16","16-20","53.54569","-113.49841000000001","(53.54569, -113.49841)",
"2015","Queen Alexandra","Hot Spot","City","Corporate property","Small (>1sq ft<=2sqft)","1.0","16.0","16-20","53.51472","-113.50493","(53.51472, -113.50493)",
"2017","Belvedere","Hot Spot","City","Corporate property","Small (>1sq ft<=2sqft)","1","16","16-20","53.589129999999997","-113.4896","(53.58913, -113.4896)",
"2017","Strathcona","Hot Spot","Private","Telus","Small (>1sq ft<=2sqft)","4","17","16-20","53.520580000000002","-113.50038000000001","(53.52058, -113.50038)",
"2015","Parkdale","Hot Spot","Private","Residence","Small (>1sq ft<=2sqft)","1.0","15.0","11-15","53.5678","-113.46012","(53.5678, -113.46012)",
"2016","Strathcona","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","3","17","16-20","53.51867","-113.50204","(53.51867, -113.50204)",
"2017","Garneau","Hot Spot","Private","Retail","X-Large (>20sqft)","28","28","26-30","53.518560000000001","-113.50802","(53.51856, -113.50802)",
"2015","Garneau","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","1.0","16.0","16-20","53.51858","-113.5097","(53.51858, -113.5097)",
"2017","Downtown","Hot Spot","Private","Commercial","Small (>1sq ft<=2sqft)","3","18","16-20","53.539969999999997","-113.49634","(53.53997, -113.49634)",
"2016","McCauley","Random","Private","Multi Family Dwelling","Small (>1sq ft<=2sqft)","1","16","16-20","53.55354","-113.4912","(53.55354, -113.4912)",
"2017","Strathcona","Hot Spot","City","Transportation Dept","Small (>1sq ft<=2sqft)","5","17","16-20","53.518889999999999","-113.49514000000001","(53.51889, -113.49514)",
"2017","Downtown","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","7","19","16-20","53.540109999999999","-113.49915","(53.54011, -113.49915)",
"2016","Beverly Heights","Random","Private","Residence","Small (>1sq ft<=2sqft)","1","17","16-20","53.56808","-113.39672","(53.56808, -113.39672)",
"2015","Eastwood","Hot Spot","City","Corporate property","Small (>1sq ft<=2sqft)","1.0","16.0","16-20","53.57212","-113.46365","(53.57212, -113.46365)",
"2017","Alberta Avenue","Hot Spot","Private","EPCOR","Med (>2sq ft<=9sqft)","1","16","16-20","53.56344","-113.48936","(53.56344, -113.48936)",
