"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS096-2016122308:32:47-01","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","15","1","6","20","0","4","1"
"DFS096-2016122308:32:47-02","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","2","21","26","0","3","0"
"DFS096-2016122308:32:47-03","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","3","27","32","0","6","1"
"DFS096-2016122308:32:47-04","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","4","33","38","0","11","2"
"DFS096-2016122308:32:47-05","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","5","39","44","0","11","11"
"DFS096-2016122308:32:47-06","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","6","45","50","1","5","18"
"DFS096-2016122308:32:47-07","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","7","51","56","2","2","7"
"DFS096-2016122308:32:47-08","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","8","57","62","2","0","2"
"DFS096-2016122308:32:47-09","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","6","9","63","68","2","0","0"
"DFS096-2016122308:32:47-10","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:32:00.000","42","157","10","69","225","2","0","0"
"DFS096-2016122308:47:47-01","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","15","1","6","20","0","2","0"
"DFS096-2016122308:47:47-02","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","2","21","26","0","3","1"
"DFS096-2016122308:47:47-03","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","3","27","32","0","2","2"
"DFS096-2016122308:47:47-04","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","4","33","38","0","1","2"
"DFS096-2016122308:47:47-05","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","5","39","44","0","18","2"
"DFS096-2016122308:47:47-06","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","6","45","50","1","16","13"
"DFS096-2016122308:47:47-07","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","7","51","56","2","2","19"
"DFS096-2016122308:47:47-08","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:47:00.000","44","6","8","57","62","2","0","4"
