"responsedate","completiondate","q1a_food_that_is_produced_and_processed_in_the_edmonton_region","q1a_food_that_is_produced_and_processed_in_alberta","q1a_food_that_is_produced_and_processed_in_canada","q1a_food_that_is_produced_and_processed_within_100_miles_from_where_i_live","q1a_food_that_is_produced_or_processed_by_an_alberta_company","q1a_food_that_is_produced_or_processed_by_an_canadian_company","q1a_food_that_is_produced_or_processed_by_an_edmonton_region_company","q1a_other","q1b","q2","q3_more_opportunities_to_buy_local_food_now_compared_to_12_months_ago","q3_more_places_to_buy_local_food_now_compared_to_12_months_ago","q3_more_people_are_producing_their_own_food_in_edmonton_now_compared_to_12_months_ago","q3_more_variety_of_local_food_products_available_in_edmonton_now_compared_with_12_months_ago","q3_more_edmontonians_are_employed_in_the_local_food_system_now_than_compared_to_12_months_ago","q4","q5","q6","q7","q8_diverse_cultural_preferences","q8_diverse_dietary_needs","q9a","q10_local_food_contributes_to_a_greener_edmonton","q10_local_food_contributes_to_vibrant_places","q11_purchased_local_food","q11_visited_a_farmers_market","q11_planted_a_garden","q11_supported_a_community_garden","q11_purchased_food_directly_from_a_local_producer","q11_supported_a_community_supported_agriculture_program","q11_other_please_specify","q11_haven_t_done_any_of_these","gender","age","education","employment_status","fsa","ostype","devicetype","browsertype","q3_own_rent_study_profiling_questionnaire_2014","q7_children_study_profiling_questionnaire_2014","q8_born_canada_study_profiling_questionnaire_2014","q9a_edmonton_study_profiling_questionnaire_2014","q10_own_business_study_profiling_questionnaire_2014","q11_home_language_study_profiling_questionnaire_2014","q13_volunteer_study_profiling_questionnaire_2014","q14a_primary_transportation_study_profiling_questionnaire_2014","q14b_secondary_transportation_study_profiling_questionnaire_2014","q15_household_income_study_profiling_questionnaire_2014","q17_city_employee_study_profiling_questionnaire_2014"
"2016-01-25T14:20:00.000","2016-01-25T14:46:00.000","1","1","0","1","0","0","1","0","Moderately familiar","Improved in the last 12 months","5 Strongly Agree","5 Strongly Agree","2 Somewhat Disagree","5 Strongly Agree","4 Somewhat Agree","Become MORE knowledgeable about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where their food comes from","More","About the same","4 Somewhat Agree","5 Strongly Agree","No","5 Strongly Agree","5 Strongly Agree","1","1","1","1","1","0","0","0","Male","""30-34""","University undergraduate degree","Employed full-time (30+ hours a week)","T6M","Windows","Desktop","Google Chrome","Own","No","Yes","Between 3 to 5 years","No","English","Yes","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","Yes"
"2016-01-25T14:21:00.000","2016-01-25T14:36:00.000","0","1","0","0","0","0","0","0","Slightly familiar","I don’t know","3 Neither agree nor disagree","3 Neither agree nor disagree","3 Neither agree nor disagree","3 Neither agree nor disagree","3 Neither agree nor disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","Less","I don't know","4 Somewhat Agree","3 Neither agree nor disagree","No","2 Somewhat Disagree","1 Strongly Disagree","1","1","1","0","0","0","0","0","Female","""40-44""","University undergraduate degree","Employed full-time (30+ hours a week)","T5G","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Walk","$100,000 to $149,000","Yes"
"2016-01-25T14:22:00.000","2016-01-25T14:33:00.000","0","1","0","1","0","0","0","0","Somewhat familiar","Improved in the last 12 months","5 Strongly Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Don't know","Become MORE knowledgeable about where your food comes from","Become MORE knowledgeable about where their food comes from","More","More","4 Somewhat Agree","4 Somewhat Agree","Yes","5 Strongly Agree","4 Somewhat Agree","1","1","1","1","1","0","0","0","Female","""30-34""","University undergraduate degree","Employed full-time (30+ hours a week)","T5E","Windows","Desktop","Google Chrome","Own","Yes","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Public Transit","$100,000 to $149,000","Yes"
"2016-01-25T14:41:00.000","2016-01-25T14:44:00.000","0","0","0","1","0","0","0","0","Not at all familiar","I don’t know","3 Neither agree nor disagree","3 Neither agree nor disagree","3 Neither agree nor disagree","3 Neither agree nor disagree","3 Neither agree nor disagree","I don’t know","I don’t know","More","I don't know","3 Neither agree nor disagree","3 Neither agree nor disagree","I don't know","4 Somewhat Agree","4 Somewhat Agree","1","1","1","0","0","0","0","0","Male","""60-64""","University undergraduate degree","Employed full-time (30+ hours a week)","T6T","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","Yes"
"2016-01-25T14:21:00.000","2016-01-25T14:25:00.000","0","0","0","1","0","0","0","0","Somewhat familiar","I don’t know","Don't know","4 Somewhat Agree","Don't know","4 Somewhat Agree","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same","More","4 Somewhat Agree","4 Somewhat Agree","Yes","5 Strongly Agree","5 Strongly Agree","0","1","0","0","0","0","0","0","Female","""30-34""","Post-graduate degree","Employed full-time (30+ hours a week)","T6E","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Public Transit","Car/truck/Van as DRIVER","Prefer not to answer","Yes"
"2016-01-25T14:46:00.000","2016-01-25T14:58:00.000","1","1","0","0","0","0","0","0","Somewhat familiar","Improved in the last 12 months","4 Somewhat Agree","4 Somewhat Agree","2 Somewhat Disagree","4 Somewhat Agree","2 Somewhat Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same","Less","2 Somewhat Disagree","2 Somewhat Disagree","Yes","3 Neither agree nor disagree","4 Somewhat Agree","1","1","0","0","1","0","1","0","Female","""45-49""","University undergraduate degree","Employed full-time (30+ hours a week)","T5H","Windows","Desktop","Google Chrome","Own","Yes","Yes","Greater than 5 years","No","English","Yes","Public Transit","Car/truck/Van as DRIVER","$100,000 to $149,000","Yes"
"2016-01-25T15:02:00.000","2016-01-25T15:07:00.000","1","1","0","1","0","0","1","0","Moderately familiar","Stayed about the same in the last 12 months","3 Neither agree nor disagree","4 Somewhat Agree","3 Neither agree nor disagree","3 Neither agree nor disagree","Don't know","Become MORE knowledgeable about where your food comes from","Become MORE knowledgeable about where their food comes from","About the same","About the same","3 Neither agree nor disagree","4 Somewhat Agree","Yes","5 Strongly Agree","5 Strongly Agree","1","1","1","0","1","1","0","0","Male","""40-44""","High school graduate","Employed full-time (30+ hours a week)","T6E","Windows","Desktop","Google Chrome","Own","Yes","Yes","Greater than 5 years","Yes","English","Yes","Car/truck/Van as DRIVER","Walk","Prefer not to answer","No"
"2016-01-25T17:13:00.000","2016-01-25T17:17:00.000","1","0","0","0","0","0","0","0","Somewhat familiar","I don’t know","Don't know","Don't know","Don't know","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","More","I don't know","I don't know","I don't know","Yes","5 Strongly Agree","5 Strongly Agree","0","0","1","0","0","0","0","0","Male","""60-64""","High school graduate","Retired","T6H","iOS","Tablet","Safari","Own","No","Yes","Greater than 5 years","Yes","English","No","Car/truck/Van as DRIVER","Walk","$100,000 to $149,000","No"
"2016-01-25T14:32:00.000","2016-01-25T15:04:00.000","0","1","0","0","0","0","0","0","Somewhat familiar","I don’t know","Don't know","Don't know","Don't know","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","More","More","I don't know","I don't know","Yes","5 Strongly Agree","5 Strongly Agree","1","1","0","0","1","0","0","0","Female","""40-44""","University undergraduate degree","Other (Specify)","T6E","iOS","Phone","Safari","Own","No","Yes","Greater than 5 years","Yes","English","Yes","Car/truck/Van as DRIVER","Walk","$100,000 to $149,000","No"
"2016-01-25T16:51:00.000","2016-01-25T17:00:00.000","0","0","0","0","0","0","0","1","Not at all familiar","I don’t know","1 Strongly Disagree","1 Strongly Disagree","Don't know","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","More","About the same","I don't know","I don't know","Yes","4 Somewhat Agree","3 Neither agree nor disagree","0","0","0","0","0","0","0","1","Male","""45-49""","College / technical school graduate","Employed full-time (30+ hours a week)","T6C","Windows","Desktop","Internet Explorer","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Walk","$150,000 and over","No"
